inst,inst_short,inst_name,inst_type,year,graduates_exact,phd,students_autumn_exact,graduates_rows,programmes,exposure_w,exposure2_w,share_top5_v1,share_top5_v2,share_employed,share_i_utdanning,handa_augmentation_w,handa_automation_w,exposure_w_recent,share_q1_v1,share_q1_v2,share_q2_v1,share_q2_v2,share_q3_v1,share_q3_v2,share_q4_v1,share_q4_v2,share_q5_v1,share_q5_v2,coverage_profile,share_bachelor,share_master,share_phd
1150,NTNU,Norges teknisk-naturvitenskapelige universitet,Universiteter,2025,9177,500.000000,44049,9653.000000,299,0.472229,0.491964,0.308379,0.347369,0.884701,0.034400,0.657862,0.291329,0.474595,0.019389,0.019123,0.034690,0.032080,0.314264,0.330186,0.323278,0.271242,0.308379,0.347369,0.993992,0.436134,0.512069,0.051797
1110,UiO,Universitetet i Oslo,Universiteter,2025,5266,476.000000,27909,5723.000000,158,0.471547,0.506356,0.354808,0.411451,0.828599,0.052821,0.652326,0.298843,0.482387,0.026415,0.027411,0.052138,0.058608,0.246064,0.279081,0.320575,0.223449,0.354808,0.411451,1.000000,0.398567,0.518260,0.083173
1175,OsloMet,OsloMet – storbyuniversitetet,Universiteter,2025,4560,69.000000,24358,4612.000000,110,0.421628,0.413961,0.231416,0.247283,0.896283,0.019752,0.651048,0.303654,0.424890,0.020604,0.024372,0.109702,0.077337,0.453579,0.484107,0.184700,0.166901,0.231416,0.247283,1.000000,0.665004,0.320035,0.014961
8241,BI,Handelshøyskolen BI,Private vitenskapelige høyskoler,2025,4398,11.000000,22456,4402.000000,38,0.545203,0.616435,0.498802,0.677792,0.882136,0.035747,0.645605,0.316325,0.576109,0.019487,0.018365,0.017336,0.023736,0.078679,0.073832,0.385695,0.206275,0.498802,0.677792,1.000000,0.716493,0.281009,0.002499
1120,UiB,Universitetet i Bergen,Universiteter,2025,3743,218.000000,20655,3937.000000,154,0.468517,0.510059,0.350144,0.431132,0.796620,0.060429,0.650630,0.297555,0.473105,0.029240,0.030814,0.051185,0.065592,0.236998,0.258671,0.332433,0.213791,0.350144,0.431132,0.999238,0.445009,0.499619,0.055372
0238,HVL,Høgskulen på Vestlandet,Statlige høyskoler,2025,3381,30.000000,17088,3397.000000,106,0.407632,0.387012,0.174591,0.196552,0.907694,0.023676,0.657354,0.303676,0.407662,0.020411,0.012029,0.096189,0.083703,0.536002,0.552925,0.172807,0.154792,0.174591,0.196552,0.998528,0.660583,0.330586,0.008831
1176,USN,Universitetet i Sørøst-Norge,Universiteter,2025,3287,41.000000,18877,3313.000000,115,0.427717,0.424137,0.247478,0.283783,0.889079,0.029957,0.640105,0.317407,0.430265,0.022531,0.017129,0.088029,0.087612,0.454515,0.457703,0.187447,0.153774,0.247478,0.283783,1.000000,0.636583,0.351041,0.012375
8253,HK,Høyskolen Kristiania,Private høyskoler,2025,3122,3.000000,15050,3096.000000,122,0.499048,0.554416,0.464776,0.595516,0.817834,0.044320,0.636472,0.315421,0.507838,0.044036,0.034413,0.054791,0.069038,0.195392,0.187634,0.241005,0.113399,0.464776,0.595516,1.000000,0.882429,0.116602,0.000969
1130,UiT,Universitetet i Tromsø - Norges arktiske universitet,Universiteter,2025,3004,137.000000,16825,3098.000000,177,0.437533,0.446329,0.255589,0.313019,0.859002,0.036189,0.639242,0.282403,0.438794,0.024909,0.024059,0.087978,0.080224,0.343417,0.381582,0.288107,0.201116,0.255589,0.313019,0.997740,0.530342,0.425436,0.044222
1171,UiA,Universitetet i Agder,Universiteter,2025,2952,63.000000,14763,3002.000000,101,0.444001,0.455175,0.291278,0.338822,0.858838,0.040646,0.648543,0.313798,0.449627,0.029531,0.023227,0.077222,0.082258,0.389072,0.389388,0.212895,0.166304,0.291278,0.338822,1.000000,0.612925,0.353764,0.020986
1160,UiS,Universitetet i Stavanger,Universiteter,2025,2766,94.000000,13949,2840.000000,98,0.445816,0.454242,0.269659,0.318585,0.894435,0.029238,0.643050,0.302785,0.448746,0.023793,0.022853,0.074512,0.074091,0.377860,0.374004,0.254176,0.210468,0.269659,0.318585,1.000000,0.546479,0.420423,0.033099
1177,INN,Universitetet i Innlandet,Universiteter,2025,2353,21.000000,15257,2363.000000,96,0.412108,0.409565,0.239936,0.287346,0.856503,0.042445,0.635731,0.316254,0.413049,0.043185,0.030773,0.103809,0.127670,0.437467,0.425295,0.175603,0.128916,0.239936,0.287346,1.000000,0.723233,0.267880,0.008887
1174,NU,Nord universitet,Universiteter,2025,1997,37.000000,11759,2020.000000,77,0.419996,0.416469,0.205323,0.265987,0.884558,0.032145,0.639256,0.309301,0.423501,0.022859,0.018205,0.091923,0.097409,0.468040,0.465117,0.211855,0.153281,0.205323,0.265987,1.000000,0.629703,0.351980,0.018317
1173,NMBU,Norges miljø- og biovitenskapelige universitet,Universiteter,2025,1852,101.000000,8963,1949.000000,81,0.484807,0.524743,0.357204,0.454848,0.848840,0.042845,0.644000,0.305431,0.513429,0.022333,0.023948,0.046740,0.086143,0.223519,0.188090,0.350204,0.246970,0.357204,0.454848,1.000000,0.432016,0.516162,0.051821
1240,NHH,Norges handelshøyskole,Statlige vitenskapelige høyskoler,2025,1421,18.000000,4500,1432.000000,14,0.579529,0.667523,0.575029,0.779058,0.914334,0.024623,0.651953,0.316330,0.596948,0.008744,0.007680,0.007597,0.012481,0.044271,0.042100,0.364359,0.158682,0.575029,0.779058,1.000000,0.344274,0.643156,0.012570
