styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
0310,1,3116,1.0,1,1,Quality Control Analysis; Installation; Repairing and Maintaining Electronic Equipment
0310,2,3115,0.9112,1,4,Installation; Quality Control Analysis; Repairing and Maintaining Electronic Equipment
0310,3,3113,0.8307,1,2,Installation; Repairing and Maintaining Electronic Equipment; Troubleshooting
0310,4,3117,0.8186,1,2,Repairing and Maintaining Electronic Equipment; Equipment Selection; Science
0310,5,3132,0.7958,1,4,"Repairing and Maintaining Electronic Equipment; Monitoring Processes, Materials, or Surroundings; Quality Control Analysis"
1112,1,1120,0.9889,3,2,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1112,2,1343,0.9775,3,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1112,3,1114,0.9763,3,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1112,4,1342,0.9576,3,1,Staffing Organizational Units; Management of Financial Resources; Monitoring and Controlling Resources
1112,5,1420,0.9567,3,1,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1114,1,1343,0.9826,2,2,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1114,2,1420,0.9807,2,1,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1114,3,5221,0.9807,2,1,Staffing Organizational Units; Management of Material Resources; Management of Financial Resources
1114,4,1120,0.9792,2,2,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1114,5,1112,0.9763,2,3,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1120,1,1112,0.9889,2,3,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1120,2,1114,0.9792,2,2,Management of Financial Resources; Staffing Organizational Units; Management of Material Resources
1120,3,1343,0.9772,2,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1120,4,1420,0.9725,2,1,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1120,5,5221,0.9725,2,1,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1211,1,1346,0.9284,1,2,Management of Financial Resources; Mathematics; Analyzing Data or Information
1211,2,3311,0.8981,1,2,Management of Financial Resources; Mathematics; Judgment and Decision Making
1211,3,2422,0.8717,1,1,Management of Financial Resources; Developing Objectives and Strategies; Mathematics
1211,4,1212,0.8674,1,3,Management of Financial Resources; Developing Objectives and Strategies; Management of Personnel Resources
1211,5,2421,0.8578,1,2,Management of Financial Resources; Systems Evaluation; Analyzing Data or Information
1212,1,1346,0.9222,3,2,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1212,2,1345,0.9126,3,2,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1212,3,1120,0.9003,3,2,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1212,4,1112,0.8933,3,3,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1212,5,1343,0.892,3,2,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1213,1,1439,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1213,2,1349,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1213,3,1322,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1213,4,1114,0.9705,1,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1213,5,1219,0.9611,1,5,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1219,1,1439,0.9611,5,1,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1219,2,1349,0.9611,5,1,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1219,3,1322,0.9611,5,1,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1219,4,1213,0.9611,5,1,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1219,5,1114,0.9564,5,2,Staffing Organizational Units; Management of Personnel Resources; Management of Material Resources
1221,1,1120,0.8781,2,2,Management of Financial Resources; Selling or Influencing Others; Persuasion
1221,2,1212,0.8767,2,3,Management of Financial Resources; Management of Personnel Resources; Developing and Building Teams
1221,3,1346,0.8736,2,2,Management of Financial Resources; Selling or Influencing Others; Negotiation
1221,4,1112,0.8697,2,3,Management of Financial Resources; Selling or Influencing Others; Persuasion
1221,5,1324,0.8613,2,1,Management of Material Resources; Negotiation; Management of Financial Resources
1222,1,3339,0.8414,1,7,Selling or Influencing Others; Persuasion; Communicating with People Outside the Organization
1222,2,2434,0.7859,1,3,Selling or Influencing Others; Social Perceptiveness; Persuasion
1222,3,3321,0.7556,1,3,Selling or Influencing Others; Persuasion; Time Management
1222,4,3322,0.755,1,3,Selling or Influencing Others; Persuasion; Social Perceptiveness
1222,5,2433,0.751,1,2,Selling or Influencing Others; Persuasion; Social Perceptiveness
1223,1,2146,0.9134,2,4,Science; Mathematics; Complex Problem Solving
1223,2,2143,0.8843,2,1,"Science; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics"
1223,3,2131,0.8807,2,9,"Science; Mathematics; Estimating the Quantifiable Characteristics of Products, Events, or Information"
1223,4,2142,0.8771,2,1,"Mathematics; Science; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
1223,5,2132,0.8451,2,3,Science; Systems Analysis; Systems Evaluation
1311,1,1312,1.0,1,1,Management of Financial Resources; Monitoring and Controlling Resources; Management of Material Resources
1311,2,1321,0.8169,1,1,Management of Financial Resources; Management of Material Resources; Management of Personnel Resources
1311,3,3121,0.728,1,1,Management of Personnel Resources; Scheduling Work and Activities; Coordinating the Work and Activities of Others
1311,4,3123,0.728,1,1,Management of Personnel Resources; Scheduling Work and Activities; Coordinating the Work and Activities of Others
1311,5,3152,0.712,1,2,"Management of Personnel Resources; Management of Material Resources; Operating Vehicles, Mechanized Devices, or Equipment"
1312,1,1311,1.0,1,1,Management of Financial Resources; Monitoring and Controlling Resources; Management of Material Resources
1312,2,1321,0.8169,1,1,Management of Financial Resources; Management of Material Resources; Management of Personnel Resources
1312,3,3121,0.728,1,1,Management of Personnel Resources; Scheduling Work and Activities; Coordinating the Work and Activities of Others
1312,4,3123,0.728,1,1,Management of Personnel Resources; Scheduling Work and Activities; Coordinating the Work and Activities of Others
1312,5,3152,0.712,1,2,"Management of Personnel Resources; Management of Material Resources; Operating Vehicles, Mechanized Devices, or Equipment"
1321,1,1323,0.836,1,1,Management of Financial Resources; Management of Personnel Resources; Management of Material Resources
1321,2,1330,0.8331,1,1,Management of Financial Resources; Staffing Organizational Units; Management of Personnel Resources
1321,3,3122,0.8238,1,1,"Management of Personnel Resources; Time Management; Guiding, Directing, and Motivating Subordinates"
1321,4,1223,0.8173,1,2,Management of Personnel Resources; Coordinating the Work and Activities of Others; Management of Financial Resources
1321,5,1311,0.8169,1,1,Management of Financial Resources; Management of Material Resources; Management of Personnel Resources
1322,1,1439,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1322,2,1349,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1322,3,1213,1.0,1,1,Scheduling Work and Activities; Management of Financial Resources; Staffing Organizational Units
1322,4,1114,0.9705,1,2,Staffing Organizational Units; Management of Financial Resources; Management of Material Resources
1322,5,1219,0.9611,1,5,Management of Personnel Resources; Management of Financial Resources; Scheduling Work and Activities
1323,1,1114,0.8813,1,2,Management of Financial Resources; Management of Personnel Resources; Management of Material Resources
