observation_date,Age Group,Share,Usage Group
2022-11-01,21-30,1.1246,No usage
2022-11-01,21-30,3.7479,Quintile 1 (least usage)
2022-11-01,21-30,3.9679,Quintile 2
2022-11-01,21-30,9.1413,Quintile 3
2022-11-01,21-30,2.3185,Quintile 4
2022-11-01,21-30,5.9768,Quintile 5 (most usage)
2022-11-01,31-40,1.1068,No usage
2022-11-01,31-40,3.9016,Quintile 1 (least usage)
2022-11-01,31-40,4.6984,Quintile 2
2022-11-01,31-40,7.7412,Quintile 3
2022-11-01,31-40,3.7784,Quintile 4
2022-11-01,31-40,6.3048,Quintile 5 (most usage)
2022-11-01,41-50,1.0344,No usage
2022-11-01,41-50,3.5188,Quintile 1 (least usage)
2022-11-01,41-50,4.0509,Quintile 2
2022-11-01,41-50,6.5807,Quintile 3
2022-11-01,41-50,3.9341,Quintile 4
2022-11-01,41-50,5.5975,Quintile 5 (most usage)
2022-11-01,51-60,0.9321,No usage
2022-11-01,51-60,3.1388,Quintile 1 (least usage)
2022-11-01,51-60,3.4255,Quintile 2
2022-11-01,51-60,5.7059,Quintile 3
2022-11-01,51-60,3.7001,Quintile 4
2022-11-01,51-60,4.5728,Quintile 5 (most usage)
