SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,20
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,19
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,19
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,19
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,18
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,19
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,17
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2022,2022,20
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2024,2024,21
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2014,2014,24
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2015,2015,23
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2016,2016,22
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2017,2017,25
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2018,2018,24
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2019,2019,23
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",SysselsetSpes,Føretaket sysselsett IKT-spesialistar,2020,2020,20
