SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",MforingSal,Marknadsføring eller sal,2021,2021,21
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",MforingSal,Marknadsføring eller sal,2023,2023,18
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",MforingSal,Marknadsføring eller sal,2024,2024,32
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",MforingSal,Marknadsføring eller sal,2025,2025,29
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",ProdProsess,Produksjonsprosessar,2021,2021,26
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",ProdProsess,Produksjonsprosessar,2023,2023,21
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",ProdProsess,Produksjonsprosessar,2024,2024,16
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",ProdProsess,Produksjonsprosessar,2025,2025,21
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",OrgAdmProsess,Organisering av administrasjonsprosessar,2021,2021,31
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",StyringForetak,Styring av føretak,2021,2021,19
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Logistikk,Logistikk,2021,2021,9
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Logistikk,Logistikk,2023,2023,10
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Logistikk,Logistikk,2024,2024,15
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Logistikk,Logistikk,2025,2025,5
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",IKTtryggleik,IKT-tryggleik,2021,2021,24
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",IKTtryggleik,IKT-tryggleik,2023,2023,28
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",IKTtryggleik,IKT-tryggleik,2024,2024,25
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",IKTtryggleik,IKT-tryggleik,2025,2025,25
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",HRrekrutt,HR eller rekruttering,2021,2021,6
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,19
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2024,2024,21
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2025,2025,33
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2023,2023,22
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2024,2024,18
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",FoUinnov,Forsking og utvikling eller innovasjonsaktivitet (ekskludert forsking på KI),2025,2025,15
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Regnskap,Rekneskapsføring eller økonomistyring,2023,2023,43
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Regnskap,Rekneskapsføring eller økonomistyring,2024,2024,42
00,Alle sysselsette,Total-K,"Alle næringer, uten finansnæringene",Regnskap,Rekneskapsføring eller økonomistyring,2025,2025,34
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",MforingSal,Marknadsføring eller sal,2021,2021,10
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",MforingSal,Marknadsføring eller sal,2023,2023,9
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",MforingSal,Marknadsføring eller sal,2024,2024,14
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",MforingSal,Marknadsføring eller sal,2025,2025,12
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",ProdProsess,Produksjonsprosessar,2021,2021,41
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",ProdProsess,Produksjonsprosessar,2023,2023,39
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",ProdProsess,Produksjonsprosessar,2024,2024,20
00,Alle sysselsette,10-39,"Industri, kraftforsyning, vatn, avløp og renovasjon",ProdProsess,Produksjonsprosessar,2025,2025,14
