task_name,count,pct
access computerized financial information to answer general questions as well as those related to specific accounts.,29.0,0.0030699590742697203
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,65.0,0.0068809427526735105
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",100.0,0.010586065773343863
adapt instructional content or delivery methods for different levels or types of learners.,167.0,0.01767872984148425
adapt teaching methods and instructional materials to meet students' varying needs and interests.,39.0,0.0041285656516041064
adapt text to accommodate musical requirements of composers and singers.,36.0,0.0038109836784037906
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",44.0,0.0046578689402713
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",477.0,0.05049553373885023
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",17.0,0.001799631181468457
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,65.0,0.0068809427526735105
"administer highway planning, construction, or maintenance.",36.0,0.0038109836784037906
administer online purchasing systems.,237.0,0.025088975882824955
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,96.0,0.010162623142410107
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",17.0,0.001799631181468457
"administer, proctor, or score academic or diagnostic assessments.",425.0,0.04499077953671142
advise and teach students.,16.0,0.001693770523735018
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",39.0,0.0041285656516041064
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",40.0,0.0042344263093375455
advise clients on how they could be helped by counseling.,184.0,0.01947836102295271
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",232.0,0.024559672594157762
advise corporations on issues involving corporate image projects or problems.,804.0,0.08511196881768465
advise customer about or perform maintenance of software system.,20.0,0.0021172131546687727
"advise customers concerning equipment operation, maintenance, or programming.",20.0,0.0021172131546687727
advise customers of necessary actions and strategies for debt repayment.,33.0,0.0034934017052034748
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",18.0,0.0019054918392018953
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",60.0,0.006351639464006318
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",53.0,0.005610614859872247
advise or assist in obtaining patents or meeting other legal requirements.,27.0,0.002858237758802843
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",88.0,0.0093157378805426
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",22.0,0.00232893447013565
advise students on academic and vocational curricula and career issues.,22.0,0.00232893447013565
advise students on academic and vocational curricula and on career issues.,84.0,0.008892295249608844
"advise students on academic and vocational curricula, and on career issues.",25.0,0.002646516443335966
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",16.0,0.001693770523735018
"align, adjust, or calibrate equipment according to specifications.",19.0,0.002011352496935334
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,124.0,0.013126721558946392
"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services.",20.0,0.0021172131546687727
analyze and classify risks and investments to determine their potential impacts on companies.,326.0,0.034510574421101
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,17.0,0.001799631181468457
analyze and evaluate robotic systems or prototypes.,31.0,0.003281680389736598
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",1881.0,0.19912389719659807
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",37.0,0.003916844336137229
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",466.0,0.049331066503782404
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",1045.0,0.11062438733144336
analyze and record personnel or operational data and write related activity reports.,15.0,0.0015879098660015795
"analyze and record test data to issue reports that use charts, graphs, or narratives.",2494.0,0.26401648038719594
analyze and report computer network security breaches or attempted breaches.,679.0,0.07187938660100483
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",19.0,0.002011352496935334
"analyze archival data such as birth, death, and disease records.",16.0,0.001693770523735018
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,136.0,0.014397049451747655
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",147.0,0.015561516686815477
analyze characteristics of animals to identify and classify them.,1735.0,0.183668241167516
analyze clinical data using appropriate statistical tools.,15.0,0.0015879098660015795
"analyze clinical or survey data using statistical approaches such as longitudinal analysis, mixed effect modeling, logistic regression analyses, and model building techniques.",15.0,0.0015879098660015795
"analyze competitive market strategies through analysis of related product, market, or share trends.",96.0,0.010162623142410107
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",112.0,0.011856393666145127
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",23.0,0.0024347951278690886
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",517.0,0.05472996004818777
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,64.0,0.006775082094940072
"analyze data from surveys, old records, or case studies, using statistical software.",473.0,0.050072091107916473
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",79.0,0.008362991960941651
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,24.0,0.0025406557856025268
analyze data to determine answers to questions from customers or members of the public.,908.0,0.09612147722196228
analyze data to determine feasibility of product proposals.,160.0,0.016937705237350182
analyze data to determine the effectiveness of treatments or therapy approaches.,34.0,0.003599262362936914
"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects.",28.0,0.0029640984165362817
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",26.0,0.0027523771010694044
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,299.0,0.03165233666229815
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",25.0,0.002646516443335966
analyze equipment performance records to assess equipment functioning.,48.0,0.0050813115712050536
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",44.0,0.0046578689402713
analyze experimental data and interpret results to write reports and summaries of findings.,2027.0,0.2145795532256801
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",38.0,0.004022704993870668
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,360.0,0.038109836784037905
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,58.0,0.006139918148539441
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",54.0,0.005716475517605686
analyze information gathered by investigation and report findings and recommendations.,22.0,0.00232893447013565
analyze information obtained from management to conceptualize and define operational problems.,863.0,0.09135774762395754
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",343.0,0.03631020560256945
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",314.0,0.033240246528299724
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",156.0,0.016514262606416426
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",529.0,0.05600028794098904
"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions.",48.0,0.0050813115712050536
analyze laboratory findings to check the accuracy of the results.,255.0,0.026994467722026853
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",384.0,0.04065049256964043
