task_name,collaboration,count,pct
access computerized financial information to answer general questions as well as those related to specific accounts.,directive,33.0,94.28571428571428
access computerized financial information to answer general questions as well as those related to specific accounts.,not_classified,2.0,5.714285714285714
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,directive,36.0,72.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,not_classified,14.0,28.000000000000004
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",directive,60.0,65.93406593406593
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",not_classified,13.0,14.285714285714285
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",task iteration,18.0,19.78021978021978
adapt instructional content or delivery methods for different levels or types of learners.,directive,75.0,75.75757575757575
adapt instructional content or delivery methods for different levels or types of learners.,not_classified,24.0,24.242424242424242
adapt teaching methods and instructional materials to meet students' varying needs and interests.,not_classified,20.0,100.0
adapt text to accommodate musical requirements of composers and singers.,directive,20.0,58.82352941176471
adapt text to accommodate musical requirements of composers and singers.,not_classified,14.0,41.17647058823529
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",directive,34.0,100.0
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",directive,280.0,20.72538860103627
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",learning,28.0,2.072538860103627
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",none,403.0,29.829755736491485
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",not_classified,6.0,0.44411547002220575
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",task iteration,570.0,42.19096965210955
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",validation,64.0,4.737231680236861
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",not_classified,17.0,100.0
administer construction contracts.,directive,22.0,88.0
administer construction contracts.,not_classified,3.0,12.0
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,directive,212.0,62.17008797653959
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,none,51.0,14.95601173020528
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,not_classified,3.0,0.8797653958944283
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,task iteration,38.0,11.143695014662756
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,validation,37.0,10.850439882697946
"administer highway planning, construction, or maintenance.",directive,17.0,89.47368421052632
"administer highway planning, construction, or maintenance.",not_classified,2.0,10.526315789473683
administer online purchasing systems.,directive,543.0,79.27007299270073
administer online purchasing systems.,feedback loop,52.0,7.591240875912408
administer online purchasing systems.,none,38.0,5.547445255474453
administer online purchasing systems.,not_classified,12.0,1.7518248175182483
administer online purchasing systems.,task iteration,23.0,3.3576642335766427
administer online purchasing systems.,validation,17.0,2.4817518248175183
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",directive,23.0,79.3103448275862
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",not_classified,6.0,20.689655172413794
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",not_classified,20.0,100.0
"administer, proctor, or score academic or diagnostic assessments.",directive,164.0,48.23529411764706
"administer, proctor, or score academic or diagnostic assessments.",learning,40.0,11.76470588235294
"administer, proctor, or score academic or diagnostic assessments.",none,63.0,18.529411764705884
"administer, proctor, or score academic or diagnostic assessments.",not_classified,14.0,4.117647058823529
"administer, proctor, or score academic or diagnostic assessments.",validation,59.0,17.352941176470587
advise and teach students.,not_classified,16.0,100.0
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",directive,18.0,40.909090909090914
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",not_classified,26.0,59.09090909090909
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",not_classified,17.0,100.0
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",not_classified,19.0,100.0
advise clients on financial and legal matters such as investments and taxes.,directive,62.0,46.96969696969697
advise clients on financial and legal matters such as investments and taxes.,learning,35.0,26.515151515151516
advise clients on financial and legal matters such as investments and taxes.,none,18.0,13.636363636363635
advise clients on financial and legal matters such as investments and taxes.,not_classified,17.0,12.878787878787879
advise clients on how they could be helped by counseling.,directive,19.0,30.64516129032258
advise clients on how they could be helped by counseling.,none,22.0,35.483870967741936
advise clients on how they could be helped by counseling.,not_classified,21.0,33.87096774193548
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",directive,147.0,60.49382716049383
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",learning,25.0,10.2880658436214
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",none,34.0,13.991769547325102
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",not_classified,8.0,3.292181069958848
