task_name,collaboration,count,pct
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",not_classified,24.0,100.0
act as advisers to student organizations.,directive,38.0,38.775510204081634
act as advisers to student organizations.,not_classified,14.0,14.285714285714285
act as advisers to student organizations.,task iteration,46.0,46.93877551020408
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,directive,22.0,32.35294117647059
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,not_classified,8.0,11.76470588235294
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,task iteration,38.0,55.88235294117647
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",directive,25.0,33.78378378378378
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",not_classified,9.0,12.162162162162163
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",task iteration,40.0,54.054054054054056
act as liaisons between on-site managers or tenants and owners.,directive,15.0,38.46153846153847
act as liaisons between on-site managers or tenants and owners.,not_classified,4.0,10.256410256410255
act as liaisons between on-site managers or tenants and owners.,task iteration,20.0,51.28205128205128
adapt instructional content or delivery methods for different levels or types of learners.,directive,162.0,46.15384615384615
adapt instructional content or delivery methods for different levels or types of learners.,not_classified,24.0,6.837606837606838
adapt instructional content or delivery methods for different levels or types of learners.,task iteration,165.0,47.008547008547005
adapt software and accompanying technical documents to another language and culture.,not_classified,21.0,100.0
adapt teaching methods and instructional materials to meet students' varying needs and interests.,directive,56.0,50.0
adapt teaching methods and instructional materials to meet students' varying needs and interests.,not_classified,6.0,5.357142857142857
adapt teaching methods and instructional materials to meet students' varying needs and interests.,task iteration,50.0,44.642857142857146
adapt text to accommodate musical requirements of composers and singers.,directive,75.0,40.32258064516129
adapt text to accommodate musical requirements of composers and singers.,not_classified,11.0,5.913978494623656
adapt text to accommodate musical requirements of composers and singers.,task iteration,100.0,53.76344086021505
adapt the quantity of ingredients to match the amount of items to be baked.,directive,27.0,31.3953488372093
adapt the quantity of ingredients to match the amount of items to be baked.,not_classified,26.0,30.23255813953488
adapt the quantity of ingredients to match the amount of items to be baked.,task iteration,33.0,38.372093023255815
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",directive,59.0,75.64102564102564
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",not_classified,2.0,2.564102564102564
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",task iteration,17.0,21.794871794871796
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",not_classified,23.0,58.97435897435898
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",task iteration,16.0,41.02564102564102
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",not_classified,20.0,100.0
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",directive,558.0,53.70548604427334
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",feedback loop,27.0,2.598652550529355
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",learning,271.0,26.082771896053895
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",not_classified,10.0,0.9624639076034648
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",task iteration,112.0,10.779595765158806
