onet_soc_code,occupation_title,calibrated_exposure,calibrated_exposure_exp,calibrated_exposure_with_eloundou,simple_avg_exposure,majority_vote_exposure,job_id
11-1011.00,Chief Executives,0.30990086646565085,0.3171607074095406,0.3264163994041745,0.41586347630658854,0.31861429068842173,11-1011
11-1011.03,Chief Sustainability Officers,0.49565473647629665,0.5033392087433859,0.49114212743905744,0.5601253235169832,0.4780883754657156,11-1011
11-1021.00,General and Operations Managers,0.48293888400171925,0.4863350737349198,0.4773045764172247,0.5508187985315097,0.6200942835263064,11-1021
11-1031.00,Legislators,0.37633430220628233,0.3799843632973937,0.3755554902715261,0.42619047619047623,0.4,11-1031
11-2011.00,Advertising and Promotions Managers,0.29687460461721926,0.3152069832478883,0.3008286717043666,0.45539479832949264,0.4245063447303425,11-2011
11-2021.00,Marketing Managers,0.6445851307663683,0.6447881819620594,0.6136628694105956,0.6727484683414116,0.682404975882043,11-2021
11-2022.00,Sales Managers,0.29317109006866315,0.31255822314418635,0.2890989767141787,0.48725950807512186,0.5679908338939783,11-2022
11-2032.00,Public Relations Managers,0.5817926130224091,0.5912938479748375,0.558693036478662,0.6946428571428572,0.825,11-2032
11-2033.00,Fundraising Managers,0.521294254591995,0.527517132747989,0.5169303121815492,0.6003571720442842,0.6303145774802889,11-2033
11-3012.00,Administrative Services Managers,0.40755520908424525,0.42427699774302163,0.3690026907314712,0.5545254991265066,0.47286703877172254,11-3012
11-3013.00,Facilities Managers,0.2204228726684867,0.2300567125422803,0.2259964903221507,0.3754518428883109,0.2609007373742766,11-3013
11-3013.01,Security Managers,0.32997101254590677,0.34060824016425656,0.34018495718661024,0.4554377553792864,0.5094122567367645,11-3013
11-3021.00,Computer and Information Systems Managers,0.6378856270167129,0.6336039837677168,0.622874572020389,0.6309059990954363,0.7084817990205801,11-3021
11-3031.00,Financial Managers,0.346209339922233,0.3532717028234068,0.3600087375698705,0.46957004153017856,0.3857803641903651,11-3031
11-3031.01,Treasurers and Controllers,0.4490844656477491,0.454468165303838,0.4437190863279582,0.4992076072364532,0.4348785213434137,11-3031
11-3031.03,Investment Fund Managers,0.7745211149758376,0.7740308814651328,0.7192472606708864,0.744551245015818,0.805353556572688,11-3031
11-3051.00,Industrial Production Managers,0.4518982865569957,0.46066970956072206,0.44277009075814366,0.509617186597625,0.4855601978457114,11-3051
11-3051.01,Quality Control Systems Managers,0.40877796998283195,0.4156452367443914,0.4167437712059756,0.4831087788423044,0.49995376373691275,11-3051
11-3051.02,Geothermal Production Managers,0.24110831774551883,0.24493707403158116,0.2832888586888346,0.2760893236987343,0.2763281894506765,11-3051
11-3051.03,Biofuels Production Managers,0.13950527372255986,0.1453793122824204,0.15886792042014994,0.2499495413678332,0.24548135235628166,11-3051
11-3051.04,Biomass Power Plant Managers,0.1966252295658207,0.20254948406103934,0.21200779170941034,0.2783334270195689,0.20284397486280417,11-3051
11-3051.06,Hydroelectric Production Managers,0.29282997637888697,0.2964835913309496,0.2962582237083694,0.3186669539236465,0.2639519771552741,11-3051
11-3061.00,Purchasing Managers,0.589023439732618,0.5872082117319987,0.5910761119946779,0.5563773377834479,0.5312533661730359,11-3061
11-3071.00,"Transportation, Storage, and Distribution Managers",0.2699227600407687,0.2821486485187283,0.28992513220704996,0.42242049059603354,0.2920635407468565,11-3071
11-3071.04,Supply Chain Managers,0.49138529151009047,0.49969081229318846,0.47713813081622763,0.5905783079164987,0.5826113234521215,11-3071
11-3111.00,Compensation and Benefits Managers,0.4664401154681781,0.4750621667102212,0.4587615297466588,0.5372640554072502,0.6034665389348892,11-3111
