nace2,ssb13271_group_code,ssb13271_group_label,note
05,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",Bergverksdrift inkluderes som industri-aggregatet i SSB 13271.
06,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
07,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
08,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
09,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
10,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
11,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
12,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
13,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
14,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
15,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
16,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
17,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
18,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
19,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
20,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
21,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
22,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
23,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
24,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
25,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
26,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
27,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
28,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
29,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
30,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
31,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
32,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
33,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
35,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
36,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
37,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
38,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
39,10-39,"Industri, kraftforsyning, vatn, avløp, renovasjon",
41,41-43,Bygge- og anleggsverksemd,
42,41-43,Bygge- og anleggsverksemd,
43,41-43,Bygge- og anleggsverksemd,
45,45,Handel med og reparasjon av motorvogner,
46,46,Agentur- og engroshandel med unntak av motorvogner,
47,47,Detaljhandel med unntak av motorvogner,
49,49-53,Transport og lagring,
50,49-53,Transport og lagring,
51,49-53,Transport og lagring,
52,49-53,Transport og lagring,
53,49-53,Transport og lagring,
55,55-56,Overnattings- og serveringsverksemd,
56,55-56,Overnattings- og serveringsverksemd,
58,58-63,Informasjon og kommunikasjon,
59,58-63,Informasjon og kommunikasjon,
60,58-63,Informasjon og kommunikasjon,
61,58-63,Informasjon og kommunikasjon,
62,58-63,Informasjon og kommunikasjon,
63,58-63,Informasjon og kommunikasjon,
64,64-66,Finansierings- og forsikringsverksemd,
65,64-66,Finansierings- og forsikringsverksemd,
66,64-66,Finansierings- og forsikringsverksemd,
68,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Eiendomsdrift.
69,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Juridisk og regnskap.
70,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Hovedkontortjenester.
71,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Arkitektur og teknisk konsulent.
72,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",FoU.
73,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Reklame og markedsføring.
74,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Annen faglig tjeneste (utenom 75 veterinær).
77,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Utleie og leasing.
78,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Arbeidskrafttjenester.
79,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Reisebyrå.
80,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Vakttjenester.
81,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Tjenester tilknyttet eiendomsdrift.
82,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Forretningsmessig tjenesteyting.
95,68-74+77-82+95.1,"Anna tenesteyting, unntatt veterinærtenester",Kun NACE 95.1 (reparasjon datamaskiner/kommunikasjonsutstyr).
