task,task_no,source
"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.","Gjennomgå regnskap, salgs- eller aktivitetsrapporter og andre resultatdata for å måle produktivitet eller måloppnåelse, eller for å finne områder som trenger kostnadskutt eller forbedring.",manual 2026-09-07
Greet customers and ascertain what each customer wants or needs.,Ta imot kunder og finne ut hva hver kunde ønsker eller trenger.,manual 2026-09-07
Receive payment or obtain credit authorization.,Ta imot betaling eller innhente kredittgodkjenning.,manual 2026-09-07
"Perform personnel functions, such as selection, training, or evaluation.","Utføre personaloppgaver som utvelgelse, opplæring og vurdering.",manual 2026-09-07
"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.","Anbefale, velge ut og hjelpe kunden med å finne varer ut fra behov og ønsker.",manual 2026-09-07
Direct administrative activities directly related to making products or providing services.,Lede administrative aktiviteter direkte knyttet til produksjon av varer eller levering av tjenester.,manual 2026-09-07
"Develop sustainability project goals, objectives, initiatives, or strategies in collaboration with other sustainability professionals.","Utvikle mål, delmål, tiltak og strategier for bærekraftprosjekter i samarbeid med andre fagfolk på bærekraft.",manual 2026-09-07
"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.","Betjene kontormaskiner som kopimaskiner, skannere, telefaks, talepostsystemer og datamaskiner.",manual 2026-09-07
Prepare materials and classrooms for class activities.,Klargjøre materiell og klasserom til undervisning.,manual 2026-09-07
Notify managers concerning the need for major repairs or additions to building operating systems.,Varsle ledere om behov for større reparasjoner eller utvidelser av byggets tekniske anlegg.,manual 2026-09-07
Establish and enforce rules for behavior and procedures for maintaining order among students.,Fastsette og håndheve regler for atferd og rutiner for å holde orden blant elevene.,manual 2026-09-07
"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.","Overvåke eller følge bærekraftindikatorer som energibruk, ressursbruk, avfallsmengde og gjenvinning.",manual 2026-09-07
"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.","Vurdere eller foreslå bærekrafttiltak ut fra kostnadseffektivitet, teknisk gjennomførbarhet og aksept.",manual 2026-09-07
Gather and empty trash.,Samle inn og tømme søppel.,manual 2026-09-07
"Service, clean, or supply restrooms.","Rengjøre, vedlikeholde og fylle opp toaletter.",manual 2026-09-07
"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.","Kommunisere med kunder, ansatte og andre for å svare på spørsmål, formidle eller forklare informasjon, ta imot bestillinger og håndtere klager.",manual 2026-09-07
"Answer telephones, direct calls, and take messages.","Svare på telefoner, sette over samtaler og ta imot beskjeder.",manual 2026-09-07
"Direct engineering activities, ensuring compliance with environmental, safety, or other governmental regulations.","Lede ingeniørarbeid og sikre at miljø-, sikkerhets- og andre myndighetskrav følges.",manual 2026-09-07
Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Forberede elevene på senere trinn ved å oppmuntre dem til å utforske læringsmuligheter og holde ut i krevende oppgaver.,manual 2026-09-07
Listen and provide emotional support and encouragement to psychiatric patients.,Lytte til og gi følelsesmessig støtte og oppmuntring til psykiatriske pasienter.,manual 2026-09-07
Train workers in proper operational procedures and functions and explain company policies.,Lære opp ansatte i riktige arbeidsrutiner og funksjoner og forklare virksomhetens retningslinjer.,manual 2026-09-07
Inspect project sites to monitor progress and ensure conformance to design specifications and safety or sanitation standards.,Inspisere prosjektsteder for å følge fremdriften og sikre samsvar med spesifikasjoner og krav til sikkerhet og hygiene.,manual 2026-09-07
Complete physical checks and monitor patients to detect unusual or harmful behavior and report observations to professional staff.,"Gjennomføre fysiske kontroller og observere pasienter for å oppdage uvanlig eller skadelig atferd, og rapportere til fagpersonell.",manual 2026-09-07
"Estimate quantities and cost of materials, equipment, or labor to determine project feasibility.","Anslå mengder og kostnader for materialer, utstyr eller arbeid for å vurdere om prosjektet lar seg gjennomføre.",manual 2026-09-07
Maintain patients' restrictions to assigned areas.,Sørge for at pasienter holder seg innenfor tildelte områder.,manual 2026-09-07
Analyze problems to develop solutions involving computer hardware and software.,Analysere problemer for å utvikle løsninger som omfatter maskinvare og programvare.,manual 2026-09-07
Assess clients' cognitive abilities and physical and emotional needs to determine appropriate interventions.,Vurdere klienters kognitive evner og fysiske og følelsesmessige behov for å finne riktige tiltak.,manual 2026-09-07
"Observe and evaluate students' performance, behavior, social development, and physical health.","Observere og vurdere elevenes prestasjoner, atferd, sosiale utvikling og fysiske helse.",manual 2026-09-07
"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.","Gjennomføre logiske analyser av forretningsmessige, vitenskapelige, tekniske og andre problemer og formulere matematiske modeller som datamaskiner kan løse.",manual 2026-09-07
Meet with managers or other supervisors to stay informed of changes affecting operations.,Møte ledere og andre overordnede for å holde seg oppdatert om endringer som påvirker driften.,manual 2026-09-07
"Assign work schedules, following work requirements, to ensure quality and timely delivery of service.",Sette opp arbeidsplaner etter arbeidsbehovet for å sikre kvalitet og levering til rett tid.,manual 2026-09-07
"Operate computers programmed with accounting software to record, store, and analyze information.","Bruke datamaskiner med regnskapsprogramvare til å registrere, lagre og analysere informasjon.",manual 2026-09-07
Submit reports and review reports or problems with superior.,Sende inn rapporter og gjennomgå rapporter eller problemer med overordnet.,manual 2026-09-07
