styrk08,platform,date_start,usage_pct,automation_share,augmentation_share,directive_share,feedback_loop_share,task_iteration_share,validation_share,learning_share,n_classified,n_soc_matched,n_tasks_matched
1111,claude_ai,2024-12-01,0.023417,0.333333,0.666667,0.333333,0.0,0.666667,0.0,0.0,,1,5
1112,claude_ai,2024-12-01,0.208805,0.568888,0.431112,0.532296,0.036593,0.216144,0.037246,0.177722,,3,19
1114,claude_ai,2024-12-01,0.635145,0.365583,0.634417,0.309269,0.056314,0.3758,0.051407,0.20721,,3,51
1120,claude_ai,2024-12-01,0.203464,0.353332,0.646668,0.298443,0.054889,0.324215,0.055869,0.266583,,2,17
1211,claude_ai,2024-12-01,0.225135,0.334773,0.665227,0.280778,0.053996,0.241901,0.050216,0.37311,,1,19
1212,claude_ai,2024-12-01,0.107124,0.408092,0.591908,0.408092,0.0,0.422033,0.0,0.169875,,3,22
1213,claude_ai,2024-12-01,0.451606,0.353512,0.646488,0.288569,0.064943,0.219512,0.023803,0.403174,,1,41
1219,claude_ai,2024-12-01,0.69677,0.406354,0.593646,0.340852,0.065502,0.355074,0.02258,0.215991,,5,59
1221,claude_ai,2024-12-01,0.079188,0.312094,0.687906,0.312094,0.0,0.436988,0.0,0.250919,,2,15
1222,claude_ai,2024-12-01,0.372932,0.331801,0.668199,0.308245,0.023556,0.534953,0.025988,0.107257,,2,22
1223,claude_ai,2024-12-01,0.201307,0.323185,0.676815,0.309635,0.01355,0.456333,0.032152,0.18833,,2,26
1311,claude_ai,2024-12-01,0.040878,0.210526,0.789474,0.210526,0.0,0.089474,0.0,0.7,,1,13
1312,claude_ai,2024-12-01,0.040878,0.210526,0.789474,0.210526,0.0,0.089474,0.0,0.7,,1,13
1321,claude_ai,2024-12-01,0.020028,0.377049,0.622951,0.377049,0.0,0.245902,0.0,0.377049,,1,5
1322,claude_ai,2024-12-01,0.451606,0.353512,0.646488,0.288569,0.064943,0.219512,0.023803,0.403174,,1,41
1323,claude_ai,2024-12-01,0.029991,0.336323,0.663677,0.336323,0.0,0.466368,0.0,0.197309,,1,5
1324,claude_ai,2024-12-01,0.093618,0.310618,0.689382,0.310618,0.0,0.445325,0.0,0.244057,,1,14
1330,claude_ai,2024-12-01,0.076055,0.260169,0.739831,0.172034,0.088136,0.194068,0.0,0.545763,,1,7
1341,claude_ai,2024-12-01,0.073641,0.427877,0.572123,0.427877,0.0,0.533225,0.0,0.038898,,1,7
1342,claude_ai,2024-12-01,0.070355,0.397035,0.602965,0.215815,0.181219,0.370675,0.0,0.23229,,1,5
1343,claude_ai,2024-12-01,0.108973,0.416979,0.583021,0.280215,0.136763,0.337645,0.049231,0.196145,,2,8
