styrk08,styrk08_name,eloundou_beta,eloundou_q,felten_aioe,felten_q,felten_aioe_lm,felten_lm_q,handa_overall,handa_overall_q,handa_automation,handa_automation_q,handa_augmentation,handa_augmentation_q,anthropic2026_job_exposure,anthropic2026_q,mouchel_grounded,mouchel_grounded_q,mouchel_calibrated,mouchel_calibrated_q,microsoft_applicability,microsoft_user,microsoft_action,microsoft_q,atlas_repr_ratio,relational,relational_q,ai_exposure_z,relational_z,exposure_relational_interaction,quadrant
0000,Uoppgitt / yrker som ikke kan identifiseres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110,Offiserer fra fenrik og høyere grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0210,Befal med sersjant grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310,Menige,0.268774,3.0,,,,,,,,,,,0.0,1.0,0.181051,3.0,0.107006,2.0,0.204191,0.354475,0.053906,4.0,1.504,-0.730166,2.0,-0.3296677400702082,-0.8550436408265126,0.2818803047326792,shielded_transactional
1111,Politikere,0.4,3.0,,,,,0.02341738,2.0,0.33333333,4.0,0.66666667,4.0,0.0,1.0,0.42619,4.0,0.376334,4.0,0.268979,0.347126,0.190831,5.0,0.766,,,0.286073606345913,,,
1112,Toppledere i offentlig administrasjon,0.470256,4.0,0.979964,4.0,0.962521,4.0,0.06960164,3.0,0.53229551,5.0,0.46770449,2.0,0.057033,4.0,0.510106,4.0,0.425016,4.0,0.154509,0.204974,0.104043,3.0,0.766,1.680919,5.0,0.8259691073384037,1.8784523545621619,1.5515436144754313,exposed_relational
1114,Toppledere i interesseorganisasjoner,0.499534,4.0,0.944418,4.0,0.990176,4.0,0.21171499,5.0,0.30926876,4.0,0.69073124,4.0,0.155267,4.0,0.564332,5.0,0.473573,5.0,0.158116,0.208954,0.107278,3.0,0.9797,1.224267,5.0,0.8756889011517005,1.3607367148040326,1.191582038543518,exposed_relational
1120,Administrerende direktører,0.494274,4.0,0.954562,4.0,0.993263,4.0,0.10173206,4.0,0.29844326,3.0,0.70155674,4.0,0.08555,4.0,0.519407,5.0,0.442858,4.0,0.132673,0.184336,0.08101,3.0,0.766,1.499441,5.0,0.8687618495178684,1.6727070630228151,1.4531840817733026,exposed_relational
1211,Finans- og økonomisjefer,0.485055,4.0,1.446232,5.0,1.294551,5.0,0.22513547,5.0,0.28077754,3.0,0.71922246,4.0,0.3907,5.0,0.57111,5.0,0.523272,5.0,0.148803,0.20774,0.089867,3.0,0.766,0.335221,4.0,1.1095196881102898,0.3528072221829432,0.39144655911947684,exposed_relational
1212,Personalsjefer,0.497719,4.0,1.301025,5.0,1.387601,5.0,0.03570807,3.0,0.40809219,5.0,0.59190781,3.0,0.1259,4.0,0.573454,5.0,0.452957,5.0,0.157092,0.1832,0.130984,3.0,0.766,1.002122,5.0,1.0617390657927668,1.1088864200630273,1.177348031708004,exposed_relational
1213,Strategi- og planleggingssjefer,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,0.181953,0.231641,0.132264,4.0,1.407,1.224171,5.0,0.7974685060037914,1.3606278776557954,1.0850578808212765,exposed_relational
1219,Andre administrative ledere,0.491944,4.0,0.936151,4.0,0.942774,4.0,0.13935393,4.0,0.34085199,4.0,0.65914801,4.0,0.101075,4.0,0.470786,4.0,0.383855,4.0,0.136621,0.171155,0.102086,3.0,0.8728,1.318214,5.0,0.8534701226605457,1.4672463352772966,1.2522509097423504,exposed_relational
1221,Salgs- og markedssjefer,0.475,4.0,1.290656,5.0,1.248798,5.0,0.03959385,3.0,0.31209368,4.0,0.68790632,4.0,0.1814,5.0,0.580004,5.0,0.468878,5.0,0.176673,0.231426,0.121919,3.0,0.766,1.531969,5.0,1.0029042222842335,1.7095847167504947,1.7145497307816664,exposed_relational
1222,PR- og informasjonssjefer,0.516497,5.0,1.294038,5.0,1.300086,5.0,0.18646599,4.0,0.30824528,3.0,0.69175472,4.0,0.2023,5.0,0.551447,5.0,0.424209,4.0,0.185539,0.248062,0.123016,4.0,0.766,0.983893,5.0,1.1020656143430456,1.0882198328212087,1.1992896585983919,exposed_relational
1223,Forsknings- og utviklingsledere,0.486654,4.0,1.082458,5.0,0.944377,4.0,0.10065363,4.0,0.30963465,4.0,0.69036535,4.0,0.04595,3.0,0.484966,4.0,0.39921,4.0,0.137915,0.189687,0.086142,3.0,0.766,0.348955,4.0,0.9191379930113419,0.36837773670261714,0.33858997358290405,exposed_relational
1311,"Ledere i skogbruk, gartnerier mv.",0.367347,3.0,-0.144368,3.0,-0.1585,3.0,0.0408777,3.0,0.21052632,2.0,0.78947368,5.0,0.0,1.0,0.309475,4.0,0.171782,3.0,0.076042,0.137038,0.015045,1.0,0.766,0.489007,4.0,-0.015482388425465676,0.5271575313370555,-0.008161657661569887,shielded_relational
1312,Ledere innen akvakultur mv.,0.367347,3.0,-0.144368,3.0,-0.1585,3.0,0.0408777,3.0,0.21052632,2.0,0.78947368,5.0,0.0,1.0,0.309475,4.0,0.171782,3.0,0.076042,0.137038,0.015045,1.0,0.766,0.489007,4.0,-0.015482388425465676,0.5271575313370555,-0.008161657661569887,shielded_relational
1321,Ledere av industriproduksjon mv.,0.405719,4.0,0.508688,4.0,0.354297,3.0,0.02002802,2.0,0.37704918,4.0,0.62295082,3.0,0.0132,3.0,0.352628,4.0,0.288458,4.0,0.120291,0.152608,0.087975,3.0,0.766,0.434905,4.0,0.4230551015063191,0.46582099598366966,0.19706794873964603,exposed_relational
1322,Ledere av olje- og gassutvinning mv.,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,0.181953,0.231641,0.132264,4.0,1.407,1.224171,5.0,0.7974685060037914,1.3606278776557954,1.0850578808212765,exposed_relational
1323,Ledere av bygge- og anleggsvirksomhet,0.444444,4.0,1.029139,4.0,0.636195,4.0,0.02999067,3.0,0.33632287,4.0,0.66367713,4.0,0.1186,4.0,0.298401,3.0,0.154676,3.0,0.145006,0.212447,0.077565,3.0,0.766,0.805106,4.0,0.7916542399671656,0.8855253825933839,0.7010299237285988,exposed_relational
1324,Ledere av logistikk og transport mv.,0.486526,4.0,0.890792,4.0,0.904548,4.0,0.09361815,4.0,0.31061807,4.0,0.68938193,4.0,0.0956,4.0,0.506499,4.0,0.380654,4.0,0.205254,0.286171,0.124338,4.0,0.766,1.001473,5.0,0.8165524268716222,1.1081506355921327,0.9048630908320866,exposed_relational
1330,Ledere av IKT-enheter,0.530303,5.0,1.059853,5.0,0.94507,4.0,0.07605512,4.0,0.1720339,2.0,0.8279661,5.0,0.1559,4.0,0.630906,5.0,0.637886,5.0,0.151894,0.205915,0.097872,3.0,0.766,0.448114,4.0,1.009479885432806,0.48079630734892187,0.48535420125910583,exposed_relational
1341,Ledere av omsorgstjenester for barn,0.46875,4.0,0.838007,4.0,0.967188,4.0,0.07364148,3.0,0.42787682,5.0,0.57212318,2.0,0.0395,3.0,0.324205,4.0,0.223329,3.0,0.125085,0.179253,0.070918,3.0,0.766,1.903398,5.0,0.7466785100837129,2.1306813118814087,1.590933947418821,exposed_relational
1342,Ledere av helsetjenester,0.428571,4.0,1.260259,5.0,1.314992,5.0,0.07035483,3.0,0.21581549,2.0,0.78418451,5.0,0.0659,4.0,0.436608,4.0,0.353611,4.0,0.163289,0.201551,0.125027,3.0,0.766,1.892249,5.0,0.877754878363822,2.1180414643220784,1.8591212278855576,exposed_relational
1343,Ledere av eldreomsorg,0.45467,4.0,0.917568,4.0,0.996303,4.0,0.05448648,3.0,0.28021544,3.0,0.71978456,4.0,0.10185,4.0,0.493713,4.0,0.418275,4.0,0.136566,0.181118,0.092015,3.0,0.766,1.558306,5.0,0.7561041264606501,1.7394435081371742,1.3152004142477067,exposed_relational
1344,Ledere av sosialomsorg,0.392857,3.0,1.156153,5.0,1.225244,5.0,0.01992531,2.0,0.36842105,4.0,0.63157895,3.0,0.1808,5.0,0.372042,4.0,0.227353,4.0,0.155815,0.212803,0.098827,3.0,0.766,1.662737,5.0,0.73840825916292,1.8578390521741677,1.3718437003208164,exposed_relational
1345,Ledere av utdanning og undervisning,0.428603,4.0,0.954696,4.0,1.124088,5.0,0.28641779,5.0,0.35234624,4.0,0.64765376,3.0,0.05845,4.0,0.388394,4.0,0.260127,4.0,0.115915,0.155128,0.076703,2.0,0.766,1.682111,5.0,0.7147619495049599,1.8798037491527728,1.3436121924311684,exposed_relational
1346,Ledere av forsikring og finansvirksomhet,0.482912,4.0,1.010555,4.0,0.986083,4.0,0.1318768,4.0,0.31269646,4.0,0.68730354,4.0,0.26425,5.0,0.560964,5.0,0.503105,5.0,0.129323,0.184212,0.074435,3.0,0.766,0.779792,4.0,0.8719867981659355,0.8568263870676065,0.7471412978431687,exposed_relational
1349,Andre ledere av produksjon og tjenesteyting,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,0.181953,0.231641,0.132264,4.0,1.407,1.224171,5.0,0.7974685060037914,1.3606278776557954,1.0850578808212765,exposed_relational
1411,Hotellsjefer,0.456522,4.0,0.402173,4.0,0.463985,4.0,0.00677871,1.0,0.0,1.0,0.0,1.0,0.1215,4.0,0.2935,3.0,0.171121,3.0,0.183403,0.24357,0.123236,4.0,0.766,2.068038,5.0,0.48540131227060496,2.3173370211080817,1.1248384310191175,exposed_relational
1412,Restaurantsjefer,0.416667,4.0,-0.121311,3.0,0.061493,3.0,0.00996266,1.0,0.28395062,3.0,0.71604938,4.0,0.0,1.0,0.297288,3.0,0.20708,3.0,0.09102,0.139052,0.042988,2.0,0.766,1.02937,5.0,0.11253246591986052,1.139778030637665,0.12826203238893877,exposed_relational
1420,Varehandelssjefer,0.480769,4.0,0.574877,4.0,0.677615,4.0,0.03861813,3.0,0.34461538,4.0,0.65538462,3.0,0.1378,4.0,0.550819,5.0,0.482939,5.0,0.109843,0.160684,0.059002,2.0,0.766,1.224363,5.0,0.6344533745574779,1.36084555195227,0.8633930526876512,exposed_relational
1431,"Sports-, rekreasjons- og kultursenterledere",0.517556,5.0,0.897304,4.0,0.814612,4.0,0.23032221,5.0,0.38039557,4.0,0.61960443,3.0,0.04825,3.0,0.455796,4.0,0.35585,4.0,0.183663,0.229788,0.137539,4.0,1.0865,1.277935,5.0,0.8928274508258718,1.4215812155497631,1.2692267328212392,exposed_relational
1439,Andre daglige ledere i tjenesteytende virksomheter,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,0.181953,0.231641,0.132264,4.0,1.407,1.224171,5.0,0.7974685060037914,1.3606278776557954,1.0850578808212765,exposed_relational
2111,Fysikere og astronomer,0.59375,5.0,1.359736,5.0,1.065689,5.0,0.19360418,4.0,0.30578074,3.0,0.69421926,4.0,0.3288,5.0,0.708112,5.0,0.720394,5.0,0.257789,0.353368,0.16221,5.0,2.723,-0.09548,3.0,1.3183703393604285,-0.13548724222204353,-0.1786223615072841,exposed_transactional
2112,Meteorologer,0.565217,5.0,1.373917,5.0,1.259493,5.0,0.12098977,4.0,0.30707071,3.0,0.69292929,4.0,0.038,3.0,0.657605,5.0,0.643337,5.0,0.321434,0.439138,0.20373,5.0,2.723,-0.225796,3.0,1.258996664171069,-0.28322913607276656,-0.3565845375116669,exposed_transactional
2113,Kjemikere,0.431379,4.0,0.766941,4.0,0.556228,4.0,0.2307844,5.0,0.34453567,4.0,0.65546433,3.0,0.22285,5.0,0.374074,4.0,0.322294,4.0,0.241497,0.361771,0.121224,5.0,2.723,-0.567018,2.0,0.6210766480503032,-0.6700794422786923,-0.4161706939378668,exposed_transactional
2114,Geologer og geofysikere,0.483333,4.0,0.677428,4.0,0.561085,4.0,0.11508408,4.0,0.26077986,3.0,0.73922014,4.0,0.0589,4.0,0.510965,4.0,0.495462,5.0,0.177109,0.25905,0.095168,3.0,2.723,-0.174504,3.0,0.6951965888799203,-0.22507835474590504,-0.15647370445005782,exposed_transactional
2120,"Matematikere, statistikere mv.",0.695754,5.0,1.439613,5.0,1.224247,5.0,0.46688906,5.0,0.28607329,3.0,0.71392671,4.0,0.30982,5.0,0.778585,5.0,0.77812,5.0,0.259595,0.338711,0.180479,5.0,7.5646,-0.671145,2.0,1.6003104642955726,-0.7881303353462683,-1.261253222883412,exposed_transactional
2131,"Biologer, botanikere, zoologer mv.",0.464838,4.0,0.901489,4.0,0.786915,4.0,0.13411355,4.0,0.16465565,2.0,0.83534435,5.0,0.063078,4.0,0.430799,4.0,0.362329,4.0,0.216996,0.32251,0.111481,4.0,2.723,0.096543,3.0,0.7713785911054067,0.08221312981897512,0.06341744825012693,exposed_relational
2132,Sivilagronomer mv.,0.409049,4.0,0.436031,4.0,0.398981,4.0,0.09813729,4.0,0.20546862,2.0,0.79453138,5.0,0.0171,3.0,0.436925,4.0,0.366293,4.0,0.192063,0.292575,0.09155,4.0,1.9757,0.663001,4.0,0.39209321612925424,0.7244180601950828,0.2840394070440057,exposed_relational
2133,Miljøvernrådgivere,0.480579,4.0,0.541572,4.0,0.472357,4.0,0.11621386,4.0,0.3573817,4.0,0.6426183,3.0,0.0274,3.0,0.561732,5.0,0.490769,5.0,0.163598,0.204646,0.122551,3.0,2.723,0.386081,4.0,0.6162339306365705,0.41046823634273766,0.252944454682946,exposed_relational
