styrk08,atlas_repr_ratio,n_soc_matched,n_major_groups,has_partial_match,max_partial_fanout,manual_map
0310,1.504,1,1,0,0,
1111,0.766,1,1,1,2,
1112,0.766,3,1,1,7,
1114,0.9797,3,2,1,7,
1120,0.766,2,1,1,7,
1211,0.766,1,1,1,2,
1212,0.766,3,1,0,0,
1213,1.407,1,2,1,7,
1219,0.8728,6,2,1,7,
1221,0.766,2,1,0,0,
1222,0.766,2,1,1,3,
1223,0.766,2,1,0,0,
1311,0.766,1,1,1,2,
1312,0.766,1,1,1,2,
1321,0.766,1,1,0,0,
1322,1.407,1,2,1,7,
1323,0.766,1,1,1,2,
1324,0.766,1,1,0,0,
1330,0.766,1,1,0,0,
1341,0.766,1,1,0,0,
1342,0.766,1,1,1,2,
1343,0.766,2,1,1,7,
1344,0.766,1,1,0,0,
1345,0.766,3,1,0,0,
1346,0.766,2,1,1,7,
1349,1.407,1,2,1,7,
1411,0.766,1,1,0,0,
1412,0.766,1,1,0,0,
1420,0.766,1,1,1,7,
1431,1.0865,2,2,1,7,
1439,1.407,1,2,1,7,
2111,2.723,2,1,0,0,
2112,2.723,1,1,0,0,
2113,2.723,2,1,1,2,
2114,2.723,2,1,0,0,
2120,7.5646,5,2,0,0,
2131,2.723,10,1,1,2,
2132,1.9757,3,2,1,2,
2133,2.723,2,1,0,0,
2141,1.504,1,1,0,0,
2142,1.504,1,1,0,0,
2143,1.504,1,1,0,0,
2144,1.504,4,1,0,0,
2145,1.504,1,1,0,0,
2146,1.8088,4,2,1,2,
2149,1.504,5,1,1,2,
2151,1.504,1,1,0,0,
2152,1.504,2,1,1,2,
2153,1.504,1,1,1,2,
2161,1.504,1,1,0,0,
2162,1.504,1,1,0,0,
2163,6.978,3,1,0,0,
2164,2.723,1,1,0,0,
2165,1.504,2,1,0,0,
2166,6.978,2,1,0,0,
2211,0.41,4,1,1,2,
2212,0.41,5,1,1,2,
2221,0.41,3,1,0,0,
2222,0.41,1,1,0,0,
2223,0.41,3,1,0,0,2221
2224,0.41,3,1,0,0,2221
2250,0.41,1,1,0,0,
2261,0.41,5,1,0,0,
2262,0.41,1,1,0,0,
2263,1.858,2,2,0,0,
2264,0.41,2,1,0,0,
2265,0.41,1,1,0,0,
2266,0.41,2,1,0,0,
2267,0.41,1,1,0,0,SOC:29-1122
2269,0.41,1,1,0,0,SOC:29-1011
2310,0.481,37,1,0,0,
2320,0.481,3,1,0,0,
2330,0.481,1,1,0,0,
2341,0.481,2,1,0,0,
2342,0.481,2,1,0,0,
2351,0.481,1,1,0,0,
2352,0.481,5,1,0,0,
2353,0.481,3,1,1,6,
2354,0.481,1,1,1,6,
2355,0.481,2,1,1,6,
2356,3.33,1,1,1,2,
2359,0.6517,3,2,1,3,
2411,3.33,3,1,0,0,
2412,3.33,2,1,1,2,
2413,3.33,3,1,1,2,
