styrk08,automation_share,n_classified,n_vintages,usage_pct_mean,passes_threshold,automation_group,directive_share,directive_group,automation_share_feb,n_feb,automation_group_feb,automation_share_handa,automation_group_handa
0310,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
1111,0.5758,297,2,0.0201,1,high,0.5758,high,0.6742,221,high,0.3333,mid
1112,0.391,9449,3,0.3482,1,low,0.3592,low,0.3711,3837,mid,0.5689,high
1114,0.4094,22779,3,0.8608,1,mid,0.3776,mid,0.3928,10110,mid,0.3656,mid
1120,0.391,9449,3,0.3482,1,low,0.3592,low,0.3711,3837,mid,0.3533,mid
1211,0.4511,3463,3,0.1526,1,mid,0.4372,mid,0.3872,1405,mid,0.3348,mid
1212,0.4011,3163,3,0.1314,1,low,0.3975,mid,0.3516,1246,low,0.4081,mid
1213,0.442,14665,3,0.5688,1,mid,0.3669,mid,0.4435,6708,mid,0.3535,mid
1219,0.4875,23425,3,0.8967,1,mid,0.4526,mid,0.4778,10359,mid,0.4064,mid
1221,0.4177,3315,3,0.1355,1,mid,0.3805,mid,0.4228,1360,mid,0.3121,mid
1222,0.3552,18364,3,0.6569,1,low,0.3354,low,0.3583,8116,low,0.3318,mid
1223,0.4176,4994,3,0.2077,1,mid,0.4003,mid,0.3729,1739,mid,0.3232,mid
1311,0.3056,900,3,0.044,1,low,0.3056,low,0.2305,295,low,0.2105,low
1312,0.3056,900,3,0.044,1,low,0.3056,low,0.2305,295,low,0.2105,low
1321,0.4783,69,3,0.0108,0,too_few,0.4783,too_few,0.0,18,too_few,0.377,mid
1322,0.442,14665,3,0.5688,1,mid,0.3669,mid,0.4435,6708,mid,0.3535,mid
1323,0.3518,685,3,0.033,1,low,0.3518,low,0.3445,299,low,0.3363,mid
1324,0.4106,1052,3,0.0546,1,mid,0.4106,mid,0.4115,384,mid,0.3106,low
1330,0.3267,3858,3,0.1423,1,low,0.264,low,0.358,1285,low,0.2602,low
1341,0.5136,845,3,0.0376,1,high,0.5136,high,0.5138,290,high,0.4279,high
1342,0.5503,1997,3,0.0769,1,high,0.4852,high,0.4769,411,mid,0.397,mid
1343,0.5138,3029,3,0.1174,1,high,0.4679,high,0.4541,819,mid,0.417,high
1344,0.4291,536,3,0.0223,1,mid,0.4291,mid,0.4367,245,mid,0.3684,mid
1345,0.3817,12481,3,0.4665,1,low,0.3636,mid,0.3685,4798,low,0.368,mid
1346,0.4581,4495,3,0.1931,1,mid,0.4444,mid,0.4093,1813,mid,0.3858,mid
1349,0.442,14665,3,0.5688,1,mid,0.3669,mid,0.4435,6708,mid,0.3535,mid
1411,0.4303,581,3,0.0266,1,mid,0.4303,mid,0.4461,204,mid,,too_few
1412,0.6809,47,2,0.0111,0,too_few,0.6809,too_few,0.5161,31,too_few,0.284,low
1420,0.4729,1032,3,0.0405,1,mid,0.4535,mid,0.4314,408,mid,0.4369,high
1431,0.5249,14683,3,0.5708,1,high,0.4644,mid,0.4435,6708,mid,0.4129,mid
1439,0.442,14665,3,0.5688,1,mid,0.3669,mid,0.4435,6708,mid,0.3535,mid
2111,0.4897,2955,3,0.1172,1,mid,0.4103,mid,0.4895,744,high,0.4474,high
2112,0.4711,1469,3,0.0654,1,mid,0.4282,mid,0.4523,398,mid,0.3828,mid
2113,0.3849,9029,3,0.3229,1,low,0.3581,low,0.3523,2536,low,0.3756,mid
2114,0.4632,3232,3,0.1254,1,mid,0.4599,mid,0.4513,1167,mid,0.2822,low
2120,0.4417,44105,3,1.5959,1,mid,0.4037,mid,0.4395,14081,mid,0.3286,mid
2131,0.2873,33207,3,1.2525,1,low,0.2423,low,0.2554,9282,low,0.1917,low
2132,0.2914,2716,3,0.1136,1,low,0.2792,low,0.2499,969,low,0.2139,low
2133,0.5069,1514,3,0.0749,1,mid,0.3835,mid,0.4886,492,high,0.3624,mid
2141,0.2077,963,3,0.0494,1,low,0.2077,low,0.2007,279,low,0.3025,low
2142,0.1993,562,3,0.0373,1,low,0.1993,low,0.0,133,low,0.3068,low
2143,0.4259,324,3,0.0254,1,mid,0.4259,mid,0.4915,118,high,0.1429,low
2144,0.4397,3092,3,0.1363,1,mid,0.3967,mid,0.4216,804,mid,0.4196,high
2145,,0,0,,0,too_few,,too_few,,0,too_few,0.4077,mid
2146,0.4616,3050,3,0.1123,1,mid,0.4551,mid,0.4457,1041,mid,0.2048,low
2149,0.2991,13960,3,0.5883,1,low,0.2691,low,0.305,4380,low,0.2327,low
2151,0.3578,1280,3,0.0589,1,low,0.3461,low,0.3345,562,low,0.2788,low
2152,0.4185,9621,3,0.3568,1,mid,0.356,low,0.3903,3630,mid,0.3916,mid
2153,0.4407,1214,3,0.0592,1,mid,0.4102,mid,0.4151,436,mid,0.5021,high
2161,0.4286,1452,3,0.0598,1,mid,0.4286,mid,0.4408,650,mid,0.3384,mid
2162,0.3671,592,3,0.0254,1,low,0.3671,mid,0.3242,236,low,0.3968,mid
2163,0.4957,1133,3,0.0558,1,mid,0.4957,high,0.4882,443,high,0.4196,high
2164,1.0,53,1,0.0099,0,too_few,1.0,too_few,1.0,53,too_few,0.3365,mid
2165,0.7113,224,3,0.0138,1,high,0.7113,high,0.7955,89,too_few,0.5646,high
2166,0.5066,21629,3,0.7568,1,mid,0.4715,high,0.488,7987,mid,0.5059,high
2211,0.2766,7850,3,0.3454,1,low,0.2456,low,0.255,2657,low,0.2111,low
2212,0.2168,7065,3,0.31,1,low,0.2062,low,0.1799,2307,low,0.2227,low
2221,0.2741,11309,3,0.4424,1,low,0.2191,low,0.256,4166,low,0.2863,low
2222,0.1575,457,3,0.0283,1,low,0.1575,low,0.1513,152,low,0.3577,mid
2223,0.2741,11309,3,0.4424,1,low,0.2191,low,0.256,4166,low,0.2863,low
2224,0.2741,11309,3,0.4424,1,low,0.2191,low,0.256,4166,low,0.2863,low
2250,0.3831,984,3,0.0392,1,low,0.2114,low,0.3866,388,mid,0.2787,low
2261,0.4349,980,3,0.0411,1,mid,0.4349,mid,0.5916,365,high,0.2116,low
2262,0.2228,6132,3,0.2194,1,low,0.1939,low,0.2038,2380,low,0.0968,low
2263,0.7109,835,3,0.0368,1,high,0.7109,high,0.7678,243,high,0.5277,high
2264,0.2742,4723,3,0.1877,1,low,0.2266,low,0.2742,2005,low,0.2119,low
2265,0.2859,9507,3,0.3293,1,low,0.2395,low,0.2632,3586,low,0.2393,low
2266,1.0,44,2,0.0056,0,too_few,0.0,too_few,1.0,27,too_few,0.0,low
2267,0.3757,503,3,0.0279,1,low,0.3757,mid,0.3583,187,low,0.3164,mid
2269,0.1106,217,3,0.0127,1,low,0.1106,low,0.0,31,too_few,0.1429,low
2310,0.3077,156313,3,5.4473,1,low,0.2965,low,0.2868,49066,low,0.319,mid
2320,0.3731,18786,3,0.6561,1,low,0.3609,low,0.3709,5215,mid,0.3788,mid
2330,0.2805,4134,3,0.1444,1,low,0.2783,low,0.2809,1002,low,0.4037,mid
2341,0.3868,5321,3,0.1931,1,low,0.3848,mid,0.3661,1389,low,0.4178,high
2342,0.4542,775,3,0.0404,1,mid,0.4542,mid,0.4575,225,mid,0.4573,high
2351,0.4804,59370,3,2.0631,1,mid,0.4634,mid,0.4724,18844,mid,0.3948,mid
2352,0.453,12168,3,0.4381,1,mid,0.4523,mid,0.4367,3164,mid,0.5026,high
2353,0.2844,96652,3,3.3291,1,low,0.2724,low,0.2597,32741,low,0.3715,mid
2354,0.2658,10020,3,0.3503,1,low,0.251,low,0.2238,3077,low,0.404,mid
2355,0.311,78840,3,2.7006,1,low,0.2936,low,0.2908,27257,low,0.3697,mid
2356,0.5156,739,3,0.0329,1,high,0.5156,high,0.4823,311,mid,0.3687,mid
2359,0.3309,104106,3,3.5692,1,low,0.3132,low,0.3242,38581,low,0.3156,mid
2411,0.2797,7720,3,0.2964,1,low,0.2671,low,0.2665,3343,low,0.2953,low
2412,0.4389,15714,3,0.5571,1,mid,0.4046,mid,0.4308,7374,mid,0.2871,low
2413,0.4047,6392,3,0.2353,1,low,0.3963,mid,0.394,2860,mid,0.2909,low
2421,0.4184,4693,3,0.2032,1,mid,0.4099,mid,0.4237,1928,mid,0.4086,mid
2422,0.4607,11017,3,0.4498,1,mid,0.4362,mid,0.4503,4186,mid,0.4074,mid
2423,0.4769,40270,3,1.428,1,mid,0.4667,mid,0.5576,16212,high,0.4153,high
2424,0.5156,739,3,0.0329,1,high,0.5156,high,0.4823,311,mid,0.3687,mid
2431,0.4782,71431,3,2.5124,1,mid,0.4567,mid,0.4617,25026,mid,0.4221,high
2432,0.3469,10402,3,0.3697,1,low,0.345,low,0.305,4010,low,0.3767,mid
2433,0.3821,15739,3,0.5912,1,low,0.3532,low,0.3698,7350,low,0.1181,low
2434,0.4041,18872,3,0.7126,1,low,0.3668,mid,0.4034,8931,mid,0.1719,low
2511,0.3504,80286,3,2.8691,1,low,0.2625,low,0.3416,27321,low,0.3401,mid
2512,0.6654,252533,3,8.6429,1,high,0.2828,low,0.655,75424,high,0.5737,high
2513,0.5622,91017,3,3.1439,1,high,0.4355,mid,0.5261,27898,high,0.4639,high
2514,0.6006,119295,3,4.0985,1,high,0.3312,low,0.5907,32842,high,0.5388,high
2519,0.5361,260410,3,9.1388,1,high,0.357,low,0.5033,78131,high,0.4287,high
2521,0.58,24025,3,0.8334,1,high,0.2532,low,0.5556,7653,high,0.5053,high
2522,0.7297,59886,3,2.0857,1,high,0.214,low,0.7369,17760,high,0.5567,high
2523,0.4174,5297,3,0.2283,1,mid,0.3262,low,0.4052,2031,mid,0.2977,low
2529,0.4835,264424,3,9.2857,1,mid,0.3502,low,0.4505,79770,mid,0.3709,mid
2611,0.2543,4566,3,0.1692,1,low,0.2387,low,0.262,1416,low,0.1798,low
2612,0.5288,5253,3,0.1852,1,high,0.5204,high,0.5188,1678,high,0.3701,mid
2619,0.427,2433,3,0.0937,1,mid,0.427,mid,0.3934,671,mid,0.3064,low
2621,0.4728,9532,3,0.3541,1,mid,0.4642,mid,0.416,2877,mid,0.4418,high
2622,0.4322,10455,3,0.3942,1,mid,0.4185,mid,0.4338,3447,mid,0.3707,mid
2631,0.3006,4780,3,0.1768,1,low,0.281,low,0.3039,1418,low,0.2414,low
2632,0.4172,9996,3,0.3946,1,mid,0.4086,mid,0.3154,2977,low,0.3077,low
2633,0.4584,18902,3,0.6944,1,mid,0.456,mid,0.4572,6088,mid,0.3559,mid
2634,0.1523,38393,3,1.4388,1,low,0.1284,low,0.1511,15272,low,0.158,low
2635,0.2156,21311,3,0.8273,1,low,0.1686,low,0.1889,7990,low,0.12,low
2636,0.3696,13521,3,0.4896,1,low,0.3651,mid,0.3525,5029,low,0.2757,low
2641,0.4,145615,3,5.0633,1,low,0.3925,mid,0.3552,48929,low,0.407,mid
2642,0.3584,49504,3,1.7191,1,low,0.3495,low,0.3659,18501,low,0.4059,mid
2643,0.5937,19757,3,0.7009,1,high,0.591,high,0.5882,7018,high,0.5189,high
2651,0.4876,8243,3,0.3258,1,mid,0.48,high,0.4832,2704,mid,0.5377,high
2652,0.3916,3294,3,0.1464,1,low,0.3916,mid,0.3058,1226,low,0.448,high
2653,0.4137,2166,3,0.0791,1,mid,0.4137,mid,0.3883,824,mid,0.5863,high
2654,0.4865,11504,3,0.4625,1,mid,0.4651,mid,0.5256,5187,high,0.5517,high
2655,0.5602,18539,3,0.691,1,high,0.5365,high,0.5244,5625,high,0.7136,high
2656,0.6254,1853,3,0.0728,1,high,0.6254,high,0.612,781,high,0.6603,high
2659,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
3112,0.5365,2906,3,0.1168,1,high,0.5212,high,0.3014,773,low,0.3472,mid
3113,0.4233,3388,3,0.1491,1,mid,0.3598,low,0.2654,754,low,0.4967,high
3114,0.4572,2690,3,0.1107,1,mid,0.3599,low,0.3473,645,low,0.4934,high
3115,0.6097,8852,3,0.3829,1,high,0.5526,high,0.538,1779,high,0.422,high
3116,0.4371,8086,3,0.3357,1,mid,0.2972,low,0.4305,1654,mid,0.3847,mid
3117,0.6194,8764,3,0.3669,1,high,0.5306,high,0.6387,1863,high,0.5046,high
3118,0.5117,7299,3,0.2967,1,mid,0.4976,high,0.5092,2492,high,0.543,high
3119,0.5285,10915,3,0.4687,1,high,0.4973,high,0.5052,2628,high,0.3478,mid
3121,0.6828,186,3,0.0176,1,high,0.6828,high,0.5714,84,too_few,0.375,mid
3122,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
3123,0.6828,186,3,0.0176,1,high,0.6828,high,0.5714,84,too_few,0.375,mid
3131,1.0,69,3,0.0064,0,too_few,1.0,too_few,1.0,20,too_few,0.5485,high
3132,0.3148,467,3,0.0189,1,low,0.3148,low,0.3516,128,low,0.3438,mid
3133,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
3134,0.5,46,1,0.0074,0,too_few,0.5,too_few,,0,too_few,0.3139,mid
3135,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
3139,0.6708,14084,3,0.4878,1,high,0.4168,mid,0.6996,2327,high,0.6081,high
3141,0.5995,3834,3,0.144,1,high,0.5459,high,0.7016,1024,high,0.4112,mid
3142,0.6474,3315,3,0.1458,1,high,0.6229,high,0.7775,1429,high,0.4418,high
3143,0.6203,1351,3,0.0495,1,high,0.3101,low,0.6316,304,high,0.4232,high
3151,1.0,40,2,0.0062,0,too_few,1.0,too_few,1.0,21,too_few,,too_few
3152,1.0,40,2,0.0062,0,too_few,1.0,too_few,1.0,21,too_few,0.0,low
3153,1.0,40,2,0.0062,0,too_few,1.0,too_few,1.0,21,too_few,,too_few
3154,1.0,40,2,0.0062,0,too_few,1.0,too_few,1.0,21,too_few,0.54,high
3155,0.4572,2690,3,0.1107,1,mid,0.3599,low,0.3473,645,low,0.4934,high
3211,0.2604,335,3,0.0203,1,low,0.2604,low,0.3375,136,low,0.2592,low
3212,0.4577,1921,3,0.0916,1,mid,0.4078,mid,0.3576,355,low,0.4333,high
3213,1.0,212,3,0.0274,1,high,1.0,high,1.0,98,too_few,0.5068,high
3214,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
3230,0.2131,2689,3,0.1103,1,low,0.2131,low,0.2283,1152,low,0.0994,low
3240,0.285,1114,3,0.0511,1,low,0.2344,low,0.1527,348,low,0.1708,low
3251,0.3801,364,3,0.014,1,low,0.3801,mid,0.1903,128,low,0.2222,low
3254,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
