"code","parentCode","level","name","shortName","presentationName","validFrom","validTo","notes"
"0",,"1","Militære yrker og uoppgitt","","",,,""
"00","0","2","Uoppgitt / yrker som ikke kan identifiseres","","",,,""
"000","00","3","Uoppgitt / yrker som ikke kan identifiseres","","",,,""
"0000","000","4","Uoppgitt / yrker som ikke kan identifiseres","","",,,""
"01","0","2","Offiserer fra fenrik og høyere grad","","",,,""
"011","01","3","Offiserer fra fenrik og høyere grad","","",,,""
"0110","011","4","Offiserer fra fenrik og høyere grad","","",,,""
"02","0","2","Befal med sersjant grad","","",,,""
"021","02","3","Befal med sersjant grad","","",,,""
"0210","021","4","Befal med sersjant grad","","",,,""
"03","0","2","Menige","","",,,""
"031","03","3","Menige","","",,,""
"0310","031","4","Menige","","",,,""
"1",,"1","Ledere","","",,,""
"11","1","2","Politikere og toppledere","","",,,""
"111","11","3","Politikere og toppledere i offentlig administrasjon","","",,,""
"1111","111","4","Politikere","","",,,""
"1112","111","4","Toppledere i offentlig administrasjon","","",,,""
"1114","111","4","Toppledere i interesseorganisasjoner","","",,,""
"112","11","3","Administrerende direktører","","",,,""
"1120","112","4","Administrerende direktører","","",,,""
"12","1","2","Administrative og merkantile ledere","","",,,""
"121","12","3","Ledere av administrative enheter","","",,,""
"1211","121","4","Finans- og økonomisjefer","","",,,""
"1212","121","4","Personalsjefer","","",,,""
"1213","121","4","Strategi- og planleggingssjefer","","",,,""
"1219","121","4","Andre administrative ledere","","",,,""
"122","12","3","Ledere av salgs-, PR- og forskningsenheter","","",,,""
"1221","122","4","Salgs- og markedssjefer","","",,,""
"1222","122","4","PR- og informasjonssjefer","","",,,""
"1223","122","4","Forsknings- og utviklingsledere","","",,,""
"13","1","2","Ledere av enheter for vareproduksjon og tjenesteyting","","",,,""
"131","13","3","Ledere i gartnerier, akvakultur mv.","","",,,""
"1311","131","4","Ledere i skogbruk, gartnerier mv.","","",,,""
"1312","131","4","Ledere innen akvakultur mv.","","",,,""
"132","13","3","Ledere av produksjon, utvinning, bygg og anlegg, transport","","",,,""
"1321","132","4","Ledere av industriproduksjon mv.","","",,,""
"1322","132","4","Ledere av olje- og gassutvinning mv.","","",,,""
"1323","132","4","Ledere av bygge- og anleggsvirksomhet","","",,,""
"1324","132","4","Ledere av logistikk og transport mv.","","",,,""
"133","13","3","Ledere av IKT-enheter","","",,,""
"1330","133","4","Ledere av IKT-enheter","","",,,""
"134","13","3","Ledere av utdanning, helse- og sosialtjenester","","",,,""
"1341","134","4","Ledere av omsorgstjenester for barn","","",,,""
"1342","134","4","Ledere av helsetjenester","","",,,""
"1343","134","4","Ledere av eldreomsorg","","",,,""
"1344","134","4","Ledere av sosialomsorg","","",,,""
"1345","134","4","Ledere av utdanning og undervisning","","",,,""
"1346","134","4","Ledere av forsikring og finansvirksomhet","","",,,""
"1349","134","4","Andre ledere av produksjon og tjenesteyting","","",,,""
"14","1","2","Ledere i hotell, restaurant, varehandel mv.","","",,,""
"141","14","3","Ledere i hotell og restaurant","","",,,""
"1411","141","4","Hotellsjefer","","",,,""
"1412","141","4","Restaurantsjefer","","",,,""
"142","14","3","Varehandelssjefer","","",,,""
"1420","142","4","Varehandelssjefer","","",,,""
"143","14","3","Daglige ledere, andre tjenesteytende virksomheter","","",,,""
"1431","143","4","Sports-, rekreasjons- og kultursenterledere","","",,,""
"1439","143","4","Andre daglige ledere i tjenesteytende virksomheter","","",,,""
"2",,"1","Akademiske yrker","","",,,""
"21","2","2","Realister, sivilingeniører mv.","","",,,""
"211","21","3","Fysikere, kjemikere mv.","","",,,""
"2111","211","4","Fysikere og astronomer","","",,,""
"2112","211","4","Meteorologer","","",,,""
"2113","211","4","Kjemikere","","",,,""
"2114","211","4","Geologer og geofysikere","","",,,""
"212","21","3","Matematikere, statistikere mv.","","",,,""
"2120","212","4","Matematikere, statistikere mv.","","",,,""
"213","21","3","Biologiske yrker mv.","","",,,""
"2131","213","4","Biologer, botanikere, zoologer mv.","","",,,""
"2132","213","4","Sivilagronomer mv.","","",,,""
"2133","213","4","Miljøvernrådgivere","","",,,""
"214","21","3","Sivilingeniører (unntatt elektroteknologi)","","",,,""
"2141","214","4","Sivilingeniører (industri og produksjon)","","",,,""
"2142","214","4","Sivilingeniører (bygg og anlegg)","","",,,""
"2143","214","4","Sivilingeniører (miljøteknikk)","","",,,""
"2144","214","4","Sivilingeniører (maskin- og marin-teknikk)","","",,,""
