styrk08,styrk08_name,daioe_genai_2023,pctl_rank_genai,exposure_quartile,ssyk2012_matched,n_ssyk_matched
0000,Uoppgitt / yrker som ikke kan identifiseres,,,,,0
0110,Offiserer fra fenrik og høyere grad,,,,0110;0210,0
0210,Befal med sersjant grad,,,,0210,0
0310,Menige,,,,0310,0
1111,Politikere,,,,1111,0
1112,Toppledere i offentlig administrasjon,2.899789,62.53,3,1112,1
1114,Toppledere i interesseorganisasjoner,3.146769,70.57,3,1113,1
1120,Administrerende direktører,3.039446,66.54,3,1120;1792,2
1211,Finans- og økonomisjefer,3.443274,80.50,4,1211;1212;1612,3
1212,Personalsjefer,3.377857,78.72,4,1221;1222,2
1213,Strategi- og planleggingssjefer,3.103991,68.73,3,1230;1291;1292;1341;1342;1591;1592;1741;1742,9
1219,Andre administrative ledere,3.035272,66.59,3,1230;1291;1292;1351;1352,5
1221,Salgs- og markedssjefer,3.634646,85.22,4,1251;1252,2
1222,PR- og informasjonssjefer,3.750737,89.48,4,1241;1242,2
1223,Forsknings- og utviklingsledere,3.294151,75.65,4,1291;1292;1331;1332,4
1311,"Ledere i skogbruk, gartnerier mv.",1.678097,14.30,1,1380,1
1312,Ledere innen akvakultur mv.,3.797183,91.61,4,1312,1
1321,Ledere av industriproduksjon mv.,2.553945,49.64,3,1371;1372,2
1322,Ledere av olje- og gassutvinning mv.,2.767958,56.15,3,1362,1
1323,Ledere av bygge- og anleggsvirksomhet,2.767958,56.03,3,1361;1362,2
1324,Ledere av logistikk og transport mv.,3.142701,70.22,3,1321;1322,2
1330,Ledere av IKT-enheter,3.387414,78.19,4,1311;1312;1321;1322,4
1341,Ledere av omsorgstjenester for barn,3.060605,67.14,3,1421;1422,2
1342,Ledere av helsetjenester,2.983879,64.07,3,1511;1512;1521;1522,4
1343,Ledere av eldreomsorg,2.885449,60.99,3,1531;1532,2
1344,Ledere av sosialomsorg,2.855728,59.57,3,1521;1522,2
1345,Ledere av utdanning og undervisning,2.975631,63.95,3,1411;1412;1491;1492,4
1346,Ledere av forsikring og finansvirksomhet,3.129512,69.51,3,1611;1612,2
1349,Andre ledere av produksjon og tjenesteyting,3.270509,75.18,4,1591;1592,2
1411,Hotellsjefer,2.169910,39.25,2,1711;1712,2
1412,Restaurantsjefer,2.003550,32.62,2,1721;1722,2
1420,Varehandelssjefer,2.573937,51.01,3,1120;1731;1732;5221,4
1431,"Sports-, rekreasjons- og kultursenterledere",2.838673,58.86,3,1741;1742,2
1439,Andre daglige ledere i tjenesteytende virksomheter,3.111534,68.83,3,1322;1791;1792,3
2111,Fysikere og astronomer,4.277737,98.46,4,2111,1
2112,Meteorologer,4.187028,97.75,4,2112,1
2113,Kjemikere,3.617943,86.64,4,2113,1
2114,Geologer og geofysikere,3.527101,83.81,4,2114,1
2120,"Matematikere, statistikere mv.",4.687046,99.53,4,2121;2122,2
2131,"Biologer, botanikere, zoologer mv.",3.542535,84.75,4,2131;2132;2133,3
2132,Sivilagronomer mv.,2.607694,52.72,3,2134;2135,2
2133,Miljøvernrådgivere,3.362093,78.13,4,2183,1
2141,Sivilingeniører (industri og produksjon),3.815065,92.08,4,2141,1
2142,Sivilingeniører (bygg og anlegg),3.991532,94.92,4,2142,1
2143,Sivilingeniører (miljøteknikk),3.362093,78.13,4,2183,1
2144,Sivilingeniører (maskin- og marin-teknikk),3.771928,90.90,4,2144,1
2145,Sivilingeniører (kjemi),4.289312,98.70,4,2145,1
2146,"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",4.003551,95.15,4,2146,1
2149,Andre sivilingeniører (unntatt elektroteknologi),3.795466,91.37,4,2149,1
2151,Sivilingeniører (elkraftteknikk),3.894471,93.03,4,2143,1
2152,Sivilingeniører (elektronikk),3.894471,93.03,4,2143,1
2153,Sivilingeniører (telekommunikasjon),3.894471,93.03,4,2143,1
2161,Sivilarkitekter,3.713262,89.95,4,2161,1
2162,Landskapsarkitekter,3.746324,90.19,4,2162,1
2163,Produkt- og klesdesignere,3.493253,82.15,4,2171;2179,2
2164,Arealplanleggere,3.776350,91.13,4,2163,1
2165,"Landmålere, kartografer mv.",3.215917,72.93,4,2164,1
2166,Grafiske- og multimediadesignere,3.670654,86.76,4,2172;2173,2
2211,Allmennpraktiserende leger,2.913553,62.11,3,2211;2212;2213;2219,4
2212,Legespesialister,2.665468,52.36,3,2211,1
2221,Spesialsykepleiere,2.167175,37.73,2,2221;2223;2224;2225;2226;2227;2228;2231;2232;2233;2234;2239,12
2222,Jordmødre,2.333065,44.56,2,2222,1
2223,Sykepleiere,2.156198,36.29,2,2223,1
2224,Vernepleiere,2.156198,36.05,2,2224,1
2250,Veterinærer,2.183929,41.02,2,2250,1
2261,Tannleger,2.048402,33.92,2,2260,1
2262,Farmasøyter,2.698913,54.49,3,2281,1
2263,Helse- og miljørådgivere,2.848348,59.22,3,2181;3354,2
2264,Fysioterapeuter,2.218513,41.96,2,2272,1
2265,Ernæringsfysiologer,3.349995,77.19,4,2131;2282,2
2266,Audiografer og logopeder,2.777438,56.38,3,2283,1
2267,Ergoterapeuter,2.485524,48.23,3,2239;2284,2
2269,Kiropraktorer mv.,2.831453,58.27,3,2271;2273;2289,3
2310,Universitets- og høyskolelektorer/-lærere,3.708844,89.24,4,2311;2312;2313;2314;2319,5
2320,Yrkesfaglærere,2.490179,48.35,3,2320,1
2330,Lektorer mv. (videregående skole),3.231127,72.93,4,2330;2359,2
2341,Grunnskolelærere,3.283060,75.77,4,2341,1
2342,Førskole-/barnehagelærere,2.891533,61.70,3,2342;2343,2
2351,Spesialister i pedagogikk,2.864817,60.17,3,2351,1
2352,Spesiallærere / spesialpedagoger,2.864817,60.17,3,2351,1
2353,Andre språklærere,3.184573,71.40,3,2359;3449,2
2354,Andre musikklærere,3.184573,71.40,3,2359;3449,2
2355,Andre lærere i estetiske fag,3.184573,71.40,3,2359;3449,2
2356,Andre IKT-lærere,3.176639,71.04,3,3449,1
2359,Andre lærere,3.184573,71.40,3,2359;3449,2
2411,"Revisorer, regnskapsrådgivere",4.101269,96.69,4,2411;2412,2
