styrk08,n_tasks,eloundou_beta,quadrant
1111,30.0,0.4000,"High exposure, High dimensionality"
1112,29.7,0.4703,"High exposure, High dimensionality"
1114,18.0,0.4995,"High exposure, Low dimensionality"
1120,33.0,0.4943,"High exposure, High dimensionality"
1211,43.0,0.4851,"High exposure, High dimensionality"
1212,20.7,0.4977,"High exposure, Low dimensionality"
1219,16.8,0.4919,"High exposure, Low dimensionality"
1221,18.5,0.4750,"High exposure, Low dimensionality"
1222,30.0,0.5165,"High exposure, High dimensionality"
1223,55.0,0.4867,"High exposure, High dimensionality"
1311,66.0,0.3673,"High exposure, High dimensionality"
1312,66.0,0.3673,"High exposure, High dimensionality"
1321,130.0,0.4057,"High exposure, High dimensionality"
1323,25.0,0.4444,"High exposure, High dimensionality"
1324,88.0,0.4865,"High exposure, High dimensionality"
1330,17.0,0.5303,"High exposure, Low dimensionality"
1341,17.0,0.4688,"High exposure, Low dimensionality"
1342,18.0,0.4286,"High exposure, Low dimensionality"
1343,17.5,0.4547,"High exposure, Low dimensionality"
1344,16.0,0.3929,"High exposure, Low dimensionality"
1345,35.0,0.4286,"High exposure, High dimensionality"
1346,30.0,0.4829,"High exposure, High dimensionality"
1411,24.0,0.4565,"High exposure, High dimensionality"
1412,28.0,0.4167,"High exposure, High dimensionality"
1420,17.0,0.4808,"High exposure, Low dimensionality"
1431,19.0,0.5176,"High exposure, Low dimensionality"
2111,14.5,0.5938,"High exposure, Low dimensionality"
2112,24.0,0.5652,"High exposure, High dimensionality"
2113,14.0,0.4314,"High exposure, Low dimensionality"
2114,28.0,0.4833,"High exposure, High dimensionality"
2120,23.6,0.6958,"High exposure, High dimensionality"
2131,21.6,0.4648,"High exposure, Low dimensionality"
2132,22.3,0.4090,"High exposure, High dimensionality"
2133,80.5,0.4806,"High exposure, High dimensionality"
2141,46.0,0.5544,"High exposure, High dimensionality"
2142,43.0,0.4821,"High exposure, High dimensionality"
2143,55.0,0.5556,"High exposure, High dimensionality"
2144,35.2,0.4874,"High exposure, High dimensionality"
2145,12.0,0.4615,"High exposure, Low dimensionality"
2146,19.0,0.4950,"High exposure, Low dimensionality"
2149,24.8,0.5309,"High exposure, High dimensionality"
2151,22.0,0.5625,"High exposure, High dimensionality"
2152,30.5,0.6737,"High exposure, High dimensionality"
2153,43.0,0.6201,"High exposure, High dimensionality"
2161,24.0,0.4884,"High exposure, High dimensionality"
2162,19.0,0.4211,"High exposure, Low dimensionality"
2163,18.5,0.4281,"High exposure, Low dimensionality"
2164,19.0,0.4773,"High exposure, Low dimensionality"
2165,26.5,0.5150,"High exposure, High dimensionality"
2166,15.5,0.5125,"High exposure, Low dimensionality"
2211,16.7,0.4516,"High exposure, Low dimensionality"
2212,14.5,0.3794,"High exposure, Low dimensionality"
2221,62.7,0.3428,"High exposure, High dimensionality"
2222,20.0,0.3902,"High exposure, Low dimensionality"
2250,23.0,0.2703,"Low exposure, High dimensionality"
2261,13.8,0.1589,"Low exposure, Low dimensionality"
2262,20.0,0.4286,"High exposure, Low dimensionality"
2263,18.0,0.4328,"High exposure, Low dimensionality"
2264,24.5,0.2257,"Low exposure, High dimensionality"
2265,23.0,0.5488,"High exposure, High dimensionality"
2266,22.0,0.4529,"High exposure, High dimensionality"
2267,10.0,0.3000,"Low exposure, Low dimensionality"
2269,32.8,0.3635,"High exposure, High dimensionality"
2310,23.9,0.4857,"High exposure, High dimensionality"
2320,28.0,0.3810,"High exposure, High dimensionality"
2330,32.0,0.3333,"High exposure, High dimensionality"
2341,36.5,0.3293,"High exposure, High dimensionality"
2342,35.5,0.2301,"Low exposure, High dimensionality"
2351,42.0,0.4875,"High exposure, High dimensionality"
2352,35.0,0.3130,"Low exposure, High dimensionality"
2353,29.3,0.4055,"High exposure, High dimensionality"
2354,30.0,0.3600,"High exposure, High dimensionality"
2355,24.5,0.4060,"High exposure, High dimensionality"
2356,20.0,0.5526,"High exposure, Low dimensionality"
2359,26.5,0.3707,"High exposure, High dimensionality"
2411,20.0,0.5683,"High exposure, Low dimensionality"
2412,19.5,0.4987,"High exposure, Low dimensionality"
2413,15.0,0.5177,"High exposure, Low dimensionality"
2421,46.5,0.4663,"High exposure, High dimensionality"
2423,27.8,0.4887,"High exposure, High dimensionality"
2424,20.0,0.5526,"High exposure, Low dimensionality"
2431,20.5,0.7009,"High exposure, Low dimensionality"
2432,18.0,0.5909,"High exposure, Low dimensionality"
2433,33.5,0.5177,"High exposure, High dimensionality"
2434,30.7,0.5156,"High exposure, High dimensionality"
2511,26.5,0.6260,"High exposure, High dimensionality"
2512,17.0,0.8728,"High exposure, Low dimensionality"
2513,37.0,0.8413,"High exposure, High dimensionality"
2514,15.0,0.9500,"High exposure, Low dimensionality"
2521,18.0,0.9234,"High exposure, Low dimensionality"
2522,20.0,0.7297,"High exposure, Low dimensionality"
2523,59.0,0.6352,"High exposure, High dimensionality"
2529,12.0,0.7085,"High exposure, Low dimensionality"
2611,22.0,0.4250,"High exposure, High dimensionality"
2612,16.5,0.4583,"High exposure, Low dimensionality"
2619,20.0,0.5000,"High exposure, Low dimensionality"
2621,14.0,0.5000,"High exposure, Low dimensionality"
2622,27.0,0.5351,"High exposure, High dimensionality"
2631,31.0,0.5526,"High exposure, High dimensionality"
2632,22.7,0.4927,"High exposure, High dimensionality"
2633,18.3,0.4920,"High exposure, Low dimensionality"
2634,32.0,0.4415,"High exposure, High dimensionality"
2635,19.2,0.2716,"Low exposure, Low dimensionality"
2636,20.0,0.3864,"High exposure, Low dimensionality"
2641,21.0,0.7414,"High exposure, Low dimensionality"
2642,23.5,0.6485,"High exposure, High dimensionality"
2643,19.5,0.7016,"High exposure, Low dimensionality"
2651,20.5,0.3418,"High exposure, Low dimensionality"
2652,34.0,0.5593,"High exposure, High dimensionality"
2653,15.5,0.1461,"Low exposure, Low dimensionality"
2654,46.3,0.4991,"High exposure, High dimensionality"
2655,19.0,0.1875,"Low exposure, Low dimensionality"
2656,14.3,0.6500,"High exposure, Low dimensionality"
3112,33.4,0.4257,"High exposure, High dimensionality"
3113,39.0,0.3965,"High exposure, High dimensionality"
3114,43.0,0.4057,"High exposure, High dimensionality"
3115,27.3,0.3564,"High exposure, High dimensionality"
3117,38.0,0.3898,"High exposure, High dimensionality"
3118,25.5,0.5099,"High exposure, High dimensionality"
3119,33.2,0.3636,"High exposure, High dimensionality"
3121,30.0,0.4167,"High exposure, High dimensionality"
3122,19.0,0.4000,"High exposure, Low dimensionality"
3123,30.0,0.4167,"High exposure, High dimensionality"
3131,19.5,0.3121,"Low exposure, Low dimensionality"
3132,28.5,0.2174,"Low exposure, High dimensionality"
3133,19.0,0.1515,"Low exposure, Low dimensionality"
3134,17.5,0.2020,"Low exposure, Low dimensionality"
3135,15.0,0.1042,"Low exposure, Low dimensionality"
3139,15.0,0.8036,"High exposure, Low dimensionality"
3141,20.5,0.4361,"High exposure, Low dimensionality"
3142,41.0,0.3834,"High exposure, High dimensionality"
3143,20.0,0.3269,"High exposure, Low dimensionality"
3151,19.5,0.2513,"Low exposure, Low dimensionality"
3152,37.5,0.2971,"Low exposure, High dimensionality"
3153,24.7,0.3072,"Low exposure, High dimensionality"
3154,22.5,0.3358,"High exposure, High dimensionality"
3155,43.0,0.4057,"High exposure, High dimensionality"
3211,21.0,0.3146,"Low exposure, Low dimensionality"
3212,44.5,0.2543,"Low exposure, High dimensionality"
3213,20.0,0.4265,"High exposure, Low dimensionality"
3214,14.2,0.1639,"Low exposure, Low dimensionality"
3230,35.0,0.3580,"High exposure, High dimensionality"
3240,29.0,0.1931,"Low exposure, High dimensionality"
3251,16.5,0.2271,"Low exposure, Low dimensionality"
3254,21.0,0.2857,"Low exposure, Low dimensionality"
3256,20.0,0.3440,"High exposure, Low dimensionality"
3257,31.5,0.3577,"High exposure, High dimensionality"
3258,15.0,0.1811,"Low exposure, Low dimensionality"
3259,21.1,0.3122,"Low exposure, Low dimensionality"
3311,33.5,0.5714,"High exposure, High dimensionality"
3312,37.0,0.6080,"High exposure, High dimensionality"
3313,30.0,0.8023,"High exposure, High dimensionality"
3315,24.0,0.5171,"High exposure, High dimensionality"
3321,14.7,0.5614,"High exposure, Low dimensionality"
3322,25.8,0.5723,"High exposure, High dimensionality"
3323,17.0,0.4894,"High exposure, Low dimensionality"
3324,40.7,0.5567,"High exposure, High dimensionality"
3331,33.0,0.5137,"High exposure, High dimensionality"
3332,21.0,0.4865,"High exposure, Low dimensionality"
3333,16.5,0.3937,"High exposure, Low dimensionality"
3334,24.0,0.4794,"High exposure, High dimensionality"
3339,14.2,0.5437,"High exposure, Low dimensionality"
3341,29.0,0.4896,"High exposure, High dimensionality"
3342,13.0,0.6957,"High exposure, Low dimensionality"
3343,16.5,0.8035,"High exposure, Low dimensionality"
3351,58.7,0.4021,"High exposure, High dimensionality"
3352,26.0,0.5806,"High exposure, High dimensionality"
3353,69.0,0.6032,"High exposure, High dimensionality"
3354,94.0,0.6132,"High exposure, High dimensionality"
3355,58.0,0.3632,"High exposure, High dimensionality"
3359,22.0,0.2917,"Low exposure, High dimensionality"
3411,13.8,0.4126,"High exposure, Low dimensionality"
3412,18.0,0.3929,"High exposure, Low dimensionality"
3421,9.0,0.0000,"Low exposure, Low dimensionality"
3422,24.3,0.3242,"Low exposure, High dimensionality"
3423,28.0,0.2528,"Low exposure, High dimensionality"
3431,29.0,0.3854,"High exposure, High dimensionality"
3432,21.0,0.3987,"High exposure, Low dimensionality"
3433,24.7,0.3543,"High exposure, High dimensionality"
3434,23.5,0.3865,"High exposure, High dimensionality"
3511,15.0,0.7358,"High exposure, Low dimensionality"
3512,16.0,0.6111,"High exposure, Low dimensionality"
3513,26.0,0.6346,"High exposure, High dimensionality"
3514,28.5,0.7855,"High exposure, High dimensionality"
3521,22.6,0.3935,"High exposure, High dimensionality"
3522,43.0,0.4057,"High exposure, High dimensionality"
4110,20.0,0.5950,"High exposure, Low dimensionality"
4131,19.0,0.7432,"High exposure, Low dimensionality"
4132,9.0,0.8929,"High exposure, Low dimensionality"
4211,24.0,0.4282,"High exposure, High dimensionality"
4212,18.4,0.3378,"High exposure, Low dimensionality"
4214,21.5,0.6078,"High exposure, Low dimensionality"
4221,15.3,0.5189,"High exposure, Low dimensionality"
4222,23.5,0.5508,"High exposure, High dimensionality"
4223,17.5,0.7619,"High exposure, Low dimensionality"
4224,17.5,0.4833,"High exposure, Low dimensionality"
4225,20.0,0.7488,"High exposure, Low dimensionality"
4226,19.0,0.5333,"High exposure, Low dimensionality"
4227,16.0,0.6724,"High exposure, Low dimensionality"
4229,17.0,0.6800,"High exposure, Low dimensionality"
4311,30.0,0.7881,"High exposure, High dimensionality"
4312,16.6,0.6807,"High exposure, Low dimensionality"
4313,19.0,0.8378,"High exposure, Low dimensionality"
4321,27.7,0.3250,"High exposure, High dimensionality"
4322,17.0,0.5962,"High exposure, Low dimensionality"
4323,13.0,0.6739,"High exposure, Low dimensionality"
4411,33.0,0.5509,"High exposure, High dimensionality"
4412,21.0,0.2344,"Low exposure, Low dimensionality"
4413,8.0,0.9750,"High exposure, Low dimensionality"
4415,18.5,0.5956,"High exposure, Low dimensionality"
4416,18.0,0.6207,"High exposure, Low dimensionality"
5111,20.0,0.2398,"Low exposure, Low dimensionality"
5112,18.0,0.2764,"Low exposure, Low dimensionality"
5113,24.7,0.3355,"High exposure, High dimensionality"
5120,16.6,0.1933,"Low exposure, Low dimensionality"
5131,19.5,0.1567,"Low exposure, Low dimensionality"
5132,20.0,0.1944,"Low exposure, Low dimensionality"
5141,26.7,0.1993,"Low exposure, High dimensionality"
5142,20.2,0.2001,"Low exposure, Low dimensionality"
5151,26.0,0.2653,"Low exposure, High dimensionality"
5152,26.0,0.1535,"Low exposure, High dimensionality"
5153,23.0,0.0000,"Low exposure, High dimensionality"
5163,24.0,0.1269,"Low exposure, High dimensionality"
5164,26.2,0.2389,"Low exposure, High dimensionality"
5165,30.0,0.3600,"High exposure, High dimensionality"
5169,28.0,0.2211,"Low exposure, High dimensionality"
5211,12.0,0.2609,"Low exposure, Low dimensionality"
5212,13.0,0.1953,"Low exposure, Low dimensionality"
5221,17.0,0.4808,"High exposure, Low dimensionality"
5222,21.0,0.4865,"High exposure, Low dimensionality"
5223,21.5,0.3425,"High exposure, Low dimensionality"
5230,20.0,0.2356,"Low exposure, Low dimensionality"
5241,17.0,0.2333,"Low exposure, Low dimensionality"
5242,24.0,0.1282,"Low exposure, High dimensionality"
5243,12.0,0.2609,"Low exposure, Low dimensionality"
5244,12.0,0.8056,"High exposure, Low dimensionality"
5245,19.0,0.2305,"Low exposure, Low dimensionality"
5246,26.7,0.0647,"Low exposure, High dimensionality"
5249,16.0,0.5323,"High exposure, Low dimensionality"
5311,41.0,0.2493,"Low exposure, High dimensionality"
5312,32.0,0.3167,"Low exposure, High dimensionality"
5321,25.0,0.1133,"Low exposure, High dimensionality"
5322,21.3,0.2188,"Low exposure, Low dimensionality"
5329,19.2,0.2160,"Low exposure, Low dimensionality"
5411,51.5,0.2777,"Low exposure, High dimensionality"
5413,24.0,0.2720,"Low exposure, High dimensionality"
5414,14.3,0.3172,"Low exposure, Low dimensionality"
5419,18.4,0.3092,"Low exposure, Low dimensionality"
6111,44.5,0.1404,"Low exposure, High dimensionality"
6112,44.5,0.1404,"Low exposure, High dimensionality"
6113,23.7,0.1385,"Low exposure, High dimensionality"
6114,44.5,0.1404,"Low exposure, High dimensionality"
6121,46.5,0.2237,"Low exposure, High dimensionality"
6122,46.5,0.2237,"Low exposure, High dimensionality"
6123,46.5,0.2237,"Low exposure, High dimensionality"
6129,46.5,0.2237,"Low exposure, High dimensionality"
6130,36.7,0.1491,"Low exposure, High dimensionality"
6210,26.6,0.1507,"Low exposure, High dimensionality"
6221,46.5,0.2237,"Low exposure, High dimensionality"
6222,51.0,0.1623,"Low exposure, High dimensionality"
6224,47.0,0.1623,"Low exposure, High dimensionality"
7112,15.0,0.0192,"Low exposure, Low dimensionality"
7113,14.5,0.0208,"Low exposure, Low dimensionality"
7114,21.3,0.0139,"Low exposure, Low dimensionality"
7115,37.0,0.1444,"Low exposure, High dimensionality"
7119,24.0,0.1038,"Low exposure, High dimensionality"
7121,28.0,0.0400,"Low exposure, High dimensionality"
7122,15.2,0.0554,"Low exposure, Low dimensionality"
7123,19.0,0.0395,"Low exposure, Low dimensionality"
7124,11.5,0.0477,"Low exposure, Low dimensionality"
7125,27.0,0.0833,"Low exposure, High dimensionality"
7126,28.5,0.0555,"Low exposure, High dimensionality"
7127,34.5,0.2578,"Low exposure, High dimensionality"
7131,19.5,0.0421,"Low exposure, Low dimensionality"
7132,24.5,0.0435,"Low exposure, High dimensionality"
7211,23.0,0.0407,"Low exposure, High dimensionality"
7212,46.5,0.0782,"Low exposure, High dimensionality"
7213,18.3,0.0755,"Low exposure, Low dimensionality"
7214,16.7,0.0409,"Low exposure, Low dimensionality"
7215,13.0,0.0000,"Low exposure, Low dimensionality"
7221,13.0,0.0417,"Low exposure, Low dimensionality"
7222,14.7,0.2525,"Low exposure, Low dimensionality"
7223,20.1,0.1212,"Low exposure, Low dimensionality"
7224,19.0,0.0345,"Low exposure, Low dimensionality"
7231,22.2,0.0851,"Low exposure, High dimensionality"
7232,30.0,0.2723,"Low exposure, High dimensionality"
7233,17.9,0.1339,"Low exposure, Low dimensionality"
7234,15.5,0.2569,"Low exposure, Low dimensionality"
7311,17.5,0.2883,"Low exposure, Low dimensionality"
7312,30.5,0.2149,"Low exposure, High dimensionality"
7313,94.0,0.2054,"Low exposure, High dimensionality"
7314,49.0,0.1648,"Low exposure, High dimensionality"
7315,40.3,0.0356,"Low exposure, High dimensionality"
7316,22.5,0.0682,"Low exposure, High dimensionality"
7317,15.0,0.2586,"Low exposure, Low dimensionality"
7318,27.0,0.0588,"Low exposure, High dimensionality"
7319,15.0,0.2586,"Low exposure, Low dimensionality"
7321,25.0,0.5413,"High exposure, High dimensionality"
7322,23.0,0.2875,"Low exposure, High dimensionality"
7323,26.0,0.0897,"Low exposure, High dimensionality"
7411,23.5,0.1282,"Low exposure, High dimensionality"
7412,21.7,0.1992,"Low exposure, Low dimensionality"
7413,22.5,0.2051,"Low exposure, High dimensionality"
7421,17.6,0.2960,"Low exposure, Low dimensionality"
7422,23.6,0.2393,"Low exposure, High dimensionality"
7511,15.0,0.0496,"Low exposure, Low dimensionality"
7512,18.0,0.2647,"Low exposure, Low dimensionality"
7513,23.0,0.1291,"Low exposure, High dimensionality"
7514,17.0,0.1290,"Low exposure, Low dimensionality"
7515,14.0,0.1958,"Low exposure, Low dimensionality"
7522,19.0,0.1391,"Low exposure, Low dimensionality"
7531,22.0,0.0909,"Low exposure, High dimensionality"
7532,16.3,0.2098,"Low exposure, Low dimensionality"
7534,22.0,0.1912,"Low exposure, High dimensionality"
7535,6.0,0.1000,"Low exposure, Low dimensionality"
7536,27.0,0.0588,"Low exposure, High dimensionality"
7541,25.0,0.0667,"Low exposure, High dimensionality"
7542,29.0,0.1354,"Low exposure, High dimensionality"
7543,32.0,0.4167,"High exposure, High dimensionality"
7544,17.7,0.2200,"Low exposure, Low dimensionality"
7549,17.0,0.1469,"Low exposure, Low dimensionality"
8111,16.0,0.0393,"Low exposure, Low dimensionality"
8112,16.5,0.1067,"Low exposure, Low dimensionality"
8113,18.7,0.0422,"Low exposure, Low dimensionality"
8114,35.5,0.0955,"Low exposure, High dimensionality"
8121,19.2,0.0956,"Low exposure, Low dimensionality"
8122,24.7,0.0843,"Low exposure, High dimensionality"
8131,42.3,0.1220,"Low exposure, High dimensionality"
8132,36.0,0.3800,"High exposure, High dimensionality"
8141,34.6,0.0867,"Low exposure, High dimensionality"
8142,21.9,0.0941,"Low exposure, Low dimensionality"
8143,16.0,0.0323,"Low exposure, Low dimensionality"
8151,24.0,0.0857,"Low exposure, High dimensionality"
8152,20.0,0.1562,"Low exposure, Low dimensionality"
8153,26.0,0.0814,"Low exposure, High dimensionality"
8154,24.0,0.1579,"Low exposure, High dimensionality"
8156,19.0,0.0870,"Low exposure, Low dimensionality"
8157,32.0,0.0500,"Low exposure, High dimensionality"
8160,21.8,0.0932,"Low exposure, Low dimensionality"
8171,13.0,0.0526,"Low exposure, Low dimensionality"
8172,24.0,0.0588,"Low exposure, High dimensionality"
8181,31.8,0.0990,"Low exposure, High dimensionality"
8182,25.0,0.1628,"Low exposure, High dimensionality"
8183,20.0,0.0000,"Low exposure, Low dimensionality"
8189,20.8,0.1206,"Low exposure, Low dimensionality"
8211,21.0,0.0601,"Low exposure, Low dimensionality"
8212,18.2,0.1120,"Low exposure, Low dimensionality"
8219,11.0,0.2353,"Low exposure, Low dimensionality"
8311,16.2,0.2367,"Low exposure, Low dimensionality"
8312,21.3,0.2584,"Low exposure, Low dimensionality"
8322,15.6,0.2772,"Low exposure, Low dimensionality"
8331,15.5,0.3168,"Low exposure, Low dimensionality"
8332,26.5,0.3047,"Low exposure, High dimensionality"
8341,13.0,0.0938,"Low exposure, Low dimensionality"
8342,15.2,0.0109,"Low exposure, Low dimensionality"
8343,17.0,0.2024,"Low exposure, Low dimensionality"
8344,16.5,0.1809,"Low exposure, Low dimensionality"
8350,22.5,0.0213,"Low exposure, High dimensionality"
9111,28.0,0.0000,"Low exposure, High dimensionality"
9112,24.0,0.0278,"Low exposure, High dimensionality"
9122,21.0,0.0833,"Low exposure, Low dimensionality"
9123,23.0,0.0000,"Low exposure, High dimensionality"
9129,22.0,0.0781,"Low exposure, High dimensionality"
9211,38.0,0.1429,"Low exposure, High dimensionality"
9212,22.0,0.0625,"Low exposure, High dimensionality"
9213,30.0,0.1027,"Low exposure, High dimensionality"
9214,32.5,0.0836,"Low exposure, High dimensionality"
9215,21.0,0.0435,"Low exposure, Low dimensionality"
9216,26.0,0.0532,"Low exposure, High dimensionality"
9311,14.0,0.0000,"Low exposure, Low dimensionality"
9312,22.5,0.0081,"Low exposure, High dimensionality"
9313,19.1,0.0106,"Low exposure, Low dimensionality"
9321,12.0,0.1000,"Low exposure, Low dimensionality"
9329,21.5,0.1871,"Low exposure, Low dimensionality"
9331,16.0,0.2246,"Low exposure, Low dimensionality"
9333,23.0,0.1785,"Low exposure, High dimensionality"
9334,50.0,0.1818,"Low exposure, High dimensionality"
9412,22.0,0.0123,"Low exposure, High dimensionality"
9611,19.0,0.2635,"Low exposure, Low dimensionality"
9612,16.0,0.1964,"Low exposure, Low dimensionality"
9621,16.5,0.2292,"Low exposure, Low dimensionality"
9622,23.3,0.1268,"Low exposure, High dimensionality"
9623,15.5,0.3795,"High exposure, Low dimensionality"
9629,20.8,0.1416,"Low exposure, Low dimensionality"
