styrk08,eloundou_beta,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
0310,0.268774,42.32,3,1,0,0,
1111,0.4,59.19,3,1,1,2,
1112,0.470256,70.03,4,3,1,7,
1114,0.499534,77.83,4,3,1,7,
1120,0.494274,76.57,4,2,1,7,
1211,0.485055,72.8,4,1,1,2,
1212,0.497719,77.08,4,3,0,0,
1213,0.461583,68.26,4,1,1,7,
1219,0.491944,75.82,4,6,1,7,
1221,0.475,70.28,4,2,0,0,
1222,0.516497,79.85,4,2,1,3,
1223,0.486654,74.06,4,2,0,0,
1311,0.367347,54.41,3,1,1,2,
1312,0.367347,54.41,3,1,1,2,
1321,0.405719,60.96,4,1,0,0,
1322,0.461583,68.26,4,1,1,7,
1323,0.444444,66.25,4,1,1,2,
1324,0.486526,73.8,4,1,0,0,
1330,0.530303,81.86,5,1,0,0,
1341,0.46875,69.77,4,1,0,0,
1342,0.428571,64.48,4,1,1,2,
1343,0.45467,67.25,4,2,1,7,
1344,0.392857,57.68,3,1,0,0,
1345,0.428603,64.99,4,2,0,0,
1346,0.482912,72.04,4,2,1,7,
1349,0.461583,68.26,4,1,1,7,
1411,0.456522,67.51,4,1,0,0,
1412,0.416667,61.96,4,1,0,0,
1420,0.480769,71.28,4,1,1,7,
1431,0.517556,80.35,5,2,1,7,
1439,0.461583,68.26,4,1,1,7,
2111,0.59375,88.41,5,2,0,0,
2112,0.565217,86.65,5,1,0,0,
2113,0.431379,65.24,4,2,1,2,
2114,0.483333,72.29,4,2,0,0,
2120,0.695754,93.95,5,5,0,0,
2131,0.464838,69.27,4,9,1,2,
2132,0.409049,61.46,4,3,1,2,
2133,0.480579,71.03,4,2,0,0,
2141,0.554355,85.14,5,1,0,0,
2142,0.482143,71.79,4,1,0,0,
2143,0.555556,85.39,5,1,0,0,
2144,0.487425,74.31,4,4,0,0,
2145,0.461538,68.01,4,1,0,0,
2146,0.494956,76.83,4,4,1,2,
2149,0.530886,82.12,5,5,1,2,
2151,0.5625,86.4,5,1,0,0,
2152,0.673685,92.7,5,2,1,2,
2153,0.620098,90.68,5,1,1,2,
2161,0.488372,74.81,4,1,0,0,
2162,0.421053,62.97,4,1,0,0,
2163,0.428071,63.98,4,2,0,0,
2164,0.477273,70.53,4,1,0,0,
2165,0.515035,79.35,4,2,0,0,
2166,0.5125,78.84,4,2,0,0,
2211,0.45161,66.5,4,4,1,2,
2212,0.379361,55.16,3,5,1,2,
2221,0.342779,51.39,3,3,0,0,
2222,0.390244,57.43,3,1,0,0,
2223,0.342779,51.39,3,3,0,0,2221
2224,0.342779,51.39,3,3,0,0,2221
2250,0.27027,42.57,3,1,0,0,
2261,0.158864,25.44,2,4,0,0,
2262,0.428571,64.48,4,1,0,0,
2263,0.432796,65.49,4,2,0,0,
2264,0.225745,35.26,2,2,0,0,
2265,0.54878,83.63,5,1,0,0,
2266,0.452882,66.75,4,2,0,0,
2267,0.289015,45.09,3,1,0,0,SOC:29-1122
2269,0.454545,67.0,4,1,0,0,SOC:29-1011
