styrk08,overall_exposure,pctl_overall_exposure,q_overall_exposure,automation_share,pctl_automation_share,q_automation_share,augmentation_share,pctl_augmentation_share,q_augmentation_share,n_soc_matched,n_tasks_matched,n_tasks_total,task_coverage,has_partial_match,max_partial_fanout,manual_map
1111,0.02341738,36.75,2,0.33333333,63.53,4,0.66666667,62.96,4,1,5,30,0.1667,1,2,
1112,0.06960164,56.13,3,0.53229551,95.73,5,0.46770449,26.78,2,3,19,89,0.2135,1,7,
1114,0.21171499,81.48,5,0.30926876,60.4,4,0.69073124,66.67,4,3,51,253,0.2016,1,7,
1120,0.10173206,66.95,4,0.29844326,57.55,3,0.70155674,69.52,4,2,17,66,0.2576,1,7,
1211,0.22513547,82.34,5,0.28077754,52.14,3,0.71922246,74.93,4,1,19,43,0.4419,1,2,
1212,0.03570807,44.16,3,0.40809219,84.62,5,0.59190781,42.17,3,3,22,62,0.3548,0,0,
1213,0.45160614,92.02,5,0.28856891,54.42,3,0.71143109,71.79,4,1,41,217,0.1889,1,7,
1219,0.13935393,75.21,4,0.34085199,65.81,4,0.65914801,60.68,4,5,59,287,0.2056,1,7,
1221,0.03959385,46.15,3,0.31209368,61.54,4,0.68790632,65.53,4,2,15,37,0.4054,0,0,
1222,0.18646599,79.2,4,0.30824528,60.11,4,0.69175472,66.95,4,2,22,60,0.3667,1,3,
1223,0.10065363,65.81,4,0.30963465,60.68,4,0.69036535,66.38,4,2,26,110,0.2364,0,0,
1311,0.0408777,47.29,3,0.21052632,35.61,2,0.78947368,86.61,5,1,13,66,0.197,1,2,
1312,0.0408777,47.58,3,0.21052632,35.9,2,0.78947368,86.89,5,1,13,66,0.197,1,2,
1321,0.02002802,33.9,2,0.37704918,76.64,4,0.62295082,49.86,3,1,5,130,0.0385,0,0,
1322,0.45160614,92.31,5,0.28856891,54.7,3,0.71143109,72.08,4,1,41,217,0.1889,1,7,
1323,0.02999067,40.74,3,0.33632287,64.39,4,0.66367713,62.11,4,1,5,25,0.2,1,2,
1324,0.09361815,63.53,4,0.31061807,60.97,4,0.68938193,66.1,4,1,14,88,0.1591,0,0,
1330,0.07605512,59.83,3,0.1720339,28.77,2,0.8279661,91.74,5,1,7,17,0.4118,0,0,
1341,0.07364148,59.26,3,0.42787682,86.89,5,0.57212318,39.32,2,1,7,17,0.4118,0,0,
1342,0.07035483,56.98,3,0.21581549,37.89,2,0.78418451,84.9,5,1,5,18,0.2778,1,2,
1343,0.05448648,52.14,3,0.28021544,51.57,3,0.71978456,75.21,4,2,8,35,0.2286,1,7,
1344,0.01992531,33.62,2,0.36842105,74.36,4,0.63157895,52.42,3,1,2,16,0.125,0,0,
1345,0.28641779,87.75,5,0.35234624,68.66,4,0.64765376,57.55,3,3,30,105,0.2857,0,0,
1346,0.1318768,73.79,4,0.31269646,61.82,4,0.68730354,65.24,4,2,22,60,0.3667,1,7,
1349,0.45160614,92.59,5,0.28856891,54.99,3,0.71143109,72.36,4,1,41,217,0.1889,1,7,
1411,0.00677871,14.53,1,0.0,0.0,1,0.0,0.0,1,1,3,24,0.125,0,0,
