styrk08,observed_exposure,quintile
0310,0.0,1
1111,0.0,1
1112,0.057033,4
1114,0.155267,4
1120,0.08555,4
1211,0.3907,5
1212,0.1259,4
1213,0.0965,4
1219,0.101075,4
1221,0.1814,5
1222,0.2023,5
1223,0.04595,3
1311,0.0,1
1312,0.0,1
1321,0.0132,3
1322,0.0965,4
1323,0.1186,4
1324,0.0956,4
1330,0.1559,4
1341,0.0395,3
1342,0.0659,4
1343,0.10185,4
1344,0.1808,5
1345,0.05845,4
1346,0.26425,5
1349,0.0965,4
1411,0.1215,4
1412,0.0,1
1420,0.1378,4
1431,0.04825,3
1439,0.0965,4
2111,0.3288,5
2112,0.038,3
2113,0.22285,5
2114,0.0589,4
2120,0.30982,5
2131,0.063078,4
2132,0.0171,3
2133,0.0274,3
2141,0.0367,3
2142,0.0081,2
2143,0.0358,3
2144,0.0481,3
2145,0.0,1
2146,0.046075,3
2149,0.03974,3
2151,0.059,4
2152,0.1226,4
2153,0.0999,4
2161,0.0784,4
2162,0.0,1
2163,0.05025,3
2164,0.0959,4
2165,0.0411,3
2166,0.36215,5
2211,0.0371,3
2212,0.02658,3
2221,0.0513,4
2222,0.052,4
2250,0.0926,4
2261,0.007725,2
2262,0.0896,4
2263,0.0688,4
2264,0.0087,2
2265,0.1328,4
2266,0.0,1
2267,0.008,2
2269,0.0,1
2310,0.131794,4
2320,0.0521,4
2330,0.2901,5
2341,0.2001,5
2342,0.0,1
2351,0.3043,5
2352,0.0661,4
2353,0.179167,5
2354,0.0662,4
2355,0.23695,5
2356,0.2793,5
2359,0.26295,5
2411,0.1811,5
2412,0.384325,5
2413,0.20985,5
2421,0.2003,5
2422,0.1846,5
2423,0.146625,4
2424,0.2793,5
2431,0.44725,5
2432,0.453,5
2433,0.25005,5
2434,0.274167,5
2511,0.30835,5
2512,0.40375,5
2513,0.3646,5
2514,0.7451,5
2519,0.41445,5
2521,0.4551,5
2522,0.3373,5
2523,0.1987,5
2529,0.450175,5
2611,0.1673,4
2612,0.30785,5
2619,0.2426,5
2621,0.27355,5
2622,0.2032,5
2631,0.2418,5
2632,0.209433,5
2633,0.1709,4
2634,0.0702,4
2635,0.0165,3
2636,0.1323,4
2641,0.3223,5
2642,0.2279,5
2643,0.23155,5
2651,0.2052,5
2652,0.0184,3
2653,0.04005,3
2654,0.175067,4
2655,0.1011,4
2656,0.1366,4
3112,0.02514,3
3113,0.0101,2
3114,0.0202,3
3115,0.017075,3
3116,0.0,1
3117,0.1145,4
3118,0.11135,4
3119,0.01984,3
3121,0.0296,3
3122,0.0,1
3123,0.0296,3
3131,0.006425,2
3132,0.0,1
3133,0.0,1
3134,0.0282,3
3135,0.0,1
3139,0.1207,4
3141,0.10215,4
3142,0.1048,4
3143,0.0221,3
3151,0.0,1
3152,0.0,1
3153,0.0,1
3154,0.0,1
3155,0.0202,3
3211,0.01806,3
3213,0.0735,4
3214,0.0,1
3230,0.1021,4
3240,0.00895,2
3251,0.0,1
3254,0.0,1
3256,0.0238,3
3257,0.0,1
3258,0.0,1
3259,0.04357,3
3311,0.3354,5
3312,0.2099,5
3313,0.3104,5
3315,0.0409,3
3321,0.2036,5
3322,0.376,5
3324,0.2291,5
3331,0.00825,2
3332,0.1023,4
3333,0.2017,5
3334,0.234625,5
3339,0.18975,5
3341,0.1856,5
3342,0.0,1
3343,0.28835,5
3351,0.0815,4
3352,0.0275,3
3353,0.0904,4
3354,0.11155,4
3355,0.0187,3
3359,0.0,1
3411,0.080783,4
3412,0.0,1
3421,0.0,1
3422,0.022067,3
3423,0.04045,3
3431,0.195,5
3432,0.0,1
3433,0.035967,3
3434,0.0282,3
3511,0.3106,5
3512,0.4685,5
3513,0.2867,5
3514,0.35095,5
3521,0.050525,3
3522,0.0202,3
4110,0.347,5
4131,0.2385,5
4132,0.6707,5
4211,0.01155,2
4212,0.01306,3
4214,0.17275,4
4221,0.293867,5
4222,0.56745,5
4223,0.19315,5
4224,0.18,5
4225,0.3562,5
4226,0.4338,5
4227,0.3851,5
4229,0.0597,4
4311,0.2514,5
4312,0.13058,4
4313,0.0487,3
4321,0.0,1
4322,0.0934,4
4323,0.2258,5
4411,0.0759,4
4412,0.00824,2
4413,0.1781,4
4415,0.09035,4
4416,0.4046,5
5111,0.1041,4
5112,0.1169,4
5113,0.0425,3
5120,0.0136,3
5131,0.0,1
5132,0.0,1
5141,0.0243,3
5142,0.01215,2
5151,0.0436,3
5152,0.0436,3
5153,0.0,1
5163,0.0,1
5164,0.0151,3
5165,0.0662,4
5169,0.045725,3
5211,0.1758,4
5212,0.0879,4
5221,0.1378,4
5222,0.2627,5
5223,0.1611,4
5230,0.0423,3
5241,0.0,1
5242,0.0788,4
5243,0.1758,4
5244,0.2852,5
5245,0.0,1
5246,0.0,1
5249,0.2048,5
5311,0.02735,3
5321,0.0,1
5322,0.0425,3
5329,0.011013,2
5411,0.0,1
5413,0.01575,3
5414,0.0,1
5419,0.0148,3
6111,0.0,1
6112,0.0,1
6113,0.0361,3
6114,0.0,1
6121,0.0,1
6122,0.0,1
6123,0.0,1
6129,0.0,1
6130,0.0,1
6210,0.0,1
6221,0.0,1
6222,0.0,1
6224,0.0,1
7112,0.0,1
7113,0.0,1
7114,0.0,1
7115,0.0,1
7119,0.0,1
7121,0.0157,3
7122,0.0,1
7123,0.0,1
7124,0.02195,3
7125,0.0,1
7126,0.0058,2
7127,0.0603,4
7131,0.0,1
7132,0.0,1
7211,0.0,1
7212,0.0,1
7213,0.0,1
7214,0.016367,3
7215,0.0,1
7221,0.0,1
7222,0.020117,3
7223,0.001955,2
7224,0.0,1
7231,0.01015,2
7232,0.05075,3
7233,0.013933,3
7234,0.05075,3
7311,0.035675,3
7312,0.05075,4
7313,0.0,1
7314,0.02695,3
7315,0.0,1
7316,0.0,1
7317,0.0539,4
7318,0.0,1
7319,0.0539,4
7321,0.2829,5
7322,0.0,1
7323,0.0,1
7411,0.0,1
7412,0.010138,2
7413,0.05075,4
7421,0.029743,3
7422,0.0345,3
7511,0.0,1
7512,0.0,1
7513,0.0,1
7514,0.0,2
7515,0.0,2
7522,0.007525,2
7531,0.0342,3
7532,0.005067,2
7534,0.0,2
7535,0.0,2
7536,0.0,2
7541,0.0,2
7542,0.0,2
7543,0.0324,3
7544,0.051433,4
7549,0.0,2
8111,0.0,2
