styrk08,microsoft_applicability,microsoft_user,microsoft_action,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
0310,0.204191,0.354475,0.053906,69.13,4,1,0,0,
1111,0.268979,0.347126,0.190831,88.27,5,1,1,2,
1112,0.154509,0.204974,0.104043,53.83,3,3,1,7,
1114,0.158116,0.208954,0.107278,55.87,3,3,1,7,
1120,0.132673,0.184336,0.08101,45.92,3,2,1,7,
1211,0.148803,0.20774,0.089867,52.04,3,1,1,2,
1212,0.157092,0.1832,0.130984,55.36,3,3,0,0,
1213,0.181953,0.231641,0.132264,61.48,4,1,1,7,
1219,0.136621,0.171155,0.102086,47.45,3,6,1,7,
1221,0.176673,0.231426,0.121919,59.69,3,2,0,0,
1222,0.185539,0.248062,0.123016,64.03,4,2,1,3,
1223,0.137915,0.189687,0.086142,47.7,3,2,0,0,
1311,0.076042,0.137038,0.015045,17.86,1,1,1,2,
1312,0.076042,0.137038,0.015045,18.11,1,1,1,2,
1321,0.120291,0.152608,0.087975,40.31,3,1,0,0,
1322,0.181953,0.231641,0.132264,61.73,4,1,1,7,
1323,0.145006,0.212447,0.077565,50.26,3,1,1,2,
1324,0.205254,0.286171,0.124338,69.9,4,1,0,0,
1330,0.151894,0.205915,0.097872,52.55,3,1,0,0,
1341,0.125085,0.179253,0.070918,42.35,3,1,0,0,
1342,0.163289,0.201551,0.125027,57.14,3,1,1,2,
1343,0.136566,0.181118,0.092015,47.19,3,2,1,7,
1344,0.155815,0.212803,0.098827,54.59,3,1,0,0,
1345,0.115915,0.155128,0.076703,39.03,2,2,0,0,
1346,0.129323,0.184212,0.074435,43.88,3,2,1,7,
1349,0.181953,0.231641,0.132264,61.99,4,1,1,7,
1411,0.183403,0.24357,0.123236,63.27,4,1,0,0,
1412,0.09102,0.139052,0.042988,24.23,2,1,0,0,
1420,0.109843,0.160684,0.059002,32.65,2,1,1,7,
1431,0.183663,0.229788,0.137539,63.52,4,2,1,7,
1439,0.181953,0.231641,0.132264,62.24,4,1,1,7,
2111,0.257789,0.353368,0.16221,86.22,5,2,0,0,
2112,0.321434,0.439138,0.20373,95.15,5,1,0,0,
2113,0.241497,0.361771,0.121224,80.1,5,2,1,2,
2114,0.177109,0.25905,0.095168,59.95,3,2,0,0,
2120,0.259595,0.338711,0.180479,86.73,5,5,0,0,
2131,0.216996,0.32251,0.111481,73.47,4,9,1,2,
2132,0.192063,0.292575,0.09155,65.82,4,3,1,2,
2133,0.163598,0.204646,0.122551,57.4,3,2,0,0,
2141,0.253298,0.357989,0.148607,84.44,5,1,0,0,
2142,0.205382,0.279178,0.131587,70.41,4,1,0,0,
2143,0.208284,0.229793,0.186775,71.94,4,1,0,0,
2144,0.20138,0.294035,0.108726,67.6,4,4,0,0,
2145,0.171897,0.301734,0.04206,57.91,3,1,0,0,
