styrk08,name_en,source
0000,Unspecified or unidentifiable occupations,"SSB Klass API, classification 7, language=en"
0110,Commissioned armed forces officers,"SSB Klass API, classification 7, language=en"
0210,Non-commissioned armed forces officers,"SSB Klass API, classification 7, language=en"
0310,"Armed forces occupations, other ranks","SSB Klass API, classification 7, language=en"
1111,Legislators,"SSB Klass API, classification 7, language=en"
1112,Senior government officials,"SSB Klass API, classification 7, language=en"
1114,Senior officials of special-interest organisations,"SSB Klass API, classification 7, language=en"
1120,Managing directors and chief executives,"SSB Klass API, classification 7, language=en"
1211,Finance managers,"SSB Klass API, classification 7, language=en"
1212,Human resource managers,"SSB Klass API, classification 7, language=en"
1213,Policy and planning managers,"SSB Klass API, classification 7, language=en"
1219,Business services and administration managers not elsewhere classified,"SSB Klass API, classification 7, language=en"
1221,Sales and marketing managers,"SSB Klass API, classification 7, language=en"
1222,Advertising and public relations managers,"SSB Klass API, classification 7, language=en"
1223,Research and development managers,"SSB Klass API, classification 7, language=en"
1311,Agricultural and forestry production managers,"SSB Klass API, classification 7, language=en"
1312,Aquaculture and fisheries production managers,"SSB Klass API, classification 7, language=en"
1321,Manufacturing managers,"SSB Klass API, classification 7, language=en"
1322,Mining managers,"SSB Klass API, classification 7, language=en"
1323,Construction managers,"SSB Klass API, classification 7, language=en"
1324,"Supply, distribution and related managers","SSB Klass API, classification 7, language=en"
1330,Information and communications technology service managers,"SSB Klass API, classification 7, language=en"
1341,Child care services managers,"SSB Klass API, classification 7, language=en"
1342,Health services managers,"SSB Klass API, classification 7, language=en"
1343,Aged care services managers,"SSB Klass API, classification 7, language=en"
1344,Social welfare managers,"SSB Klass API, classification 7, language=en"
1345,Education managers,"SSB Klass API, classification 7, language=en"
1346,Financial and insurance services branch managers,"SSB Klass API, classification 7, language=en"
1349,Professional services managers not elsewhere classified,"SSB Klass API, classification 7, language=en"
1411,Hotel managers,"SSB Klass API, classification 7, language=en"
1412,Restaurant managers,"SSB Klass API, classification 7, language=en"
1420,Retail and wholesale trade managers,"SSB Klass API, classification 7, language=en"
1431,"Sports, recreation and cultural centre managers","SSB Klass API, classification 7, language=en"
1439,Services managers not elsewhere classified,"SSB Klass API, classification 7, language=en"
2111,Physicists and astronomers,"SSB Klass API, classification 7, language=en"
2112,Meteorologists,"SSB Klass API, classification 7, language=en"
2113,Chemists,"SSB Klass API, classification 7, language=en"
2114,Geologists and geophysicists,"SSB Klass API, classification 7, language=en"
2120,"Mathematicians, actuaries and statisticians","SSB Klass API, classification 7, language=en"
2131,"Biologists, botanists, zoologists and related professionals","SSB Klass API, classification 7, language=en"
2132,"Farming, forestry and fisheries advisers","SSB Klass API, classification 7, language=en"
2133,Environmental protection professionals,"SSB Klass API, classification 7, language=en"
2141,Industrial and production engineers,"SSB Klass API, classification 7, language=en"
2142,Civil engineers,"SSB Klass API, classification 7, language=en"
2143,Environmental engineers,"SSB Klass API, classification 7, language=en"
2144,Mechanical engineers,"SSB Klass API, classification 7, language=en"
2145,Chemical engineers,"SSB Klass API, classification 7, language=en"
2146,"Mining engineers, metallurgists and related professionals","SSB Klass API, classification 7, language=en"
2149,Engineering professionals not elsewhere classified,"SSB Klass API, classification 7, language=en"
2151,Electrical engineers,"SSB Klass API, classification 7, language=en"
2152,Electronics engineers,"SSB Klass API, classification 7, language=en"
2153,Telecommunications engineers,"SSB Klass API, classification 7, language=en"
2161,Building architects,"SSB Klass API, classification 7, language=en"
2162,Landscape architects,"SSB Klass API, classification 7, language=en"
2163,Product and garment designers,"SSB Klass API, classification 7, language=en"
2164,Town and traffic planners,"SSB Klass API, classification 7, language=en"
2165,Cartographers and surveyors,"SSB Klass API, classification 7, language=en"
2166,Graphic and multimedia designers,"SSB Klass API, classification 7, language=en"
2211,Generalist medical practitioners,"SSB Klass API, classification 7, language=en"
2212,Specialist medical practitioners,"SSB Klass API, classification 7, language=en"
2221,Specialist nurses,manual
2222,Midwifery professionals,"SSB Klass API, classification 7, language=en"
