styrk08,relational,pctl_rank,quintile,n_soc_matched,has_partial_match,manual_map
0310,-0.730166,21.74,2,1,0,
1112,1.680919,97.44,5,3,1,
1114,1.224267,88.24,5,2,1,
1120,1.499441,94.37,5,2,1,
1211,0.335221,62.66,4,1,1,
1212,1.002122,81.84,5,3,0,
1213,1.224171,87.21,5,1,1,
1219,1.318214,91.05,5,5,1,
1221,1.531969,95.14,5,2,0,
1222,0.983893,81.07,5,1,0,
1223,0.348955,63.17,4,2,0,
1311,0.489007,70.59,4,1,1,
1312,0.489007,70.84,4,1,1,
1321,0.434905,67.26,4,1,0,
1322,1.224171,87.47,5,1,1,
1323,0.805106,77.49,4,1,1,
1324,1.001473,81.59,5,1,0,
1330,0.448114,68.03,4,1,0,
1341,1.903398,99.49,5,1,0,
1342,1.892249,99.23,5,1,1,
1343,1.558306,96.16,5,2,1,
1344,1.662737,97.19,5,1,0,
1345,1.682111,97.7,5,2,0,
1346,0.779792,77.24,4,2,1,
1349,1.224171,87.72,5,1,1,
1411,2.068038,100.0,5,1,0,
1412,1.02937,83.38,5,1,0,
1420,1.224363,88.49,5,1,1,
1431,1.277935,90.28,5,2,1,
1439,1.224171,87.98,5,1,1,
2111,-0.09548,49.36,3,2,0,
2112,-0.225796,45.01,3,1,0,
2113,-0.567018,31.46,2,2,1,
2114,-0.174504,46.55,3,2,0,
2120,-0.671145,25.58,2,5,0,
2131,0.096543,54.48,3,9,1,
2132,0.663001,74.17,4,3,1,
2133,0.386081,65.73,4,2,0,
2141,-0.260556,42.97,3,1,0,
2142,0.137127,56.78,3,1,0,
2143,0.371865,64.71,4,1,0,
2144,-0.209713,45.52,3,4,0,
2145,-0.269278,42.46,3,1,0,
2146,-0.076515,50.13,3,4,1,
2149,-0.136629,47.83,3,5,1,
2151,-0.29642,41.43,3,1,0,
2152,-0.587622,30.18,2,2,1,
2153,-0.371559,38.87,2,1,1,
2161,0.506762,71.1,4,1,0,
2162,0.956947,80.56,5,1,0,
2163,0.452504,68.54,4,2,0,
2164,0.907848,79.54,4,1,0,
2165,-0.39473,38.11,2,2,0,
2166,-0.080323,49.87,3,2,0,
2211,1.512028,94.63,5,4,1,
2212,1.518028,94.88,5,4,1,
2221,1.686984,97.95,5,3,0,
2222,1.701019,98.72,5,1,0,
2223,1.686984,98.21,5,3,0,2221
2224,1.686984,98.47,5,3,0,2221
2250,0.694698,74.68,4,1,0,
2261,1.388637,92.07,5,4,0,
2262,0.840982,78.52,4,1,0,
2263,1.034449,83.63,5,2,0,
2264,1.417659,93.61,5,2,0,
2265,1.634997,96.68,5,1,0,
2266,1.553053,95.65,5,2,0,
2267,1.422558,93.86,5,1,0,SOC:29-1122
2269,1.061064,84.14,5,1,0,SOC:29-1011
2310,0.233691,59.08,3,35,0,
2320,0.844979,78.77,4,3,0,
2330,0.973101,80.82,5,1,0,
2341,1.397832,92.84,5,2,0,
2342,1.291678,90.79,5,2,0,
2351,1.366014,91.56,5,1,0,
2352,1.3873,91.82,5,4,0,
2353,0.452055,68.29,4,3,1,
2354,-0.102901,48.59,3,1,1,
2355,0.420621,67.01,4,2,1,
2356,1.14532,85.68,5,1,1,
2359,1.416385,93.35,5,2,1,
2411,-0.201189,45.78,3,3,0,
2412,0.992639,81.33,5,1,0,
2413,-0.237562,44.5,3,2,0,
2421,0.699336,75.45,4,2,0,
2422,0.363752,63.68,4,1,1,
2423,0.942323,80.31,5,4,1,
2424,1.14532,85.93,5,1,1,
2431,-0.099966,49.1,3,2,1,
2432,1.556998,95.91,5,1,0,
2433,1.196331,86.7,5,2,1,
2434,1.261885,90.03,5,3,1,
2511,-0.180944,46.04,3,2,0,
2512,-0.818859,17.39,1,2,0,
2513,-0.337826,40.15,3,1,1,
2514,-0.750205,20.2,2,1,0,
2519,-0.423315,37.08,2,1,1,
