styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour
0310,1,3116,1.0,1,1
0310,2,3115,0.9112,1,4
0310,3,3113,0.8307,1,2
0310,4,3117,0.8186,1,2
0310,5,3132,0.7958,1,4
1112,1,1120,0.9889,3,2
1112,2,1343,0.9775,3,2
1112,3,1114,0.9763,3,2
1112,4,1342,0.9576,3,1
1112,5,1420,0.9567,3,1
1114,1,1343,0.9826,2,2
1114,2,1420,0.9807,2,1
1114,3,5221,0.9807,2,1
1114,4,1120,0.9792,2,2
1114,5,1112,0.9763,2,3
1120,1,1112,0.9889,2,3
1120,2,1114,0.9792,2,2
1120,3,1343,0.9772,2,2
1120,4,1420,0.9725,2,1
1120,5,5221,0.9725,2,1
1211,1,1346,0.9284,1,2
1211,2,3311,0.8981,1,2
1211,3,2422,0.8717,1,1
1211,4,1212,0.8674,1,3
1211,5,2421,0.8578,1,2
1212,1,1346,0.9222,3,2
1212,2,1345,0.9126,3,2
1212,3,1120,0.9003,3,2
1212,4,1112,0.8933,3,3
1212,5,1343,0.892,3,2
1213,1,1439,1.0,1,1
1213,2,1349,1.0,1,1
1213,3,1322,1.0,1,1
1213,4,1114,0.9705,1,2
1213,5,1219,0.9611,1,5
1219,1,1439,0.9611,5,1
1219,2,1349,0.9611,5,1
1219,3,1322,0.9611,5,1
1219,4,1213,0.9611,5,1
1219,5,1114,0.9564,5,2
1221,1,1120,0.8781,2,2
1221,2,1212,0.8767,2,3
1221,3,1346,0.8736,2,2
1221,4,1112,0.8697,2,3
1221,5,1324,0.8613,2,1
1222,1,3339,0.8414,1,7
1222,2,2434,0.7859,1,3
1222,3,3321,0.7556,1,3
1222,4,3322,0.755,1,3
1222,5,2433,0.751,1,2
1223,1,2146,0.9134,2,4
1223,2,2143,0.8843,2,1
1223,3,2131,0.8807,2,9
1223,4,2142,0.8771,2,1
1223,5,2132,0.8451,2,3
1311,1,1312,1.0,1,1
1311,2,1321,0.8169,1,1
1311,3,3121,0.728,1,1
1311,4,3123,0.728,1,1
1311,5,3152,0.712,1,2
1312,1,1311,1.0,1,1
1312,2,1321,0.8169,1,1
1312,3,3121,0.728,1,1
1312,4,3123,0.728,1,1
1312,5,3152,0.712,1,2
1321,1,1323,0.836,1,1
1321,2,1330,0.8331,1,1
1321,3,3122,0.8238,1,1
1321,4,1223,0.8173,1,2
1321,5,1311,0.8169,1,1
1322,1,1439,1.0,1,1
1322,2,1349,1.0,1,1
