styrk08,group_augmentation,augmentation_share,group_automation,automation_share
0310,No usage,,No usage,
1111,Q4,0.66666667,Q4,0.33333333
1112,Q2,0.46770449,Q5,0.53229551
1114,Q4,0.69073124,Q4,0.30926876
1120,Q4,0.70155674,Q3,0.29844326
1211,Q4,0.71922246,Q3,0.28077754
1212,Q3,0.59190781,Q5,0.40809219
1213,Q4,0.71143109,Q3,0.28856891
1219,Q4,0.65914801,Q4,0.34085199
1221,Q4,0.68790632,Q4,0.31209368
1222,Q4,0.69175472,Q3,0.30824528
1223,Q4,0.69036535,Q4,0.30963465
1311,Q5,0.78947368,Q2,0.21052632
1312,Q5,0.78947368,Q2,0.21052632
1321,Q3,0.62295082,Q4,0.37704918
1322,Q4,0.71143109,Q3,0.28856891
1323,Q4,0.66367713,Q4,0.33632287
1324,Q4,0.68938193,Q4,0.31061807
1330,Q5,0.8279661,Q2,0.1720339
1341,Q2,0.57212318,Q5,0.42787682
1342,Q5,0.78418451,Q2,0.21581549
1343,Q4,0.71978456,Q3,0.28021544
1344,Q3,0.63157895,Q4,0.36842105
1345,Q3,0.64765376,Q4,0.35234624
1346,Q4,0.68730354,Q4,0.31269646
1349,Q4,0.71143109,Q3,0.28856891
1411,Q1,0.0,Q1,0.0
1412,Q4,0.71604938,Q3,0.28395062
1420,Q3,0.65538462,Q4,0.34461538
1431,Q3,0.61960443,Q4,0.38039557
1439,Q4,0.71143109,Q3,0.28856891
2111,Q4,0.69421926,Q3,0.30578074
2112,Q4,0.69292929,Q3,0.30707071
2113,Q3,0.65546433,Q4,0.34453567
2114,Q4,0.73922014,Q3,0.26077986
2120,Q4,0.71392671,Q3,0.28607329
2131,Q5,0.83534435,Q2,0.16465565
2132,Q5,0.79453138,Q2,0.20546862
2133,Q3,0.6426183,Q4,0.3573817
2141,Q5,0.75183554,Q3,0.24816446
2142,Q4,0.69318182,Q3,0.30681818
2143,Q5,0.85714286,Q2,0.14285714
2144,Q3,0.62366008,Q4,0.37633992
2145,Q3,0.59230769,Q5,0.40769231
2146,Q5,0.80225989,Q2,0.19774011
2149,Q3,0.62030281,Q2,0.12969719
2151,Q5,0.77725857,Q2,0.22274143
2152,Q4,0.70322552,Q3,0.29677448
2153,Q3,0.57971014,Q5,0.42028986
2161,Q4,0.66156463,Q4,0.33843537
2162,Q3,0.60324826,Q5,0.39675174
2163,Q3,0.580381,Q5,0.419619
2164,Q4,0.66346154,Q4,0.33653846
2165,Q2,0.43535484,Q5,0.56464516
2166,Q2,0.54800484,Q5,0.45199516
2211,Q5,0.79449677,Q2,0.20550323
2212,Q2,0.47089256,Q2,0.12910744
2221,Q4,0.7421683,Q3,0.2578317
2222,Q3,0.64230769,Q4,0.35769231
