institusjonskode,institusjonsnavn,aar,studieprogramkode,studieprogramnavn,studiumkode,studiumnavn,nivaakode,nivaanavn,nus_kode,studiepoeng,kandidater_totalt,kandidater_kvinner,kandidater_menn,kjonn_skjermet
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,03,Bachelor i logistikk og SCM,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",681908,180.00,35,14,21,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,07,Bachelor i økonomi og administrasjon,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641141,180.00,39,18,21,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,35,Bachelor i regnskap og revisjon,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641142,180.00,19,11,8,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,36,Bachelor i Sport Management (idrettsledelse),SAMVIT,Samfunnsvitenskap,B3,"Bachelor, 3-årig",668105,180.00,17,3,14,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,369,Bachelor i petroleumslogistikk og økonomi,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",681909,180.00,14,4,10,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,40,Bachelor i sykepleie,SYK,Sykepleierutdanning,B3,"Bachelor, 3-årig",661120,180.00,87,78,9,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,60,Bachelor i vernepleie,VER,Vernepleierutdanning,B3,"Bachelor, 3-årig",661305,180.00,37,30,7,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,70,Master i helse- og sosialfag - Kliniske hjelperelasjoner overfor sårbare grupper,HELSEFAG,Helsefag,M2,"Master, 2-årig",761905,120.00,0,0,0,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,80,Master of Science in Logistics,ØA,Økonomisk-administrativ utdanning,M2,"Master, 2-årig",781905,120.00,66,22,44,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,81,"Master i samfunnsendring, organisasjon og ledelse",SAMVIT,Samfunnsvitenskap,M2,"Master, 2-årig",741124,120.00,14,10,4,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,83,Erfaringsbasert master i anvendt informatikk,REALFAG,Matematisk-naturvitenskapelige fag,ME,"Master, erfaringsbasert, 1,5-2 år",754123,90.00,0,0,0,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,841,Bachelor i juss og administrasjon,JUS,Juridiske fag,B3,"Bachelor, 3-årig",637906,180.00,31,26,5,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,86,Erfaringsbasert master i logistikk,ØA,Økonomisk-administrativ utdanning,ME,"Master, erfaringsbasert, 1,5-2 år",781904,90.00,5,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,88,Master of Science in Sport Management,SAMVIT,Samfunnsvitenskap,M2,"Master, 2-årig",739920,120.00,11,4,7,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,89,Master i økonomi og administrasjon,ØA,Økonomisk-administrativ utdanning,M2,"Master, 2-årig",741121,120.00,8,3,5,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,92,Master of Science in Petroleum Logistics,ØA,Økonomisk-administrativ utdanning,M2,"Master, 2-årig",781905,120.00,12,6,6,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,98,Sammensatt bachelorgrad,ANNET,Annet,B3,"Bachelor, 3-årig",699904,180.00,8,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,03,Bachelor i logistikk og SCM,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",681908,180.00,36,8,28,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,07,Bachelor i økonomi og administrasjon,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641141,180.00,42,23,19,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,35,Bachelor i regnskap og revisjon,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641142,180.00,18,11,7,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,36,Bachelor i Sport Management (idrettsledelse),SAMVIT,Samfunnsvitenskap,B3,"Bachelor, 3-årig",668105,180.00,11,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,369,Bachelor i petroleumslogistikk og økonomi,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",681909,180.00,8,3,5,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,40,Bachelor i sykepleie,SYK,Sykepleierutdanning,B3,"Bachelor, 3-årig",661120,180.00,85,70,15,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,41,"Bachelor i sykepleie, deltid over 4 år",SYK,Sykepleierutdanning,B3,"Bachelor, 3-årig",661120,180.00,40,36,4,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,432,Bachelor i marin logistikk og økonomi,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641163,180.00,12,6,6,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,60,Bachelor i vernepleie,VER,Vernepleierutdanning,B3,"Bachelor, 3-årig",661305,180.00,42,28,14,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,61,"Bachelor i vernepleie, deltid",VER,Vernepleierutdanning,B3,"Bachelor, 3-årig",661305,180.00,42,37,5,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,70,Master i helse- og sosialfag - Kliniske hjelperelasjoner overfor sårbare grupper,HELSEFAG,Helsefag,M2,"Master, 2-årig",761905,120.00,9,,,1
