institusjonskode,institusjonsnavn,aar,studieprogramkode,studieprogramnavn,nivaakode,nivaanavn,kandidater_totalt,kandidater_kvinner,kandidater_menn,kjonn_skjermet
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,DOKLOG,Philosophiae doctor in Logistics (ph.d),FU,Forskerutdanning,5,0,5,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,DRHS,Ph.d. i helse- og sosialfag: Profesjonsutøving - vilkår og utvikling,FU,Forskerutdanning,2,1,1,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,DOKLOG,Philosophiae doctor in Logistics (ph.d),FU,Forskerutdanning,4,2,2,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2020,DRHS,Ph.d. i helse- og sosialfag: Profesjonsutøving - vilkår og utvikling,FU,Forskerutdanning,2,1,1,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2021,DRHS,Ph.d. i helse- og sosialfag: Profesjonsutøving - vilkår og utvikling,FU,Forskerutdanning,2,2,0,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2022,DOKLOG,Philosophiae doctor in Logistics (ph.d),FU,Forskerutdanning,3,0,3,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2022,DRHS,Ph.d. i helse- og sosialfag: Profesjonsutøving - vilkår og utvikling,FU,Forskerutdanning,2,2,0,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2023,DOKLOG,Philosophiae doctor in Logistics (ph.d),FU,Forskerutdanning,4,1,3,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2023,DRHS,Ph.d. i helse- og sosialfag: Profesjonsutøving - vilkår og utvikling,FU,Forskerutdanning,3,2,1,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2024,DOKLOG,Philosophiae doctor in Logistics (ph.d),FU,Forskerutdanning,3,2,1,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,DOKLOG,Philosophiae doctor in Logistics (ph.d),FU,Forskerutdanning,4,2,2,0
