institusjonskode,institusjonsnavn,kortnavn,institusjonstypekode,institusjonstype,kandidater_siste_aar
1150,Norges teknisk-naturvitenskapelige universitet,NTNU,11,Universiteter,9177
1110,Universitetet i Oslo,UiO,11,Universiteter,5266
1175,OsloMet – storbyuniversitetet,OsloMet,11,Universiteter,4560
8241,Handelshøyskolen BI,BI,83,Private vitenskapelige høyskoler,4398
1120,Universitetet i Bergen,UiB,11,Universiteter,3743
0238,Høgskulen på Vestlandet,HVL,02,Statlige høyskoler,3381
1176,Universitetet i Sørøst-Norge,USN,11,Universiteter,3287
8253,Høyskolen Kristiania,HK,82,Private høyskoler,3122
1130,Universitetet i Tromsø - Norges arktiske universitet,UiT,11,Universiteter,3004
1171,Universitetet i Agder,UiA,11,Universiteter,2952
1160,Universitetet i Stavanger,UiS,11,Universiteter,2766
1177,Universitetet i Innlandet,INN,11,Universiteter,2353
1174,Nord universitet,NU,11,Universiteter,1997
1173,Norges miljø- og biovitenskapelige universitet,NMBU,11,Universiteter,1852
1240,Norges handelshøyskole,NHH,12,Statlige vitenskapelige høyskoler,1421
0256,Høgskolen i Østfold,HiØ,02,Statlige høyskoler,1256
8208,VID vitenskapelige høgskole,VID,83,Private vitenskapelige høyskoler,1068
0236,Høgskulen i Volda,HVO,02,Statlige høyskoler,564
1301,Politihøgskolen,PHS,02,Statlige høyskoler,501
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",HiM,12,Statlige vitenskapelige høyskoler,475
1260,Norges idrettshøgskole,NIH,12,Statlige vitenskapelige høyskoler,471
1407,Oslo Nye Høyskole,ONH,82,Private høyskoler,460
8223,NLA Høgskolen,NLA,82,Private høyskoler,424
1303,Forsvarets høgskole,FHS,02,Statlige høyskoler,326
8202,Lovisenberg diakonale høgskole,LDH,82,Private høyskoler,293
8224,Dronning Mauds Minne Høgskole,DMMH,82,Private høyskoler,286
6220,Kunsthøgskolen i Oslo,KHiO,12,Statlige vitenskapelige høyskoler,234
1210,Norges musikkhøgskole,NMH,12,Statlige vitenskapelige høyskoler,225
1302,Kriminalomsorgens høgskole og utdanningssenter KRUS,KRUS,02,Statlige høyskoler,193
8221,MF vitenskapelig høyskole,MF,83,Private vitenskapelige høyskoler,179
1220,Arkitektur- og designhøgskolen i Oslo,AHO,12,Statlige vitenskapelige høyskoler,141
1409,Noroff,NOROFF,82,Private høyskoler,120
8234,Fjellhaug Internasjonale Høgskole,FIH,82,Private høyskoler,84
1412,Lillehammer Institute of Music Production Industries,LIMPI,82,Private høyskoler,64
8232,Ansgar høyskole,ATH,82,Private høyskoler,64
