institusjonskode,institusjonsnavn,aar,semester,studieprogramkode,studieprogramnavn,studiumkode,studiumnavn,nivaakode,nivaanavn,nus_kode,studiepoeng,studenter_totalt,studenter_kvinner,studenter_menn,kjonn_skjermet
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,03,Bachelor i logistikk og SCM,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",681908,180.00,163,48,115,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,07,Bachelor i økonomi og administrasjon,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641141,180.00,148,72,76,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,14,Årsstudium i statsvitenskap,SAMVIT,Samfunnsvitenskap,AR,"Årsstudium, 60-studiepoeng",631109,60.00,22,12,10,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,17,Årsstudium i bedriftsøkonomi,ØA,Økonomisk-administrativ utdanning,AR,"Årsstudium, 60-studiepoeng",641104,60.00,34,16,18,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,185,Årsstudium i idrett og Adventure,IU,Idrettsutdanning,AR,"Årsstudium, 60-studiepoeng",668101,60.00,24,10,14,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,20,Emnestudenter,ANNET,Annet,LN,Lavere nivå (øvrige),699999,9.00,170,106,64,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,21,Årsstudium i IT,REALFAG,Matematisk-naturvitenskapelige fag,AR,"Årsstudium, 60-studiepoeng",654101,60.00,141,54,87,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,246,Årsstudium i juss,JUS,Juridiske fag,AR,"Årsstudium, 60-studiepoeng",637103,60.00,29,20,9,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,3029,Videreutdanning i bærekraftig byutvikling,SAMVIT,Samfunnsvitenskap,HN,Høyere nivå (øvrige),734999,30.00,6,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,35,Bachelor i regnskap og revisjon,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641142,180.00,24,12,12,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,36,Bachelor i Sport Management (idrettsledelse),SAMVIT,Samfunnsvitenskap,B3,"Bachelor, 3-årig",668105,180.00,99,17,82,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,369,Bachelor i petroleumslogistikk og økonomi,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",681909,180.00,67,23,44,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,37,Videreutdanning i ledelse i helse- og sosialtjenesten,SAMVIT,Samfunnsvitenskap,HN,Høyere nivå (øvrige),641108,30.00,58,49,9,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,389,Bachelor i bærekraftig logistikk og sirkulær økonomi,REALFAG,Matematisk-naturvitenskapelige fag,B3,"Bachelor, 3-årig",681909,180.00,25,11,14,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,40,Bachelor i sykepleie,SYK,Sykepleierutdanning,B3,"Bachelor, 3-årig",661120,180.00,324,268,56,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,41,"Bachelor i sykepleie, deltid over 4 år",SYK,Sykepleierutdanning,B3,"Bachelor, 3-årig",661120,180.00,87,80,7,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,432,Bachelor i marin logistikk og økonomi,ØA,Økonomisk-administrativ utdanning,B3,"Bachelor, 3-årig",641163,180.00,76,30,46,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,449,Bachelor i IT og digitalisering,REALFAG,Matematisk-naturvitenskapelige fag,B3,"Bachelor, 3-årig",654121,180.00,60,10,50,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,45,Videreutdanning i psykisk helsearbeid,HELSEFAG,Helsefag,AR,"Årsstudium, 60-studiepoeng",669917,60.00,55,49,6,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,49,Videreutdanning i praksisveiledning,HELSEFAG,Helsefag,LN,Lavere nivå (øvrige),669922,10.00,12,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,50,Videreutdanning i psykososialt arbeid med barn og unge,HELSEFAG,Helsefag,AR,"Årsstudium, 60-studiepoeng",669956,60.00,30,27,3,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,53,Videreutdanning i habilitering og miljøarbeid,HELSEFAG,Helsefag,AR,"Årsstudium, 60-studiepoeng",669999,60.00,15,12,3,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,54,Videreutdanning i avansert klinisk sykepleie i kommune- og spesialisthelsetjenesten,HELSEFAG,Helsefag,HN,Høyere nivå (øvrige),761199,60.00,12,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,60,Bachelor i vernepleie,VER,Vernepleierutdanning,B3,"Bachelor, 3-årig",661305,180.00,137,98,39,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,61,"Bachelor i vernepleie, deltid",VER,Vernepleierutdanning,B3,"Bachelor, 3-årig",661305,180.00,100,79,21,0
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,70,Master i helse- og sosialfag - Kliniske hjelperelasjoner overfor sårbare grupper,HELSEFAG,Helsefag,M2,"Master, 2-årig",761905,120.00,13,,,1
0232,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2019,3,80,Master of Science in Logistics,ØA,Økonomisk-administrativ utdanning,M2,"Master, 2-årig",781905,120.00,126,52,74,0
