group_type,group,n_codes,n_total,n_employed,share_employed,exposure_w,share_E3,share_top5_v1,exposure2_w,share2_E3,share_top5_v2,handa_augmentation_w,handa_automation_w,mouchel_grounded_w
level,Bachelor-nivå,995,893526,729007,0.815877,0.418127,0.051267,0.240504,0.417528,0.182242,0.296511,0.632569,0.306287,0.370375
level,Barneskole,4,16682,6723,0.403009,0.157207,0.006098,0.019039,0.126756,0.002975,0.035698,0.521481,0.317691,0.112459
level,Ingen/førskole,1,5522,2032,0.367983,0.162808,0.003937,0.027559,0.135014,0.007382,0.047244,0.529588,0.321277,0.119786
level,Master-nivå,876,404960,343143,0.847350,0.474854,0.056281,0.296117,0.511071,0.295334,0.404535,0.653685,0.294896,0.453309
level,Ph.d.,171,39637,35324,0.891188,0.490066,0.029949,0.228317,0.498640,0.131992,0.168433,0.661980,0.267836,0.442399
level,Påbygging/fagskole,507,108701,88412,0.813350,0.340071,0.037411,0.184491,0.345530,0.094534,0.215210,0.587484,0.245688,0.306588
level,Ungdomsskole,15,564516,297400,0.526823,0.278563,0.025360,0.130074,0.265032,0.047245,0.167155,0.545596,0.276964,0.235113
level,Uoppgitt,1,155581,93530,0.601166,0.249317,0.029687,0.115849,0.240603,0.076747,0.139887,0.551351,0.277976,0.213465
level,Videregående avsluttende,404,996059,759824,0.762830,0.283558,0.027295,0.143724,0.278825,0.064483,0.179619,0.564068,0.252472,0.247394
level,Videregående grunnutdanning,166,85559,50957,0.595577,0.313203,0.036904,0.191626,0.314405,0.088798,0.253955,0.547687,0.266246,0.278942
field,Allmenne fag,40,818480,464701,0.567761,0.309564,0.032815,0.165833,0.299835,0.071494,0.209388,0.558850,0.286468,0.266160
field,"Helse-, sosial- og idrettsfag",444,505231,414899,0.821207,0.310633,0.004735,0.070817,0.273105,0.042670,0.085725,0.625200,0.230626,0.242243
field,Humanistiske og estetiske fag,543,136611,92480,0.676959,0.423578,0.039457,0.309734,0.444701,0.185655,0.351113,0.610627,0.347667,0.394196
field,Lærerutdanninger og pedagogikk,257,207295,178768,0.862385,0.341109,0.005730,0.069224,0.299207,0.049650,0.085084,0.597627,0.380615,0.265507
field,"Naturvitenskap, håndverk og teknikk",962,688789,571908,0.830309,0.343003,0.046561,0.193241,0.353610,0.128584,0.217713,0.606549,0.247850,0.314004
field,Primærnæringsfag,114,42553,26835,0.630625,0.289189,0.011957,0.113981,0.277751,0.072681,0.162712,0.484348,0.221587,0.246579
field,"Samferdsel, sikkerhet og service",171,113599,93129,0.819805,0.337643,0.020487,0.132782,0.333067,0.059818,0.176680,0.500726,0.228634,0.295643
field,Samfunnsfag og juridiske fag,271,144617,114321,0.790509,0.484738,0.038008,0.386824,0.564043,0.421079,0.541920,0.660523,0.305500,0.500717
field,Uoppgitt fagfelt,15,259268,155927,0.601412,0.259684,0.028535,0.119466,0.251219,0.076244,0.141325,0.556721,0.285476,0.222903
field,Økonomiske og administrative fag,323,354300,293384,0.828067,0.511254,0.117360,0.455190,0.566863,0.352562,0.621081,0.627217,0.322484,0.502923
level_x_field,Bachelor-nivå | Allmenne fag,2,1387,876,0.631579,0.294286,0.055936,0.167808,0.293325,0.122146,0.210046,0.578151,0.303836,0.260240
level_x_field,"Bachelor-nivå | Helse-, sosial- og idrettsfag",166,230133,196307,0.853015,0.370084,0.003668,0.079940,0.321360,0.054051,0.095958,0.694108,0.251222,0.285139
level_x_field,Bachelor-nivå | Humanistiske og estetiske fag,201,65759,43658,0.663909,0.439674,0.052389,0.375583,0.467900,0.223282,0.411892,0.605144,0.347012,0.414197
level_x_field,Bachelor-nivå | Lærerutdanninger og pedagogikk,143,171433,146830,0.856486,0.336357,0.006085,0.068623,0.291030,0.046984,0.085504,0.593909,0.382867,0.258279
level_x_field,"Bachelor-nivå | Naturvitenskap, håndverk og teknikk",177,127538,102901,0.806826,0.474220,0.100830,0.359590,0.505638,0.284873,0.379729,0.643237,0.278525,0.448577
level_x_field,Bachelor-nivå | Primærnæringsfag,22,4759,3238,0.680395,0.322423,0.007421,0.172542,0.314497,0.108534,0.228200,0.545922,0.245840,0.279024
level_x_field,"Bachelor-nivå | Samferdsel, sikkerhet og service",48,33220,29521,0.888651,0.403253,0.018112,0.150534,0.426354,0.098935,0.204881,0.465952,0.225587,0.378308
level_x_field,Bachelor-nivå | Samfunnsfag og juridiske fag,112,59215,43194,0.729444,0.467235,0.057616,0.436497,0.514507,0.345449,0.514120,0.615925,0.331868,0.456458
level_x_field,Bachelor-nivå | Uoppgitt fagfelt,4,31864,20329,0.637993,0.314378,0.041907,0.186363,0.314148,0.125413,0.220423,0.577343,0.307374,0.278790
