code,parentCode,level,name
0,,1,Ingen utdanning og førskoleutdanning
09,0,2,Uoppgitt fagfelt
099,09,3,Uoppgitt faggruppe
0999,099,4,Uoppgitt utdanningsgruppe
099901,0999,5,Ingen utdanning
099902,0999,5,"Førskoleutdanning, UTGÅTT KODE, SE 099903 og 099904"
099903,0999,5,"Barnehage-/førskoleutdanning, 0-2 år"
099904,0999,5,"Barnehage-/førskoleutdanning, 3-5 år"
099999,0999,5,"Ingen utdanning og barnehage-/førskoleutdanning, uspesifisert fagfelt"
1,,1,Barneskoleutdanning
10,1,2,Allmenne fag
101,10,3,Allmenne fag
1011,101,4,Generelle programmer
101101,1011,5,Grunnskoleutdanning på barneskolenivå
1019,101,4,"Allmenne fag, andre"
101999,1019,5,"Allmenne fag, andre, uspesifiserte, barneskoleutdanning"
11,1,2,Humanistiske og estetiske fag
119,11,3,"Humanistiske og estetiske fag, andre"
1199,119,4,"Humanistiske og estetiske fag, andre"
119999,1199,5,"Humanistiske og estetiske fag, andre, uspesifiserte, barneskoleutdanning"
12,1,2,Lærerutdanninger og utdanninger i pedagogikk
129,12,3,"Lærerutdanninger og utdanninger i pedagogikk, andre"
1299,129,4,"Lærerutdanninger og utdanninger i pedagogikk, andre"
129999,1299,5,"Lærerutdanning og utdanning i pedagogikk, annen, uspesifisert, barneskoleutdanning"
13,1,2,Samfunnsfag og juridiske fag
139,13,3,"Samfunnsfag og juridiske fag, andre"
1399,139,4,"Samfunnsfag og juridiske fag, andre"
139999,1399,5,"Samfunnsfag og juridiske fag, andre, uspesifiserte, barneskoleutdanning"
14,1,2,Økonomiske og administrative fag
149,14,3,"Økonomiske og administrative fag, andre"
1499,149,4,"Økonomiske og administrative fag, andre"
149999,1499,5,"Økonomiske og administrative fag, andre, uspesifiserte, barneskoleutdanning"
15,1,2,"Naturvitenskapelige fag, håndverksfag og tekniske fag"
159,15,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre"
1599,159,4,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre"
159999,1599,5,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre, uspesifiserte, barneskoleutdanning"
16,1,2,"Helse-, sosial- og idrettsfag"
169,16,3,"Helse-, sosial- og idrettsfag, andre"
1699,169,4,"Helse-, sosial- og idrettsfag, andre"
169999,1699,5,"Helse-, sosial- og idrettsfag, andre, uspesifiserte, barneskoleutdanning"
17,1,2,Primærnæringsfag
179,17,3,"Primærnæringsfag, andre"
1799,179,4,"Primærnæringsfag, andre"
179999,1799,5,"Primærnæringsfag, andre, uspesifiserte, barneskoleutdanning"
18,1,2,Samferdsels- og sikkerhetsfag og andre servicefag
189,18,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre"
1899,189,4,"Samferdsels- og sikkerhetsfag og andre servicefag, andre"
189999,1899,5,"Samferdsels- og sikkerhetsfag og andre servicefag, andre, uspesifiserte, barneskoleutdanning"
19,1,2,Uoppgitt fagfelt
199,19,3,Uoppgitt faggruppe
1999,199,4,Uoppgitt utdanningsgruppe
199999,1999,5,"Barneskoleutdanning, uspesifisert fagfelt"
2,,1,Ungdomsskoleutdanning
20,2,2,Allmenne fag
201,20,3,Allmenne fag
2011,201,4,Generelle programmer
201101,2011,5,Framhaldsskoleutdanning
201102,2011,5,Folkeskoleutdanning
201103,2011,5,Grunnskoleutdanning på ungdomsskoletrinnet
201104,2011,5,"Innføringskurs, fremmedspråklige elever"
201105,2011,5,Spesialutdanning for elever med særskilte behov
201106,2011,5,"Voksenopplæring, grunnskole"
201199,2011,5,"Grunnskoleutdanning på ungdomsskoletrinnet, uspesifisert, ungdomsskoleutdanning"
2019,201,4,"Allmenne fag, andre"
201999,2019,5,"Allmenne fag, andre, uspesifisert, ungdomsskoleutdanning"
21,2,2,Humanistiske og estetiske fag
219,21,3,"Humanistiske og estetiske fag, andre"
2199,219,4,"Humanistiske og estetiske fag, andre"
219999,2199,5,"Humanistiske og estetiske fag, andre, uspesifiserte, ungdomsskoleutdanning"
22,2,2,Lærerutdanninger og utdanninger i pedagogikk
229,22,3,"Lærerutdanninger og utdanninger i pedagogikk, andre"
2299,229,4,"Lærerutdanninger og utdanninger i pedagogikk, andre"
229999,2299,5,"Lærerutdanning og utdanning i pedagogikk, annen, uspesifisert, ungdomsskoleutdanning"
23,2,2,Samfunnsfag og juridiske fag
239,23,3,"Samfunnsfag og juridiske fag, andre"
2399,239,4,"Samfunnsfag og juridiske fag, andre"
239999,2399,5,"Samfunnsfag og juridiske fag, andre, uspesifiserte, ungdomsskoleutdanning"
24,2,2,Økonomiske og administrative fag
249,24,3,"Økonomiske og administrative fag, andre"
2499,249,4,"Økonomiske og administrative fag, andre"
249999,2499,5,"Økonomiske og administrative fag, andre, uspesifiserte, ungdomsskoleutdanning"
25,2,2,"Naturvitenskapelige fag, håndverksfag og tekniske fag"
259,25,3,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre"
2599,259,4,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre"
259999,2599,5,"Naturvitenskapelige fag, håndverksfag og tekniske fag, andre, uspesifiserte, ungdomsskoleutdanning"
26,2,2,"Helse-, sosial- og idrettsfag"
269,26,3,"Helse-, sosial- og idrettsfag, andre"
2699,269,4,"Helse-, sosial- og idrettsfag, andre"
269999,2699,5,"Helse-, sosial- og idrettsfag, andre, uspesifiserte, ungdomsskoleutdanning"
27,2,2,Primærnæringsfag
279,27,3,"Primærnæringsfag, andre"
2799,279,4,"Primærnæringsfag, andre"
279999,2799,5,"Primærnæringsfag, andre, uspesifiserte, ungdomsskoleutdanning"
28,2,2,Samferdsels- og sikkerhetsfag og andre servicefag
289,28,3,"Samferdsels- og sikkerhetsfag og andre servicefag, andre"
2899,289,4,"Samferdsels- og sikkerhetsfag og andre servicefag, andre"
289999,2899,5,"Samferdsels- og sikkerhetsfag og andre servicefag, andre, uspesifiserte, ungdomsskoleutdanning"
29,2,2,Uoppgitt fagfelt
299,29,3,Uoppgitt faggruppe
2999,299,4,Uoppgitt utdanningsgruppe
299999,2999,5,"Ungdomsskoleutdanning, uspesifisert fagfelt"
3,,1,"Videregående, grunnutdanning"
30,3,2,Allmenne fag
301,30,3,Allmenne fag
3011,301,4,Generelle programmer
301101,3011,5,"Allmenne, økonomiske og administrative fag, grunnkurs"
301102,3011,5,"Allmenne fag, VK I"
301103,3011,5,"Den reisende høgskolen, solidaritetsarbeid"
301104,3011,5,"Folkehøgskoleutdanning, ettårig"
301105,3011,5,"Folkehøgskoleutdanning, halvårig"
301106,3011,5,"Folkehøgskoleutdanning, toårig/videregående kurs"
301107,3011,5,Forkurs for fremmedspråklige
301108,3011,5,Forkurs for yrkes- og fagopplæringen
301109,3011,5,"Gymnasutdanning, deleksamener"
301110,3011,5,Realskoleutdanning
301111,3011,5,"Studiespesialisering, Vg1"
301112,3011,5,"Formgivingsfag, Vg2"
301113,3011,5,"Realfag, Vg2"
301114,3011,5,"Samfunnsfag og økonomi, Vg2"
301115,3011,5,"Språkfag, Vg2"
301116,3011,5,"International Baccalaureate, Vg2, FEIL KODE, SE 401104"
301117,3011,5,"Språk, samfunnsfag og økonomi, Vg2"
301118,3011,5,"Studiespesialisering, Vg2"
301119,3011,5,"Studiespesialisering med formgivingsfag, Vg1"
301120,3011,5,"Studiespesialisering, Vg1, grunnkompetanse"
301121,3011,5,"Formgivingsfag, Vg2, grunnkompetanse"
301122,3011,5,"Realfag, Vg2, grunnkompetanse"
301123,3011,5,"Språk, samfunnsfag og økonomi, Vg2, grunnkompetanse"
301199,3011,5,"Generelle programmer, uspesifiserte, videregående, grunnutdanning"
3019,301,4,"Allmenne fag, andre"
301999,3019,5,"Allmenne fag, andre, uspesifiserte, videregående, grunnutdanning"
31,3,2,Humanistiske og estetiske fag
311,31,3,Språkutdanninger
3111,311,4,Utdanninger i germanske og romanske språk
311199,3111,5,"Utdanning i germanske og romanske språk, uspesifisert, videregående, grunnutdanning"
3112,311,4,"Utdanninger i slaviske, baltiske og finsk-ugriske språk"
311299,3112,5,"Utdanning i slaviske, baltiske og finsk-ugriske språk, uspesifisert, videregående, grunnutdanning"
3113,311,4,"Utdanninger i tyrkiske, indoiranske, keltiske, semittiske og asiatiske språk"
311399,3113,5,"Utdanning i tyrkiske, indoiranske, keltiske, semittiske og asiatiske språk, uspesifisert, videregående, grunnutdanning"
3114,311,4,Utdanninger i afrikanske språk
311499,3114,5,"Utdanning i afrikanske språk, uspesifisert, videregående, grunnutdanning"
3115,311,4,Utdanninger i klassiske språk
311599,3115,5,"Utdanning i klassiske språk, uspesifisert, videregående, grunnutdanning"
3116,311,4,Translatørutdanninger
311699,3116,5,"Translatørutdanning, uspesifisert, videregående, grunnutdanning"
3117,311,4,Språkvitenskapelige utdanninger
311799,3117,5,"Språkvitenskapelig utdanning, uspesifisert, videregående, grunnutdanning"
3119,311,4,"Språkutdanninger, andre"
311999,3119,5,"Språkutdanning, annen, uspesifisert, videregående, grunnutdanning"
312,31,3,Litteratur- og bibliotekutdanninger
3121,312,4,Litteraturutdanninger
312199,3121,5,"Litteraturutdanning, uspesifisert, videregående, grunnutdanning"
3122,312,4,Bibliotekutdanninger
312201,3122,5,"Bok- og bibliotekutdanning, toårig grunnkurs"
312299,3122,5,"Bibliotekutdanning, uspesifisert, videregående, grunnutdanning"
3123,312,4,Forfatterutdanninger
312399,3123,5,"Forfatterutdanning, uspesifisert, videregående, grunnutdanning"
3129,312,4,"Litteratur- og bibliotekutdanninger, andre"
312999,3129,5,"Litteratur- og bibliotekutdanning, annen, uspesifisert, videregående, grunnutdanning"
313,31,3,Historisk-filosofiske utdanninger
3131,313,4,Historieutdanninger
313199,3131,5,"Historieutdanning, uspesifisert, videregående, grunnutdanning"
3132,313,4,Kunsthistorie
313299,3132,5,"Kunsthistorie, uspesifisert, videregående, grunnutdanning"
3133,313,4,Arkeologi
313399,3133,5,"Arkeologi, uspesifisert, videregående, grunnutdanning"
3134,313,4,Kulturutdanninger
313499,3134,5,"Kulturutdanning, uspesifisert, videregående, grunnutdanning"
3135,313,4,Filosofi og etikk
313599,3135,5,"Filosofi og etikk, uspesifisert, videregående, grunnutdanning"
3139,313,4,"Historisk-filosofiske utdanninger, andre"
313999,3139,5,"Historisk-filosofisk utdanning, annen, uspesifisert, videregående, grunnutdanning"
314,31,3,Religionsutdanninger
3141,314,4,"Bibel-, misjonær- og menighetsarbeid"
314101,3141,5,"Bibelskoleutdanning, videregående, grunnutdanning"
314102,3141,5,Frelsesarmeens offisersskole
314199,3141,5,"Bibel-, misjonær- og menighetsarbeid, uspesifisert, videregående, grunnutdanning"
3142,314,4,Kristendom og andre religionsutdanninger
314299,3142,5,"Kristendom og annen religionsutdanning, uspesifisert, videregående, grunnutdanning"
3149,314,4,"Religionsutdanninger, andre"
314999,3149,5,"Religionsutdanning, annen, uspesifisert, videregående, grunnutdanning"
315,31,3,"Musikk, dans og drama"
3151,315,4,Sang- og musikkutdanninger
315101,3151,5,"Folkemusikk, toårig grunnkurs"
315102,3151,5,"Bibelskole, sang og musikk, videregående, grunnutdanning"
315103,3151,5,"Musikk, Vg2"
315104,3151,5,"Musikk, Vg2, grunnkompetanse"
315199,3151,5,"Sang- og musikkutdanning, uspesifisert, videregående, grunnutdanning"
3152,315,4,Teater- og filmutdanninger
315201,3152,5,"Musikkteaterutdanning, videregående, grunnutdanning"
315202,3152,5,"Drama, Vg2"
315203,3152,5,"Drama, Vg2, grunnkompetanse"
315299,3152,5,"Teater- og filmutdanning, uspesifisert, videregående, grunnutdanning"
3153,315,4,Danse- og ballettutdanninger
315301,3153,5,"Dans, Vg2"
315302,3153,5,"Ballettlinje, toårig grunnkurs"
315399,3153,5,"Danse- og ballettutdanning, uspesifisert, videregående, grunnutdanning"
3159,315,4,"Musikk, dans og drama, andre"
315901,3159,5,"Musikk, dans og drama, grunnkurs"
315902,3159,5,"Musikk, dans og drama, toårig grunnkurs"
315903,3159,5,"Musikk, dans og drama, Vg1"
315904,3159,5,"Musikk, dans og drama, Vg1, grunnkompetanse"
315999,3159,5,"Musikk, dans og drama, andre, uspesifiserte, videregående, grunnutdanning"
316,31,3,Bildende kunst og kunsthåndverk
3161,316,4,"Husflid, brukskunst og industridesign"
316101,3161,5,"Formgivingsfag, harde/plastiske materialer, VK I"
316102,3161,5,"Duodji/samisk husflid, videregående, grunnutdanning"
316103,3161,5,"Design og duodji, Vg2"
316104,3161,5,"Keramikerutdanning, videregående, grunnutdanning"
316105,3161,5,"Duodji, Vg2"
316106,3161,5,"Duodji, Vg2, grunnkompetanse"
316199,3161,5,"Husflid, brukskunst og industridesign, uspesifisert, videregående, grunnutdanning"
3162,316,4,"Tre-, metall- og glasshåndverk"
316201,3162,5,"Gullsmedutdanning, videregående, grunnutdanning"
316202,3162,5,"Design og gullsmedhåndverk, Vg2"
316203,3162,5,"Design og gullsmedhåndverk, Vg2, grunnkompetanse"
316204,3162,5,"Gull- og sølvsmedhåndverk, Vg2"
316205,3162,5,"Gull- og sølvsmedhåndverk, Vg2, grunnkompetanse"
316299,3162,5,"Tre-, metall- og glasshåndverk, uspesifisert, videregående, grunnutdanning"
3163,316,4,Fotofag
316301,3163,5,"Fotografi, VK I"
316302,3163,5,"Pressefotografutdanning, toårig"
316399,3163,5,"Fotofag, uspesifiserte, videregående, grunnutdanning"
3164,316,4,"Tegne-, grafikk-, maler- og skulptørutdanninger"
316401,3164,5,"Førtrykk, VK I"
316402,3164,5,"Reklametegning, videregående, grunnutdanning"
316403,3164,5,"Rosemaling, videregående, grunnutdanning"
316404,3164,5,"Tegne- og malerutdanning, videregående, grunnutdanning"
316405,3164,5,"Tegning, videregående, grunnutdanning"
316499,3164,5,"Tegne-, grafikk-, maler- og skulptørutdanning, uspesifisert, videregående, grunnutdanning"
3165,316,4,Interiør- og dekoratørutdanninger
316501,3165,5,"Dekoratørutdanning, videregående, grunnutdanning"
316502,3165,5,"Interiørdesigner, videregående, grunnutdanning"
316503,3165,5,"Interiørfag, toårig grunnkurs"
316504,3165,5,"Interiør og utstillingsdesign, Vg2"
316505,3165,5,"Interiør og utstillingsdesign, Vg2, grunnkompetanse"
316506,3165,5,"Frisør, blomster, interiør og eksponeringsdesign, Vg1"
316507,3165,5,"Frisør, blomster, interiør og eksponeringsdesign, Vg1, grunnkompetanse"
316508,3165,5,"Interiør og eksponeringsdesign, Vg2"
316509,3165,5,"Interiør og eksponeringsdesign, Vg2, grunnkompetanse"
316599,3165,5,"Interiør- og dekoratørutdanning, uspesifisert, videregående, grunnutdanning"
3166,316,4,Konfeksjons- og tekstilkunstutdanninger
316601,3166,5,"Formgivingsfag, tekstiltrykk/broderi, VK I"
316602,3166,5,"Formgivingsfag, strikking/veving, VK I"
316603,3166,5,"Søm, VK I"
316604,3166,5,"Søm, toårig grunnkurs"
316605,3166,5,"Vev, toårig grunnkurs"
316606,3166,5,"Design og tekstil, Vg2"
316607,3166,5,"Design og tekstil, Vg2, grunnkompetanse"
316608,3166,5,"Søm og tekstilhåndverk, Vg2"
316609,3166,5,"Søm og tekstilhåndverk, Vg2, grunnkompetanse"
316699,3166,5,"Konfeksjons- og tekstilkunstutdanning, uspesifisert, videregående, grunnutdanning"
3169,316,4,"Bildende kunst og kunsthåndverk, andre"
316901,3169,5,"Blomsterdekoratør, Vg2 (gammel ordning)"
316902,3169,5,"Taksidermist, VK I"
316903,3169,5,"Estetiske fag, toårig grunnkurs"
316904,3169,5,"Formgivingsfag, grunnkurs"
316905,3169,5,"Formgivingsfag, videregående, grunnutdanning"
316906,3169,5,"Tegning, form og farge, VK I"
316908,3169,5,"Formgivingsfag, toårig grunnkurs"
316909,3169,5,"Formgivingsfag, VK I"
316910,3169,5,"Design og håndverk, Vg1"
316911,3169,5,"Design og håndverk, Vg1, grunnkompetanse"
316912,3169,5,"Kunst, design og arkitektur, Vg1"
316913,3169,5,"Kunst, design og arkitektur, Vg2"
316914,3169,5,"Kunst, design og arkitektur, Vg1, grunnkompetanse"
316915,3169,5,"Blomsterdekoratør, Vg2, grunnkompetanse (gammel ordning)"
316916,3169,5,"Håndverk, design og produktutvikling, Vg1"
316917,3169,5,"Håndverk, design og produktutvikling, Vg1, grunnkompetanse"
316918,3169,5,"Blomsterdekoratør, Vg2"
316919,3169,5,"Blomsterdekoratør, Vg2, grunnkompetanse"
316999,3169,5,"Bildende kunst og kunsthåndverk, andre, uspesifiserte, videregående, grunnutdanning"
319,31,3,"Humanistiske og estetiske fag, andre"
3199,319,4,"Humanistiske og estetiske fag, andre"
319999,3199,5,"Humanistiske og estetiske fag, andre, uspesifiserte, videregående, grunnutdanning"
32,3,2,Lærerutdanninger og utdanninger i pedagogikk
321,32,3,Førskole-/barnehagelærerutdanninger
3211,321,4,Førskole-/barnehagelærerutdanninger
321199,3211,5,"Førskole-/barnehagelærerutdanning, uspesifisert, videregående, grunnutdanning"
3219,321,4,"Førskole-/barnehagelærerutdanninger, andre"
321999,3219,5,"Førskole-/barnehagelærerutdanning, annen, uspesifisert, videregående, grunnutdanning"
322,32,3,Allmenn-/grunnskolelærerutdanninger
3221,322,4,Allmenn-/grunnskolelærerutdanninger
322199,3221,5,"Allmenn-/grunnskolelærerutdanning, uspesifisert, videregående, grunnutdanning"
3229,322,4,"Allmenn-/grunnskolelærerutdanninger, andre"
322999,3229,5,"Allmenn-/grunnskolelærerutdanning, annen, uspesifisert, videregående, grunnutdanning"
323,32,3,Fag- og yrkesfaglærerutdanninger
3231,323,4,"Humaniora og estetikk, lærerutdanninger"
323199,3231,5,"Humaniora og estetikk, lærerutdanning, uspesifisert, videregående, grunnutdanning"
3232,323,4,"Samfunnsfag og juridiske fag, lærerutdanninger"
323299,3232,5,"Samfunnsfag og juridiske fag, lærerutdanning. uspesifisert, videregående, grunnutdanning"
3233,323,4,"Økonomi og administrasjon, lærerutdanninger"
323399,3233,5,"Økonomi og administrasjon, lærerutdanning, uspesifisert, videregående, grunnutdanning"
3234,323,4,"Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanninger"
323499,3234,5,"Naturvitenskapelige fag, håndverksfag og tekniske fag, lærerutdanning, uspesifisert, videregående, grunnutdanning"
3235,323,4,"Helse-, sosial- og idrettsfag, lærerutdanninger"
323599,3235,5,"Helse-, sosial- og idrettsfag, uspesifisert, lærerutdanning, videregående, grunnutdanning"
3236,323,4,"Primærnæringer, lærerutdanninger"
323699,3236,5,"Primærnæringer, lærerutdanning, uspesifisert, videregående, grunnutdanning"
3237,323,4,"Samferdsel, tjenesteyting og sikkerhet, lærerutdanninger"
323701,3237,5,"Trafikklærere, grunnutdanning"
323799,3237,5,"Samferdsel, tjenesteyting og sikkerhet, lærerutdanning, uspesifisert, videregående, grunnutdanning"
3238,323,4,Praktisk-pedagogiske utdanninger
323899,3238,5,"Praktisk-pedagogisk utdanning, uspesifisert, videregående, grunnutdanning"
3239,323,4,"Fag- og yrkesfaglærerutdanninger, andre"
323999,3239,5,"Fag- og yrkesfaglærerutdanning, annen, uspesifisert, videregående, grunnutdanning"
324,32,3,Utdanninger i pedagogikk
3241,324,4,Pedagogikk
324199,3241,5,"Pedagogikk, uspesifisert, videregående, grunnutdanning"
3242,324,4,Spesialpedagogikk
324299,3242,5,"Spesialpedagogikk, uspesifisert, videregående, grunnutdanning"
3249,324,4,"Utdanninger i pedagogikk, andre"
324999,3249,5,"Utdanning i pedagogikk, annen, uspesifisert, videregående, grunnutdanning"
325,32,3,Videreutdanninger for lærere
3251,325,4,"Videreutdanninger for lærere, uspesifisert"
325199,3251,5,"Videreutdanning for lærere, uspesifisert, videregående, grunnutdanning"
3259,325,4,"Videreutdanninger for lærere, andre"
325999,3259,5,"Videreutdanning for lærere, annen, uspesifisert, videregående, grunnutdanning"
329,32,3,"Lærerutdanninger og utdanninger i pedagogikk, andre"
3299,329,4,"Lærerutdanninger og utdanninger i pedagogikk, andre"
329999,3299,5,"Lærerutdanning og utdanning i pedagogikk, annen, uspesifisert, videregående, grunnutdanning"
33,3,2,Samfunnsfag og juridiske fag
331,33,3,Statsvitenskapelige fag
3311,331,4,Statsvitenskapelige fag
331199,3311,5,"Statsvitenskapelige fag, uspesifiserte, videregående, grunnutdanning"
3319,331,4,"Statsvitenskapelige fag, andre"
331999,3319,5,"Statsvitenskapelige fag, andre, uspesifiserte, videregående, grunnutdanning"
332,33,3,Sosiologiske fag
3321,332,4,Sosiologiske fag
332199,3321,5,"Sosiologiske fag, uspesifiserte, videregående, grunnutdanning"
3329,332,4,"Sosiologiske fag, andre"
332999,3329,5,"Sosiologiske fag, andre, uspesifiserte, videregående, grunnutdanning"
333,33,3,Samfunnsgeografiske fag
3331,333,4,Samfunnsgeografi
333199,3331,5,"Samfunnsgeografi, uspesifisert, videregående, grunnutdanning"
3339,333,4,"Samfunnsgeografiske fag, andre"
333999,3339,5,"Samfunnsgeografiske fag, uspesifiserte, andre, videregående, grunnutdanning"
334,33,3,Samfunnsøkonomiske fag
3341,334,4,Samfunnsøkonomi
334199,3341,5,"Samfunnsøkonomi, uspesifisert, videregående, grunnutdanning"
3349,334,4,"Samfunnsøkonomiske fag, andre"
334999,3349,5,"Samfunnsøkonomiske fag, andre, uspesifiserte, videregående, grunnutdanning"
335,33,3,Medie- og informasjonsfag
3351,335,4,Media og kommunikasjon
335101,3351,5,"Media, toårig grunnkurs"
335102,3351,5,"Medier og kommunikasjon, grunnkurs"
335103,3351,5,"Medier og kommunikasjon, Vg2 (yrkesfaglig)"
335104,3351,5,"Medier og kommunikasjon, Vg1 (yrkesfaglig)"
335105,3351,5,"Medier og kommunikasjon, Vg1, grunnkompetanse (yrkesfaglig)"
335106,3351,5,"Medier og kommunikasjon, Vg1 (studieforberedende)"
335107,3351,5,"Medier og kommunikasjon, Vg2 (studieforberedende)"
335108,3351,5,"Medier og kommunikasjon, Vg1, grunnkompetanse (studieforberedende)"
335109,3351,5,"Medier og kommunikasjon, Vg2, grunnkompetanse (yrkesfaglig)"
335110,3351,5,"Medier og kommunikasjon, Vg2, grunnkompetanse (studieforberedende)"
335199,3351,5,"Media og kommunikasjon, uspesifisert, videregående, grunnutdanning"
3352,335,4,Journalistikk
335299,3352,5,"Journalistikk, uspesifisert, videregående, grunnutdanning"
3359,335,4,"Medie- og informasjonsfag, andre"
335901,3359,5,"Film- og videoproduksjon, videregående, grunnutdanning"
335902,3359,5,"Forlagsmedarbeider/publisher, videregående, grunnutdanning"
335903,3359,5,"TV-fotograf, videregående, grunnutdanning"
335904,3359,5,"Medieproduksjon, Vg1"
335905,3359,5,"Medieproduksjon, Vg2 (gammel ordning)"
335906,3359,5,"Medieproduksjon, Vg1, grunnkompetanse"
335907,3359,5,"Medieproduksjon, Vg2, grunnkompetanse (gammel ordning)"
335908,3359,5,"Medieproduksjon, Vg2"
335909,3359,5,"Medieproduksjon, Vg2, grunnkompetanse"
335999,3359,5,"Medie- og informasjonsfag, andre, uspesifiserte, videregående, grunnutdanning"
336,33,3,Psykologiske fag
3361,336,4,Psykologi
336199,3361,5,"Psykologi, uspesifisert, videregående, grunnutdanning"
3369,336,4,"Psykologiske fag, andre"
336999,3369,5,"Psykologiske fag, andre, uspesifiserte, videregående, grunnutdanning"
337,33,3,Juridiske fag
3371,337,4,Rettsstudiet
337199,3371,5,"Rettsstudiet, uspesifisert, videregående, grunnutdanning"
3372,337,4,Kriminologi
337299,3372,5,"Kriminologi, uspesifisert, videregående, grunnutdanning"
3379,337,4,"Juridiske fag, andre"
337999,3379,5,"Juridiske fag, andre, uspesifiserte, videregående, grunnutdanning"
338,33,3,Sosialantropologiske fag
3381,338,4,Sosialantropologiske fag
338199,3381,5,"Sosialantropologiske fag, uspesifiserte, videregående, grunnutdanning"
3389,338,4,"Sosialantropologiske fag, andre"
338999,3389,5,"Sosialantropologiske fag, andre, uspesifiserte, videregående, grunnutdanning"
339,33,3,"Samfunnsfag og juridiske fag, andre"
3399,339,4,"Samfunnsfag og juridiske fag, andre"
339999,3399,5,"Samfunnsfag og juridiske fag, andre, uspesifiserte, videregående, grunnutdanning"
34,3,2,Økonomiske og administrative fag
341,34,3,Økonomisk-administrative fag
3411,341,4,Økonomisk-administrative fag
341101,3411,5,Arbeidslederutdanning for yrkesfagarbeidere
341102,3411,5,"Økonomiske og administrative fag, VK I"
