nus_kode,nus_kode_forelder,nus_niva,nus_aktiv,nus_navn_nb,nus_kortnavn_nb,nus_navn_en,isced2013_kode,isced2013_navn
642219,6422,5,True,"Bachelor, eksportmarkedsføring, treårig",Eksportmarkedsføring,"Bachelor degree, export marketing, three-year",0414,Marketing and advertising
6121,612,4,True,Litteraturutdanninger,,Literature,,
612101,6121,5,True,"Litteraturutdanning, lavere nivå",Litteratur,"Literature, undergraduate level",0222,History and archaeology
642221,6422,5,True,"Bachelor, reklame, kommunikasjon og merkebygging, treårig","Reklame, kommunikasjon og merkebygging","Bachelor degree, advertising, communication and sponsor development, three-year",0414,Marketing and advertising
642222,6422,5,True,"Høgskolekandidat, markedskommunikasjon, toårig",Markedskommunikasjon,"College degree, marketing communication, two-year",0414,Marketing and advertising
612199,6121,5,True,"Litteraturutdanning, uspesifisert, lavere nivå",Litteratur,"Literature, unspecified, undergraduate level",0222,History and archaeology
642299,6422,5,True,"Markedsføring, uspesifisert, lavere nivå",Markedsføring,"Marketing, unspecified, undergraduate level",0414,Marketing and advertising
6429,642,4,True,"Handel og markedsføring, andre",,"Wholesale and retail sales and marketing, other",,
612202,6122,5,True,"Høgskolekandidat, bibliotek- og informasjonsfag, toårig",Bibliotek- og informasjonsvitenskap,"College degree, library and information science, two-year",0322,"Library, information and archival studies"
612203,6122,5,True,"Litteratur og samfunn, videreutdanning",Litteratur (videreutdanning),"Literature and society, supplementary education",0222,History and archaeology
612205,6122,5,True,Videreutdanning for bibliotekarer,,Supplementary education for librarians,0322,"Library, information and archival studies"
612206,6122,5,True,"Bachelor, bibliotek- og informasjonsvitenskap, treårig",Bibliotek- og informasjonsvitenskap,"Bachelor degree, library and information science, three-year",0322,"Library, information and archival studies"
612207,6122,5,True,"Bachelor, skolebibliotekkunnskap, treårig",Bibliotek- og informasjonsvitenskap,"Bachelor degree, school librarianship, three-year",0322,"Library, information and archival studies"
612299,6122,5,True,"Bibliotekutdanning, uspesifisert, lavere nivå",Bibliotek- og informasjonsvitenskap,"Librarianship, unspecified, undergraduate level",0322,"Library, information and archival studies"
6123,612,4,True,Forfatterutdanninger,,Authorship,,
612399,6123,5,True,"Forfatterutdanning, uspesifisert, lavere nivå",Forfatterutdanning,"Authorship, unspecified, undergraduate level",0232,Literature and linguistics
6129,612,4,True,"Litteratur- og bibliotekutdanninger, andre",,"Literature and librarianship, other",,
612999,6129,5,True,"Litteratur- og bibliotekutdanning, annen, uspesifisert, lavere nivå",Litteratur- og bibliotekutdanning,"Literature and librarianship, other, unspecified, undergraduate level",0222,History and archaeology
6432,643,4,True,Kontorfag,,Office skills,,
6131,613,4,True,Historieutdanninger,,History,,
613101,6131,5,True,"Historie, lavere nivå",Historie,"History, undergraduate level",0222,History and archaeology
613102,6131,5,True,"Bachelor, historie, treårig",Historie,"Bachelor degree, history, three-year",0222,History and archaeology
613199,6131,5,True,"Historieutdanning, uspesifisert, lavere nivå",Historie,"History, unspecified, undergraduate level",0222,History and archaeology
6132,613,4,True,Kunsthistorie,,Art history,,
643999,6439,5,True,"Kontorfag, andre, uspesifiserte, lavere nivå",Kontorfag,"Secretarial and office skills, other, unspecified, undergraduate level",0415,Secretarial and office work
613203,6132,5,True,"Bachelor, kunsthistorie, treårig",Kunsthistorie,"Bachelor degree, art history, three-year",0213,Fine arts
613204,6132,5,True,"Kunstvitenskap, lavere nivå",,"Art science, undergraduate level",0213,Fine arts
6441,644,4,True,Reiselivsfag,,Travel and tourism,,
613302,6133,5,True,"Bachelor, arkeologi, treårig",Arkeologi,"Bachelor degree, archaeology, three-year",0222,History and archaeology
644102,6441,5,True,"Høgskolekandidat, reiseliv og turisme, toårig",Reiseliv og turisme,"College degree, travel and tourism, two-year",1015,"Travel, tourism and leisure"
613402,6134,5,True,"Arkivkunnskap, lavere nivå",Arkiv og dokumentbehandling,"Archival science, undergraduate level",0322,"Library, information and archival studies"
644104,6441,5,True,"Høgskolekandidat, reiselivsadministrasjon, toårig",Reiseliv,"College degree, travel and tourism management, two-year",1015,"Travel, tourism and leisure"
644105,6441,5,True,"Reiselivsfag, ettårig påbygging",Reiseliv,"Travel and tourism, one-year supplement",1015,"Travel, tourism and leisure"
613407,6134,5,True,"Kulturvern/kulturformidling, lavere nivå",Kulturvern / kulturformidling,"Cultural conservation/cultural mediation, undergraduate level",0314,Sociology and cultural studies
613411,6134,5,True,"Høgskolekandidat, kultur- og mediefag, toårig",Kultur- og mediefag,"College degree, culture and media studies, two-year",0314,Sociology and cultural studies
613413,6134,5,True,"Folkekunst, lavere nivå",Tradisjonskunst,"Folk art, undergraduate level",0314,Sociology and cultural studies
613414,6134,5,True,"Kulturfag, lavere nivå",Kultur,"Cultural studies, undergraduate level",0314,Sociology and cultural studies
613415,6134,5,True,"Videreutdanning, kulturfag",,"Supplementary education, cultural studies",0314,Sociology and cultural studies
613416,6134,5,True,"Kulturvitenskap, lavere nivå",Kulturvitenskap,"Culture science, undergraduate level",0314,Sociology and cultural studies
613417,6134,5,True,"Bachelor, folkekunstutdanning, treårig",Tradisjonskunst,"Bachelor degree, folk art studies, three-year",0314,Sociology and cultural studies
613418,6134,5,True,"Bachelor, kunst- og kulturvitenskap, treårig",Kunst- og kulturfag,"Bachelor degree, art and culture science, three-year",0314,Sociology and cultural studies
613419,6134,5,True,"Bachelor, kulturformidling, treårig",Kulturformidling,"Bachelor degree, culture management, three-year",0314,Sociology and cultural studies
644110,6441,5,True,"Bachelor, opplevelses- og attraksjonsutvikling, treårig",Opplevelses- og attraksjonsutvikling,"Bachelor degree, amusement and attractions development, three-year",1015,"Travel, tourism and leisure"
613422,6134,5,True,"Bachelor, kulturfag, treårig",Kultur,"Bachelor degree, culture studies, three-year",0314,Sociology and cultural studies
613423,6134,5,True,"Bachelor, språk- og kulturfag, treårig",Språk- og kulturfag,"Bachelor degree, language and culture studies, three-year",0314,Sociology and cultural studies
6442,644,4,True,Hotell- og restaurantfag,,Hotel and restaurant,,
613426,6134,5,True,"Bachelor, arkivvitenskap, treårig",Arkivvitenskap,"Bachelor degree, archival science, three-year",0322,"Library, information and archival studies"
644202,6442,5,True,"Forkurs for administrasjonslinjen, 1. avd. ved Norsk hotellhøgskole",Hotell- og reiselivsadministrasjon,"Preparatory course for administration programme, part 1 at the former Norwegian College of Hotel Management",1013,"Hotel, restaurants and catering"
