styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
0000,Uoppgitt / yrker som ikke kan identifiseres,,Uoppgitt / yrker som ikke kan identifiseres,6276,3794,2482,4696,1580,537,3402,1025,2024-11-01
0110,Offiserer fra fenrik og høyere grad,,Offiser i militæret,4890,4178,712,31,4859,696,2151,902,2024-11-01
0210,Befal med sersjant grad,,Sersjant,4654,3969,685,11,4643,808,3128,1379,2024-11-01
0310,Menige,,Menig i militæret,10379,7622,2757,142,10237,2293,10145,926,2024-11-01
1111,Politikere,,Politiker,1108,641,467,285,823,85,372,177,2024-11-01
1112,Toppledere i offentlig administrasjon,,Toppleder i offentlig administrasjon,959,554,405,129,830,38,104,110,2024-11-01
1114,Toppledere i interesseorganisasjoner,,Toppleder i interesseorganisasjon,2312,1169,1143,2194,118,119,481,269,2024-11-01
1120,Administrerende direktører,,Daglig leder,36541,27113,9428,35352,1189,1001,5928,3034,2024-11-01
1211,Finans- og økonomisjefer,,Økonomisjef,8587,4780,3807,8080,507,252,1628,1081,2024-11-01
1212,Personalsjefer,,Personalsjef,2257,813,1444,1987,270,82,372,267,2024-11-01
1213,Strategi- og planleggingssjefer,,Planleggingssjef,4708,2088,2620,475,4233,217,552,581,2024-11-01
1219,Andre administrative ledere,,Administrativ leder,24482,12349,12133,10537,13945,999,3597,2807,2024-11-01
1221,Salgs- og markedssjefer,,Salgs- eller markedssjef,16103,11399,4704,16060,43,499,4004,1803,2024-11-01
1222,PR- og informasjonssjefer,,PR- eller informasjonssjef,1810,960,850,1667,143,78,532,288,2024-11-01
1223,Forsknings- og utviklingsledere,,Forsknings- eller utviklingsleder,3007,2077,930,2493,514,152,631,402,2024-11-01
1311,"Ledere i skogbruk, gartnerier mv.",,Leder i skogbruk eller gartneri,676,419,257,383,293,25,134,83,2024-11-01
1312,Ledere innen akvakultur mv.,,Leder i akvakultur,369,297,72,364,5,28,121,78,2024-11-01
1321,Ledere av industriproduksjon mv.,,Leder i industri,12078,10413,1665,11989,89,409,2335,1264,2024-11-01
1322,Ledere av olje- og gassutvinning mv.,,Leder av olje- eller gassutvinning,8628,6619,2009,8603,25,219,1183,625,2024-11-01
1323,Ledere av bygge- og anleggsvirksomhet,,Leder av bygge- eller anleggsvirksomhet,15392,14299,1093,14352,1040,721,3884,1856,2024-11-01
1324,Ledere av logistikk og transport mv.,,Leder av logistikk eller transport,8906,7308,1598,8729,177,256,1856,814,2024-11-01
