styrk08_code,isco08_code,title_no,exposure,exposure_norm,stage,confidence,source_detail
0110,0110,Offiserer fra fenrik og høyere grad,,,4_unmappable,unmappable,DOCUMENTED UNMAPPABLE: Norwegian military officers (fenrik+). No ISCO 0110 in BLS xwalk; SOC military codes (55-xxxx) not in Eloundou. Set NaN;
0210,0210,Befal med sersjant grad,,,4_unmappable,unmappable,DOCUMENTED UNMAPPABLE: Norwegian military NCOs. Same as 0110.
0310,0310,Menige,,,4_unmappable,unmappable,DOCUMENTED UNMAPPABLE: Norwegian conscripts. Same as 0110.
1111,1111,Politikere,0.4,0.4102564102564103,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1112,1112,Toppledere i offentlig administrasjon,0.47963675213675216,0.4919351303966689,1_bls_xwalk,high,mean of 3 SOC matches via BLS
1114,1114,Toppledere i interesseorganisasjoner,0.4897676307165118,0.5023257750938582,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1120,1120,Administrerende direktører,0.4987749287749288,0.5115640295127475,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1211,1211,Finans- og økonomisjefer,0.4850552306692657,0.49749254427616996,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1212,1212,Personalsjefer,0.497719298245614,0.5104813315339631,1_bls_xwalk,high,mean of 3 SOC matches via BLS
1213,1213,Strategi- og planleggingssjefer,0.4912673640410586,0.5038639631190345,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1219,1219,Andre administrative ledere,0.5071409992212701,0.5201446145859181,1_bls_xwalk,high,mean of 3 SOC matches via BLS
1221,1221,Salgs- og markedssjefer,0.475,0.48717948717948717,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1222,1222,PR- og informasjonssjefer,0.4767441860465116,0.4889683959451401,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1223,1223,Forsknings- og utviklingsledere,0.4954624140714146,0.5081665785347842,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1311,1311,"Ledere i skogbruk, gartnerier mv.",0.3673469387755101,0.37676609105180525,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1312,1312,Ledere innen akvakultur mv.,0.3673469387755101,0.37676609105180525,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1321,1321,Ledere av industriproduksjon mv.,0.40571870150289957,0.41612174513117905,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1322,1322,Ledere av olje- og gassutvinning mv.,0.4912673640410586,0.5038639631190345,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1323,1323,Ledere av bygge- og anleggsvirksomhet,0.4444444444444445,0.4558404558404559,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1324,1324,Ledere av logistikk og transport mv.,0.486525974025974,0.499000999000999,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1330,1330,Ledere av IKT-enheter,0.5303030303030303,0.5439005439005439,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1341,1341,Ledere av omsorgstjenester for barn,0.46875,0.4807692307692308,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1342,1342,Ledere av helsetjenester,0.4285714285714285,0.4395604395604395,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1343,1343,Ledere av eldreomsorg,0.4546703296703296,0.4663285432516201,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1344,1344,Ledere av sosialomsorg,0.3928571428571428,0.4029304029304029,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1345,1345,Ledere av utdanning og undervisning,0.42860310421286024,0.43959292739780537,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1346,1346,Ledere av forsikring og finansvirksomhet,0.483983730694257,0.4963935699428277,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1349,1349,Andre ledere av produksjon og tjenesteyting,0.4912673640410586,0.5038639631190345,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1411,1411,Hotellsjefer,0.4565217391304347,0.4682274247491638,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1412,1412,Restaurantsjefer,0.4166666666666666,0.4273504273504273,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1420,1420,Varehandelssjefer,0.4807692307692308,0.4930966469428008,1_bls_xwalk,high,mean of 1 SOC matches via BLS
1431,1431,"Sports-, rekreasjons- og kultursenterledere",0.5030190851444368,0.5159170104045506,1_bls_xwalk,high,mean of 2 SOC matches via BLS
1439,1439,Andre daglige ledere i tjenesteytende virksomheter,0.4912673640410586,0.5038639631190345,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2111,2111,Fysikere og astronomer,0.59375,0.608974358974359,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2112,2112,Meteorologer,0.5652173913043478,0.5797101449275363,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2113,2113,Kjemikere,0.43137931034482757,0.4424403183023873,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2114,2114,Geologer og geofysikere,0.48333333333333334,0.49572649572649574,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2120,2120,"Matematikere, statistikere mv.",0.7005843237125071,0.7185480243205201,1_bls_xwalk,high,mean of 5 SOC matches via BLS
2131,2131,"Biologer, botanikere, zoologer mv.",0.485931425085413,0.4983912052158082,1_bls_xwalk,high,mean of 9 SOC matches via BLS
2132,2132,Sivilagronomer mv.,0.40904928799216944,0.41953773127401994,1_bls_xwalk,high,mean of 3 SOC matches via BLS
2133,2133,Miljøvernrådgivere,0.48645540396749404,0.49892861945384004,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2141,2141,Sivilingeniører (industri og produksjon),0.554355036527489,0.568569268233322,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2142,2142,Sivilingeniører (bygg og anlegg),0.48214285714285715,0.4945054945054945,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2143,2143,Sivilingeniører (miljøteknikk),0.5555555555555556,0.5698005698005698,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2144,2144,Sivilingeniører (maskin- og marin-teknikk),0.5020479429815355,0.5149209671605492,1_bls_xwalk,high,mean of 4 SOC matches via BLS
2145,2145,Sivilingeniører (kjemi),0.4615384615384615,0.47337278106508873,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2146,2146,"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",0.4949556894994237,0.50764686102505,1_bls_xwalk,high,mean of 4 SOC matches via BLS
2149,2149,Andre sivilingeniører (unntatt elektroteknologi),0.5244005358827123,0.5378467034694485,1_bls_xwalk,high,mean of 5 SOC matches via BLS
2151,2151,Sivilingeniører (elkraftteknikk),0.5625,0.576923076923077,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2152,2152,Sivilingeniører (elektronikk),0.6558229352346999,0.6726389079330256,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2153,2153,Sivilingeniører (telekommunikasjon),0.6200980392156863,0.6359979889391655,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2161,2161,Sivilarkitekter,0.4883720930232558,0.5008944543828264,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2162,2162,Landskapsarkitekter,0.4210526315789473,0.4318488529014844,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2163,2163,Produkt- og klesdesignere,0.42807112068965514,0.4390473032714412,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2164,2164,Arealplanleggere,0.4772727272727273,0.48951048951048953,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2165,2165,"Landmålere, kartografer mv.",0.5133796296296297,0.5265432098765432,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2166,2166,Grafiske- og multimediadesignere,0.5125,0.5256410256410257,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2211,2211,Allmennpraktiserende leger,0.4571428571428571,0.4688644688644688,2_manual_override,high,manual → SOC 29-1216: Allmennpraktiserende leger → General Internal Medicine Physicians (SOC 29-1216). Direct functional match for general pra
2212,2212,Legespesialister,0.4164495357891584,0.42712772901452145,2_manual_override,medium,manual → SOC 29-1229: Legespesialister (medical specialists). SOC 29-1229 'Allergists and Immunologists' is the closest single-code match with
2221,2221,Spesialsykepleiere,0.3641568833335195,0.3734942393164302,1_bls_xwalk,high,mean of 3 SOC matches via BLS
2222,2222,Jordmødre,0.3902439024390244,0.4002501563477173,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2223,2223,Sykepleiere,0.38019000703729766,0.38993846875620275,2_manual_override,high,manual → SOC 29-1141: Sykepleiere → Registered Nurses (SOC 29-1141). Standard ISCO 2221 ↔ SOC 29-1141 mapping recognized in OECD nursing-occup
2224,2224,Vernepleiere,0.3548387096774194,0.36393713813068657,2_manual_override,medium,manual → SOC 21-1015: Vernepleiere — Norwegian-specific care worker for cognitive/developmental disabilities. Closest SOC is 21-1015 'Rehabili
2250,2250,Veterinærer,0.2702702702702703,0.27720027720027723,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2261,2261,Tannleger,0.15886363636363635,0.16293706293706292,1_bls_xwalk,high,mean of 4 SOC matches via BLS
2262,2262,Farmasøyter,0.4285714285714285,0.4395604395604395,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2263,2263,Helse- og miljørådgivere,0.532258064516129,0.5459057071960297,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2264,2264,Fysioterapeuter,0.2257446808510638,0.23153300600109109,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2265,2265,Ernæringsfysiologer,0.5487804878048781,0.5628517823639776,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2266,2266,Audiografer og logopeder,0.45288248337028825,0.4644948547387572,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2267,2267,Ergoterapeuter,0.3,0.3076923076923077,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2269,2269,Kiropraktorer mv.,0.35845969190384086,0.3676509660552214,1_bls_xwalk,high,mean of 6 SOC matches via BLS
2310,2310,Universitets- og høyskolelektorer/-lærere,0.48443683175528196,0.4968582889797764,1_bls_xwalk,high,mean of 34 SOC matches via BLS
2320,2320,Yrkesfaglærere,0.3810311552247036,0.39080118484584986,1_bls_xwalk,high,mean of 3 SOC matches via BLS
2330,2330,Lektorer mv. (videregående skole),0.3333333333333333,0.3418803418803419,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2341,2341,Grunnskolelærere,0.32931844888366624,0.3377625116755551,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2342,2342,Førskole-/barnehagelærere,0.2300747198007472,0.23597407159050995,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2351,2351,Spesialister i pedagogikk,0.4875,0.5,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2352,2352,Spesiallærere / spesialpedagoger,0.3374999999999999,0.3461538461538461,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2353,2353,Andre språklærere,0.3822058823529412,0.39200603318250377,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2354,2354,Andre musikklærere,0.36,0.36923076923076925,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2355,2355,Andre lærere i estetiske fag,0.36,0.36923076923076925,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2356,2356,Andre IKT-lærere,0.5526315789473684,0.5668016194331983,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2359,2359,Andre lærere,0.2894736842105263,0.2968960863697706,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2411,2411,"Revisorer, regnskapsrådgivere",0.5683333333333334,0.582905982905983,1_bls_xwalk,high,mean of 3 SOC matches via BLS
2412,2412,Finans- og investeringsrådgivere,0.4807692307692307,0.49309664694280075,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2413,2413,Finansanalytikere,0.5056980056980057,0.5186646212287238,1_bls_xwalk,high,mean of 3 SOC matches via BLS
2421,2421,Organisasjonsrådgivere mv.,0.497085875065021,0.5098316667333549,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2422,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.5828407660281357,0.5977854010544982,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2423,2423,Personal- og karriererådgivere,0.4886930376255103,0.5012236283338567,1_bls_xwalk,high,mean of 4 SOC matches via BLS
2424,2424,Rådgivere innen kompetanseutvikling,0.5526315789473684,0.5668016194331983,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2431,2431,Reklame- og markedsføringsrådgivere,0.7008634580355892,0.7188343159339378,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2432,2432,Informasjonsrådgivere,0.5909090909090909,0.6060606060606061,1_bls_xwalk,high,mean of 1 SOC matches via BLS
2433,2433,Salgskonsulenter innen tekniske og medisinske produkter,0.5112210726245814,0.5243293052559809,1_bls_xwalk,high,mean of 2 SOC matches via BLS
2434,2434,Salgskonsulenter innen IKT-produkter,0.5112567135593451,0.5243658600608668,1_bls_xwalk,high,mean of 3 SOC matches via BLS
