inst,inst_short,field,graduates,share
1110,UiO,Samfunnsfag og juridiske fag,1694.000000,0.295999
1110,UiO,"Helse-, sosial- og idrettsfag",611.000000,0.106762
1110,UiO,Ph.d.,476.000000,0.083173
1110,UiO,"Naturvitenskap, håndverk og teknikk",1235.000000,0.215796
1110,UiO,Lærerutdanninger og pedagogikk,798.000000,0.139437
1110,UiO,Humanistiske og estetiske fag,824.000000,0.143980
1110,UiO,Økonomiske og administrative fag,85.000000,0.014852
1120,UiB,Samfunnsfag og juridiske fag,1630.000000,0.414021
1120,UiB,"Helse-, sosial- og idrettsfag",391.000000,0.099314
1120,UiB,Ph.d.,218.000000,0.055372
1120,UiB,"Naturvitenskap, håndverk og teknikk",790.000000,0.200660
1120,UiB,Humanistiske og estetiske fag,602.000000,0.152908
1120,UiB,Lærerutdanninger og pedagogikk,306.000000,0.077724
1150,NTNU,"Helse-, sosial- og idrettsfag",1807.000000,0.187196
1150,NTNU,Økonomiske og administrative fag,650.000000,0.067337
1150,NTNU,"Naturvitenskap, håndverk og teknikk",4072.000000,0.421838
1150,NTNU,Lærerutdanninger og pedagogikk,949.000000,0.098311
1150,NTNU,Samfunnsfag og juridiske fag,994.000000,0.102973
1150,NTNU,Ph.d.,500.000000,0.051797
1150,NTNU,"Samferdsel, sikkerhet og service",186.000000,0.019269
1150,NTNU,Humanistiske og estetiske fag,474.000000,0.049104
1150,NTNU,Primærnæringsfag,21.000000,0.002175
1160,UiS,"Helse-, sosial- og idrettsfag",682.000000,0.240141
1160,UiS,Økonomiske og administrative fag,506.000000,0.178169
1160,UiS,Lærerutdanninger og pedagogikk,438.000000,0.154225
1160,UiS,"Naturvitenskap, håndverk og teknikk",481.000000,0.169366
1160,UiS,Ph.d.,94.000000,0.033099
1160,UiS,Samfunnsfag og juridiske fag,397.000000,0.139789
1160,UiS,"Samferdsel, sikkerhet og service",141.000000,0.049648
1160,UiS,Humanistiske og estetiske fag,98.000000,0.034507
1160,UiS,Uoppgitt fagfelt,3.000000,0.001056
1240,NHH,Økonomiske og administrative fag,1404.000000,0.980447
1240,NHH,Ph.d.,18.000000,0.012570
1240,NHH,Humanistiske og estetiske fag,10.000000,0.006983
8241,BI,Økonomiske og administrative fag,4210.000000,0.956383
8241,BI,Samfunnsfag og juridiske fag,181.000000,0.041118
8241,BI,Ph.d.,11.000000,0.002499
