inst,inst_short,level,graduates,share
1110,UiO,Master-nivå,2966.000000,0.518260
1110,UiO,Ph.d.,476.000000,0.083173
1110,UiO,Bachelor-nivå,2281.000000,0.398567
1120,UiB,Master-nivå,1967.000000,0.499619
1120,UiB,Bachelor-nivå,1752.000000,0.445009
1120,UiB,Ph.d.,218.000000,0.055372
1150,NTNU,Bachelor-nivå,4210.000000,0.436134
1150,NTNU,Master-nivå,4943.000000,0.512069
1150,NTNU,Ph.d.,500.000000,0.051797
1160,UiS,Bachelor-nivå,1552.000000,0.546479
1160,UiS,Master-nivå,1194.000000,0.420423
1160,UiS,Ph.d.,94.000000,0.033099
1240,NHH,Master-nivå,921.000000,0.643156
1240,NHH,Bachelor-nivå,493.000000,0.344274
1240,NHH,Ph.d.,18.000000,0.012570
8241,BI,Bachelor-nivå,3154.000000,0.716493
8241,BI,Master-nivå,1237.000000,0.281009
8241,BI,Ph.d.,11.000000,0.002499
