inst,inst_short,cohort,rank,styrk08,styrk08_name,share,exposure_norm,exposure2_norm,quintile_v1,quintile_v2
1150,NTNU,all,1,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.061439,0.597785,0.766679,5,5
1150,NTNU,all,2,2341,Grunnskolelærere,0.059599,0.337763,0.288960,3,3
1150,NTNU,all,3,2223,Sykepleiere,0.045158,0.389938,0.284363,3,3
1150,NTNU,all,4,2511,Systemanalytikere/-arkitekter,0.043797,0.633256,0.838163,5,5
1150,NTNU,all,5,2310,Universitets- og høyskolelektorer/-lærere,0.038805,0.496858,0.510385,4,4
1150,NTNU,all,6,2519,Andre programvare- og applikasjonsutviklere,0.034729,0.754652,0.823038,5,5
1150,NTNU,all,7,2142,Sivilingeniører (bygg og anlegg),0.033193,0.494505,0.522526,4,4
1150,NTNU,all,8,3119,Andre ingeniører,0.025483,0.365983,0.336583,3,3
1150,NTNU,all,9,2330,Lektorer mv. (videregående skole),0.025248,0.341880,0.306723,3,3
1150,NTNU,all,10,5223,Butikkmedarbeidere,0.019752,0.351263,0.329793,3,3
1150,NTNU,all,11,2221,Spesialsykepleiere,0.019416,0.373494,0.284363,3,3
1150,NTNU,all,12,2146,"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",0.018784,0.507647,0.506291,4,4
1150,NTNU,all,13,3511,"Driftsteknikere, IKT",0.018649,0.626781,0.745853,5,5
1150,NTNU,all,14,2512,Programvareutviklere,0.015424,0.890688,0.836406,5,5
1150,NTNU,all,15,2212,Legespesialister,0.014456,0.427128,0.216526,4,3
1150,NTNU,recent,1,2341,Grunnskolelærere,0.067665,0.337763,0.288960,3,3
1150,NTNU,recent,2,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.066311,0.597785,0.766679,5,5
1150,NTNU,recent,3,2310,Universitets- og høyskolelektorer/-lærere,0.055844,0.496858,0.510385,4,4
1150,NTNU,recent,4,2223,Sykepleiere,0.054942,0.389938,0.284363,3,3
1150,NTNU,recent,5,2519,Andre programvare- og applikasjonsutviklere,0.046136,0.754652,0.823038,5,5
1150,NTNU,recent,6,2511,Systemanalytikere/-arkitekter,0.044840,0.633256,0.838163,5,5
1150,NTNU,recent,7,2330,Lektorer mv. (videregående skole),0.026208,0.341880,0.306723,3,3
1150,NTNU,recent,8,3119,Andre ingeniører,0.024481,0.365983,0.336583,3,3
1150,NTNU,recent,9,2142,Sivilingeniører (bygg og anlegg),0.022690,0.494505,0.522526,4,4
1150,NTNU,recent,10,5223,Butikkmedarbeidere,0.022058,0.351263,0.329793,3,3
1150,NTNU,recent,11,3511,"Driftsteknikere, IKT",0.021124,0.626781,0.745853,5,5
1150,NTNU,recent,12,2512,Programvareutviklere,0.019621,0.890688,0.836406,5,5
1150,NTNU,recent,13,2212,Legespesialister,0.019548,0.427128,0.216526,4,3
1150,NTNU,recent,14,2221,Spesialsykepleiere,0.017123,0.373494,0.284363,3,3
1150,NTNU,recent,15,3114,Elektronikkingeniører,0.016472,0.416062,0.376329,4,4
1110,UiO,all,1,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.124129,0.597785,0.766679,5,5
1110,UiO,all,2,2341,Grunnskolelærere,0.066063,0.337763,0.288960,3,3
1110,UiO,all,3,2310,Universitets- og høyskolelektorer/-lærere,0.061839,0.496858,0.510385,4,4
1110,UiO,all,4,2511,Systemanalytikere/-arkitekter,0.043442,0.633256,0.838163,5,5
1110,UiO,all,5,5223,Butikkmedarbeidere,0.037514,0.351263,0.329793,3,3
1110,UiO,all,6,2330,Lektorer mv. (videregående skole),0.035457,0.341880,0.306723,3,3
1110,UiO,all,7,2212,Legespesialister,0.032365,0.427128,0.216526,4,3
1110,UiO,all,8,2611,Jurister og advokater,0.030442,0.435897,0.715612,4,5
1110,UiO,all,9,2634,Psykologer,0.028134,0.477818,0.474873,4,4
1110,UiO,all,10,2519,Andre programvare- og applikasjonsutviklere,0.027255,0.754652,0.823038,5,5
1110,UiO,all,11,4110,Kontormedarbeidere,0.023796,0.610279,0.665079,5,5
1110,UiO,all,12,5311,Barnehage- og skolefritidsassistenter mv.,0.020682,0.145058,0.255320,2,3
1110,UiO,all,13,3511,"Driftsteknikere, IKT",0.015953,0.626781,0.745853,5,5
1110,UiO,all,14,2423,Personal- og karriererådgivere,0.013886,0.501224,0.635356,4,5
1110,UiO,all,15,2512,Programvareutviklere,0.013793,0.890688,0.836406,5,5
1110,UiO,recent,1,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.147382,0.597785,0.766679,5,5
1110,UiO,recent,2,2310,Universitets- og høyskolelektorer/-lærere,0.085721,0.496858,0.510385,4,4
1110,UiO,recent,3,2341,Grunnskolelærere,0.075192,0.337763,0.288960,3,3
1110,UiO,recent,4,2511,Systemanalytikere/-arkitekter,0.047400,0.633256,0.838163,5,5
1110,UiO,recent,5,5223,Butikkmedarbeidere,0.045712,0.351263,0.329793,3,3
1110,UiO,recent,6,2212,Legespesialister,0.038459,0.427128,0.216526,4,3
1110,UiO,recent,7,2330,Lektorer mv. (videregående skole),0.034957,0.341880,0.306723,3,3
1110,UiO,recent,8,2519,Andre programvare- og applikasjonsutviklere,0.034346,0.754652,0.823038,5,5
1110,UiO,recent,9,2611,Jurister og advokater,0.033267,0.435897,0.715612,4,5
1110,UiO,recent,10,4110,Kontormedarbeidere,0.031930,0.610279,0.665079,5,5
1110,UiO,recent,11,2634,Psykologer,0.029333,0.477818,0.474873,4,4
1110,UiO,recent,12,5311,Barnehage- og skolefritidsassistenter mv.,0.019403,0.145058,0.255320,2,3
1110,UiO,recent,13,3511,"Driftsteknikere, IKT",0.017799,0.626781,0.745853,5,5
1110,UiO,recent,14,2512,Programvareutviklere,0.017259,0.890688,0.836406,5,5
1110,UiO,recent,15,5329,Andre pleiemedarbeidere,0.015718,0.268401,0.152646,3,2
1175,OsloMet,all,1,2341,Grunnskolelærere,0.096019,0.337763,0.288960,3,3
1175,OsloMet,all,2,2223,Sykepleiere,0.079368,0.389938,0.284363,3,3
1175,OsloMet,all,3,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.055018,0.597785,0.766679,5,5
1175,OsloMet,all,4,2221,Spesialsykepleiere,0.050421,0.373494,0.284363,3,3
1175,OsloMet,all,5,2342,Førskolelærere,0.048477,0.235974,0.105222,2,2
1175,OsloMet,all,6,2330,Lektorer mv. (videregående skole),0.038507,0.341880,0.306723,3,3
1175,OsloMet,all,7,2224,Vernepleiere,0.033027,0.363937,0.284363,3,3
1175,OsloMet,all,8,2635,Rådgivere innen sosiale fagfelt,0.026848,0.278593,0.297383,3,3
1175,OsloMet,all,9,2264,Fysioterapeuter,0.024694,0.231533,0.254899,2,3
1175,OsloMet,all,10,2511,Systemanalytikere/-arkitekter,0.023652,0.633256,0.838163,5,5
1175,OsloMet,all,11,3412,Miljøarbeidere innen sosiale fagfelt,0.021278,0.402930,0.304279,3,3
1175,OsloMet,all,12,2310,Universitets- og høyskolelektorer/-lærere,0.021177,0.496858,0.510385,4,4
1175,OsloMet,all,13,5223,Butikkmedarbeidere,0.018012,0.351263,0.329793,3,3
1175,OsloMet,all,14,2519,Andre programvare- og applikasjonsutviklere,0.016388,0.754652,0.823038,5,5
1175,OsloMet,all,15,2142,Sivilingeniører (bygg og anlegg),0.016079,0.494505,0.522526,4,4
1175,OsloMet,recent,1,2341,Grunnskolelærere,0.099841,0.337763,0.288960,3,3
1175,OsloMet,recent,2,2223,Sykepleiere,0.086248,0.389938,0.284363,3,3
1175,OsloMet,recent,3,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.050586,0.597785,0.766679,5,5
1175,OsloMet,recent,4,2342,Førskolelærere,0.049677,0.235974,0.105222,2,2
1175,OsloMet,recent,5,2330,Lektorer mv. (videregående skole),0.048344,0.341880,0.306723,3,3
1175,OsloMet,recent,6,2221,Spesialsykepleiere,0.047345,0.373494,0.284363,3,3
1175,OsloMet,recent,7,2224,Vernepleiere,0.035935,0.363937,0.284363,3,3
1175,OsloMet,recent,8,2635,Rådgivere innen sosiale fagfelt,0.029912,0.278593,0.297383,3,3
