inst,inst_short,year,graduates_exact,students_autumn_exact
1150,NTNU,2019,7806,42450
1150,NTNU,2020,7960,42835
1150,NTNU,2021,8214,44727
1150,NTNU,2022,8508,43826
1150,NTNU,2023,8677,44328
1150,NTNU,2024,8847,44148
1150,NTNU,2025,9177,44049
1110,UiO,2019,4947,28028
1110,UiO,2020,5308,27566
1110,UiO,2021,5133,27107
1110,UiO,2022,5207,26574
1110,UiO,2023,4921,26602
1110,UiO,2024,4895,26994
1110,UiO,2025,5266,27909
1175,OsloMet,2019,4180,21129
1175,OsloMet,2020,4293,22030
1175,OsloMet,2021,4155,22332
1175,OsloMet,2022,4495,22140
1175,OsloMet,2023,4359,22984
1175,OsloMet,2024,4579,23344
1175,OsloMet,2025,4560,24358
8241,BI,2019,3331,19431
8241,BI,2020,3827,21287
8241,BI,2021,3823,21698
8241,BI,2022,4210,20499
8241,BI,2023,4198,20594
8241,BI,2024,3980,21357
8241,BI,2025,4398,22456
1120,UiB,2019,3223,18522
1120,UiB,2020,3152,19472
1120,UiB,2021,3430,20864
1120,UiB,2022,3516,19870
1120,UiB,2023,3672,20160
1120,UiB,2024,3619,20496
1120,UiB,2025,3743,20655
0238,HVL,2019,3447,16687
0238,HVL,2020,3300,16377
0238,HVL,2021,3120,17719
0238,HVL,2022,3256,17053
0238,HVL,2023,3491,16877
0238,HVL,2024,3183,17202
0238,HVL,2025,3381,17088
1176,USN,2019,3334,18253
1176,USN,2020,3283,18308
1176,USN,2021,3241,18429
1176,USN,2022,3396,17226
1176,USN,2023,3329,17452
1176,USN,2024,3331,17802
1176,USN,2025,3287,18877
8253,HK,2019,1558,9408
8253,HK,2020,1845,13688
8253,HK,2021,2310,16724
8253,HK,2022,2669,16339
8253,HK,2023,3031,15398
8253,HK,2024,3091,14594
8253,HK,2025,3122,15050
1130,UiT,2019,2841,16762
1130,UiT,2020,2864,17326
1130,UiT,2021,2872,17982
1130,UiT,2022,3132,17697
1130,UiT,2023,3122,16721
1130,UiT,2024,3197,16772
1130,UiT,2025,3004,16825
1171,UiA,2019,2540,13142
1171,UiA,2020,2706,13818
1171,UiA,2021,2532,14354
1171,UiA,2022,2782,14251
1171,UiA,2023,2762,14014
1171,UiA,2024,3069,14336
1171,UiA,2025,2952,14763
1160,UiS,2019,2533,11881
1160,UiS,2020,2650,12797
1160,UiS,2021,2610,12946
1160,UiS,2022,2615,12810
1160,UiS,2023,2609,12747
1160,UiS,2024,2785,13597
1160,UiS,2025,2766,13949
1177,INN,2025,2353,15257
1174,NU,2019,2125,11091
1174,NU,2020,2202,11462
1174,NU,2021,2160,11705
1174,NU,2022,2084,11281
1174,NU,2023,2179,11141
1174,NU,2024,2177,11377
1174,NU,2025,1997,11759
1173,NMBU,2019,1181,5684
1173,NMBU,2020,1229,6282
1173,NMBU,2021,1295,6786
1173,NMBU,2022,1274,6350
1173,NMBU,2023,1411,7700
1173,NMBU,2024,1571,8547
1173,NMBU,2025,1852,8963
1240,NHH,2019,1370,3667
1240,NHH,2020,1374,3582
1240,NHH,2021,1582,4043
1240,NHH,2022,1535,4156
1240,NHH,2023,1443,4173
1240,NHH,2024,1350,4323
1240,NHH,2025,1421,4500
0256,HiØ,2019,1224,7197
0256,HiØ,2020,1215,7274
0256,HiØ,2021,1263,7144
0256,HiØ,2022,1311,7110
0256,HiØ,2023,1240,7149
0256,HiØ,2024,1280,7120
0256,HiØ,2025,1256,7408
8208,VID,2019,944,4820
8208,VID,2020,1003,5292
8208,VID,2021,897,5591
8208,VID,2022,1033,5795
8208,VID,2023,1029,5710
8208,VID,2024,977,5843
8208,VID,2025,1068,5807
0236,HVO,2019,612,4499
0236,HVO,2020,602,4763
0236,HVO,2021,584,4699
0236,HVO,2022,555,4422
0236,HVO,2023,592,4263
0236,HVO,2024,604,4445
0236,HVO,2025,564,4378
1301,PHS,2019,708,2943
1301,PHS,2020,753,2241
1301,PHS,2021,542,2836
1301,PHS,2022,533,2854
1301,PHS,2023,380,3372
1301,PHS,2024,393,3123
1301,PHS,2025,501,3557
0232,HiM,2019,405,2501
0232,HiM,2020,481,2970
0232,HiM,2021,396,3566
0232,HiM,2022,504,3355
0232,HiM,2023,495,3771
0232,HiM,2024,510,3702
0232,HiM,2025,475,3801
1260,NIH,2019,392,1148
1260,NIH,2020,370,1135
1260,NIH,2021,423,1234
1260,NIH,2022,365,1539
1260,NIH,2023,413,1661
1260,NIH,2024,392,2226
1260,NIH,2025,471,2031
1407,ONH,2021,253,2351
1407,ONH,2022,197,2485
1407,ONH,2023,409,2926
1407,ONH,2024,459,3553
1407,ONH,2025,460,4174
8223,NLA,2019,373,2753
8223,NLA,2020,390,2615
8223,NLA,2021,356,2832
8223,NLA,2022,410,2811
8223,NLA,2023,426,2746
8223,NLA,2024,496,3004
8223,NLA,2025,424,3331
1303,FHS,2019,435,494
1303,FHS,2020,364,894
1303,FHS,2021,233,1094
1303,FHS,2022,275,544
1303,FHS,2023,386,877
1303,FHS,2024,334,797
1303,FHS,2025,326,1164
8202,LDH,2019,222,1001
8202,LDH,2020,249,1062
8202,LDH,2021,264,1187
8202,LDH,2022,278,1128
8202,LDH,2023,318,1147
8202,LDH,2024,266,1249
8202,LDH,2025,293,1386
8224,DMMH,2019,311,1470
8224,DMMH,2020,356,1441
8224,DMMH,2021,315,1489
8224,DMMH,2022,304,1347
8224,DMMH,2023,348,1109
8224,DMMH,2024,279,969
8224,DMMH,2025,286,839
6220,KHiO,2019,218,571
6220,KHiO,2020,208,573
6220,KHiO,2021,217,613
6220,KHiO,2022,220,611
6220,KHiO,2023,224,612
6220,KHiO,2024,199,611
6220,KHiO,2025,234,611
1210,NMH,2019,195,779
1210,NMH,2020,235,772
1210,NMH,2021,222,837
1210,NMH,2022,218,819
1210,NMH,2023,220,876
1210,NMH,2024,242,851
1210,NMH,2025,225,794
1302,KRUS,2019,256,376
1302,KRUS,2020,176,388
1302,KRUS,2021,115,415
1302,KRUS,2022,117,414
1302,KRUS,2023,189,411
1302,KRUS,2024,192,410
1302,KRUS,2025,193,431
8221,MF,2019,163,1373
8221,MF,2020,153,1286
8221,MF,2021,165,1252
8221,MF,2022,157,1134
8221,MF,2023,168,981
8221,MF,2024,127,1014
8221,MF,2025,179,955
1220,AHO,2019,126,726
1220,AHO,2020,137,798
1220,AHO,2021,117,809
1220,AHO,2022,133,829
1220,AHO,2023,125,844
1220,AHO,2024,145,888
1220,AHO,2025,141,892
1409,NOROFF,2020,51,576
1409,NOROFF,2021,71,652
1409,NOROFF,2022,89,649
1409,NOROFF,2023,114,675
1409,NOROFF,2024,97,743
1409,NOROFF,2025,120,710
8234,FIH,2019,83,355
8234,FIH,2020,96,443
8234,FIH,2021,100,430
8234,FIH,2022,54,377
8234,FIH,2023,92,374
8234,FIH,2024,101,355
8234,FIH,2025,84,331
1412,LIMPI,2019,49,48
1412,LIMPI,2020,47,49
1412,LIMPI,2021,47,49
1412,LIMPI,2022,47,51
1412,LIMPI,2023,51,51
1412,LIMPI,2024,51,64
1412,LIMPI,2025,64,71
8232,ATH,2019,46,330
8232,ATH,2020,58,362
8232,ATH,2021,71,338
8232,ATH,2022,84,332
8232,ATH,2023,78,335
8232,ATH,2024,62,379
8232,ATH,2025,64,398
