group,level,group_name,cohort,rank,styrk08,styrk08_name,share,quintile_v1,quintile_v2,automation_chat
301,3,Allmenne fag,all,1,9112,Renholdere i virksomheter,0.1105,1,1,0.46875
301,3,Allmenne fag,all,2,5321,Helsefagarbeidere,0.0853,1,2,0.1875
301,3,Allmenne fag,all,3,5223,Butikkmedarbeidere,0.0778,3,3,0.449861
301,3,Allmenne fag,all,4,5311,Barnehage- og skolefritidsassistenter mv.,0.069,2,3,0.572124
301,3,Allmenne fag,all,5,5329,Andre pleiemedarbeidere,0.0645,3,2,0.278788
301,3,Allmenne fag,all,6,4110,Kontormedarbeidere,0.0385,5,5,0.670689
301,3,Allmenne fag,all,7,9412,Kjøkkenassistenter,0.0305,1,1,0.228
301,3,Allmenne fag,all,8,8331,Bussjåfører og trikkeførere,0.0296,4,2,0.728593
301,3,Allmenne fag,all,9,4321,Lagermedarbeidere og material-forvaltere,0.0265,3,3,0.585239
301,3,Allmenne fag,all,10,8322,"Bil-, drosje- og varebilførere",0.0256,3,2,0.795414
316,3,Bildende kunst og kunsthåndverk,all,1,5223,Butikkmedarbeidere,0.201,3,3,0.449861
316,3,Bildende kunst og kunsthåndverk,all,2,5311,Barnehage- og skolefritidsassistenter mv.,0.1005,2,3,0.572124
316,3,Bildende kunst og kunsthåndverk,all,3,5329,Andre pleiemedarbeidere,0.0946,3,2,0.278788
316,3,Bildende kunst og kunsthåndverk,all,4,4110,Kontormedarbeidere,0.0917,5,5,0.670689
316,3,Bildende kunst og kunsthåndverk,all,5,5321,Helsefagarbeidere,0.0653,1,2,0.1875
316,3,Bildende kunst og kunsthåndverk,all,6,9112,Renholdere i virksomheter,0.0587,1,1,0.46875
316,3,Bildende kunst og kunsthåndverk,all,7,1420,Varehandelssjefer,0.044,4,5,0.431373
316,3,Bildende kunst og kunsthåndverk,all,8,5312,Skoleassistenter,0.0315,3,1,0.412884
316,3,Bildende kunst og kunsthåndverk,all,9,2422,Høyere saksbehandlere i offentlig og privat virksomhet,0.0286,5,5,0.450311
316,3,Bildende kunst og kunsthåndverk,all,10,3322,Selgere (engros),0.0249,5,5,0.398974
341,3,Økonomisk-administrative fag,all,1,4110,Kontormedarbeidere,0.0835,5,5,0.670689
341,3,Økonomisk-administrative fag,all,2,5223,Butikkmedarbeidere,0.0824,3,3,0.449861
