group,level,group_name,rank,task_id,task,onet_soc,styrk08,styrk08_name,weight_share,eloundou_label,eloundou_beta,chat_usage_pct,chat_n_classified,chat_automation_share,api_automation_share
301,3,Allmenne fag,1,9544,Notify managers concerning the need for major repairs or additions to building operating systems.,37-2011.00,9112,Renholdere i virksomheter,0.0043,E0,0.0,,,,
301,3,Allmenne fag,2,9539,Gather and empty trash.,37-2011.00,9112,Renholdere i virksomheter,0.0043,E0,0.0,,,,
301,3,Allmenne fag,3,9538,"Service, clean, or supply restrooms.",37-2011.00,9112,Renholdere i virksomheter,0.0042,E0,0.0,,,,
301,3,Allmenne fag,4,20578,Listen and provide emotional support and encouragement to psychiatric patients.,31-1133.00,5321,Helsefagarbeidere,0.0035,E0,0.0,0.0071,34,0.0,
301,3,Allmenne fag,5,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0034,E2,0.5,0.0243,223,0.4305,0.8399
301,3,Allmenne fag,6,18696,Complete physical checks and monitor patients to detect unusual or harmful behavior and report observations to professional staff.,31-1133.00,5321,Helsefagarbeidere,0.0032,E0,0.0,,,,
301,3,Allmenne fag,7,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0031,E2,0.5,,,,
301,3,Allmenne fag,8,2005,Maintain patients' restrictions to assigned areas.,31-1133.00,5321,Helsefagarbeidere,0.003,E0,0.0,,,,
301,3,Allmenne fag,9,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0029,E2,0.5,,,,
301,3,Allmenne fag,10,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0028,E0,0.0,,,,1.0
316,3,Bildende kunst og kunsthåndverk,1,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0072,E0,0.0,,,,1.0
316,3,Bildende kunst og kunsthåndverk,2,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.007,E0,0.0,0.0078,66,0.2727,0.8148
316,3,Bildende kunst og kunsthåndverk,3,700,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",41-2031.00,5223,Butikkmedarbeidere,0.0069,E2,0.5,0.1157,1153,0.4605,0.9403
316,3,Bildende kunst og kunsthåndverk,4,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0049,E2,0.5,0.0243,223,0.4305,0.8399
316,3,Bildende kunst og kunsthåndverk,5,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0044,E2,0.5,,,,
316,3,Bildende kunst og kunsthåndverk,6,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0042,E2,0.5,,,,
316,3,Bildende kunst og kunsthåndverk,7,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0041,E0,0.0,0.023,221,0.5068,1.0
316,3,Bildende kunst og kunsthåndverk,8,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0038,E2,0.5,0.0103,60,0.5333,1.0
316,3,Bildende kunst og kunsthåndverk,9,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0037,E2,0.5,0.0109,24,1.0,1.0
316,3,Bildende kunst og kunsthåndverk,10,20578,Listen and provide emotional support and encouragement to psychiatric patients.,31-1133.00,5321,Helsefagarbeidere,0.0026,E0,0.0,0.0071,34,0.0,
341,3,Økonomisk-administrative fag,1,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0062,E2,0.5,0.0243,223,0.4305,0.8399
341,3,Økonomisk-administrative fag,2,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0055,E2,0.5,,,,
341,3,Økonomisk-administrative fag,3,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0052,E2,0.5,,,,
341,3,Økonomisk-administrative fag,4,830,"Operate office machines, such as photocopiers and scanners, facsimile machines, voice mail systems, and personal computers.",43-9061.00,4110,Kontormedarbeidere,0.0037,E0,0.0,0.023,221,0.5068,1.0
341,3,Økonomisk-administrative fag,5,2487,"Operate computers programmed with accounting software to record, store, and analyze information.",43-3031.00,3313,Regnskapsførere,0.0035,E1,1.0,0.0095,68,0.5441,1.0
341,3,Økonomisk-administrative fag,6,826,"Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",43-9061.00,4110,Kontormedarbeidere,0.0034,E2,0.5,0.0103,60,0.5333,1.0
341,3,Økonomisk-administrative fag,7,2486,"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",43-3031.00,3313,Regnskapsførere,0.0034,E1,1.0,,,,
341,3,Økonomisk-administrative fag,8,827,"Answer telephones, direct calls, and take messages.",43-9061.00,4110,Kontormedarbeidere,0.0033,E2,0.5,0.0109,24,1.0,1.0
341,3,Økonomisk-administrative fag,9,2495,"Operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents.",43-3031.00,3313,Regnskapsførere,0.0032,E1,1.0,,,,
341,3,Økonomisk-administrative fag,10,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0029,E0,0.0,,,,1.0
342,3,Handel og markedsføring,1,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",11-1021.00,1420,Varehandelssjefer,0.0131,E2,0.5,0.0243,223,0.4305,0.8399
342,3,Handel og markedsføring,2,20705,"Perform personnel functions, such as selection, training, or evaluation.",11-1021.00,1420,Varehandelssjefer,0.0117,E2,0.5,,,,
342,3,Handel og markedsføring,3,20700,Direct administrative activities directly related to making products or providing services.,11-1021.00,1420,Varehandelssjefer,0.0111,E2,0.5,,,,
342,3,Handel og markedsføring,4,694,Greet customers and ascertain what each customer wants or needs.,41-2031.00,5223,Butikkmedarbeidere,0.0056,E0,0.0,,,,1.0
342,3,Handel og markedsføring,5,2430,Receive payment or obtain credit authorization.,41-2022.00,5223,Butikkmedarbeidere,0.0054,E0,0.0,0.0078,66,0.2727,0.8148
342,3,Handel og markedsføring,6,700,"Recommend, select, and help locate or obtain merchandise based on customer needs and desires.",41-2031.00,5223,Butikkmedarbeidere,0.0053,E2,0.5,0.1157,1153,0.4605,0.9403
