inst,inst_short,inst_name,year,prog,prog_name,nus,nus_name,niva,niva_name,level,field,studium,graduates,students_autumn,profile_source,register_population,exposure_w,share_employed,share_i_utdanning,handa_augmentation_w,handa_automation_w,exposure_w_recent,share_top5_v1,exposure2_w,share_top5_v2,top_occupations,share_q1_v1,share_q1_v2,share_q2_v1,share_q2_v2,share_q3_v1,share_q3_v2,share_q4_v1,share_q4_v2,share_q5_v1,share_q5_v2
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,40,Bachelor i sykepleie,661120,"Bachelor, sykepleie, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Helse-, sosial- og idrettsfag",Sykepleierutdanning,82.000000,338.000000,nus6,57246,0.395943,0.911068,0.012507,0.719578,0.259458,0.390637,0.050132,0.315253,0.057063,Sykepleiere (76%); Spesialsykepleiere (5%); Ledere av helsetjenester (3%); Høyere saksbehandlere i offentlig og privat virksomhet (2%); Ambulansepersonell (1%),0.008769,0.014246,0.021806,0.017323,0.857431,0.855055,0.061862,0.056313,0.050132,0.057063
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,449,Bachelor i IT og digitalisering,654121,"Bachelor, informatikk, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Naturvitenskap, håndverk og teknikk",Matematisk-naturvitenskapelige fag,35.000000,111.000000,nus6,5344,0.616145,0.840007,0.070172,0.728059,0.254845,0.654897,0.787196,0.695419,0.800491,"Systemanalytikere/-arkitekter (24%); Andre programvare- og applikasjonsutviklere (16%); Driftsteknikere, IKT (11%); Programvareutviklere (8%); Høyere saksbehandlere i offentlig og privat virksomhet (5%)",0.013384,0.029681,0.018068,0.021647,0.092126,0.073644,0.089226,0.074537,0.787196,0.800491
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,07,Bachelor i økonomi og administrasjon,641141,"Bachelor, økonomi og administrasjon, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Økonomiske og administrative fag,Økonomisk-administrativ utdanning,32.000000,197.000000,nus6,24271,0.584548,0.870627,0.064439,0.627472,0.335737,0.607505,0.630926,0.642138,0.756847,"Regnskapsførere (12%); Regnskapsmedarbeidere (8%); Kundebehandlere lån og kreditt (8%); Høyere saksbehandlere i offentlig og privat virksomhet (6%); Revisorer, regnskapsrådgivere (5%)",0.021540,0.018448,0.018164,0.029907,0.079835,0.073792,0.249536,0.121006,0.630926,0.756847
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,432,Bachelor i marin logistikk og økonomi,641163,"Bachelor of Shipping Management, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Økonomiske og administrative fag,Økonomisk-administrativ utdanning,30.000000,106.000000,nus4 (small cell),100020,0.554406,0.863287,0.038172,0.639591,0.323573,0.589020,0.527443,0.621729,0.719875,"Regnskapsførere (9%); Høyere saksbehandlere i offentlig og privat virksomhet (7%); Revisorer, regnskapsrådgivere (6%); Regnskapsmedarbeidere (5%); Kundebehandlere lån og kreditt (5%)",0.022654,0.019320,0.020295,0.032479,0.088932,0.081975,0.340676,0.146351,0.527443,0.719875
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,61,"Bachelor i vernepleie, deltid",661305,"Bachelor, vernepleie, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Helse-, sosial- og idrettsfag",Vernepleierutdanning,29.000000,146.000000,nus6,14137,0.366710,0.898988,0.006932,0.721110,0.256770,0.360892,0.049193,0.316542,0.062057,Vernepleiere (71%); Miljøarbeidere innen sosiale fagfelt (3%); Høyere saksbehandlere i offentlig og privat virksomhet (3%); Ledere av helsetjenester (3%); Rådgivere innen sosiale fagfelt (3%),0.031641,0.007403,0.032428,0.043865,0.813144,0.820680,0.073593,0.065995,0.049193,0.062057
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,03,Bachelor i logistikk og SCM,681908,"Bachelor, transportøkonomi og logistikk, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Samferdsel, sikkerhet og service",Økonomisk-administrativ utdanning,27.000000,187.000000,nus6,339,0.508270,0.896755,0.023599,0.591032,0.331864,0.538292,0.418605,0.572144,0.621262,Innkjøpere (12%); Logistikkmedarbeidere (12%); Lagermedarbeidere og material-forvaltere (8%); Speditører og befraktere (7%); Ledere av logistikk og transport mv. (7%),0.019934,0.019934,0.000000,0.009967,0.179402,0.136213,0.382060,0.212625,0.418605,0.621262
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,60,Bachelor i vernepleie,661305,"Bachelor, vernepleie, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Helse-, sosial- og idrettsfag",Vernepleierutdanning,27.000000,117.000000,nus6,14137,0.366710,0.898988,0.006932,0.721110,0.256770,0.360892,0.049193,0.316542,0.062057,Vernepleiere (71%); Miljøarbeidere innen sosiale fagfelt (3%); Høyere saksbehandlere i offentlig og privat virksomhet (3%); Ledere av helsetjenester (3%); Rådgivere innen sosiale fagfelt (3%),0.031641,0.007403,0.032428,0.043865,0.813144,0.820680,0.073593,0.065995,0.049193,0.062057
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,80,Master of Science in Logistics,781905,"Master of Science, logistics, toårig",M2,"Master, 2-årig",Master-nivå,"Samferdsel, sikkerhet og service",Økonomisk-administrativ utdanning,23.000000,96.000000,nus6,340,0.552061,0.923529,0.014706,0.596593,0.319804,0.574070,0.466019,0.643042,0.721683,Innkjøpere (14%); Logistikkmedarbeidere (12%); Finansanalytikere (10%); Høyere saksbehandlere i offentlig og privat virksomhet (7%); Ledere av logistikk og transport mv. (6%),0.019417,0.019417,0.000000,0.000000,0.042071,0.032362,0.472492,0.226537,0.466019,0.721683
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,BRETTSV,Bachelor i rettsvitenskap,637106,"Bachelor, rettsvitenskap, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,Samfunnsfag og juridiske fag,Juridiske fag,23.000000,119.000000,nus6,428,0.472865,0.612150,0.296729,0.618000,0.350194,0.536155,0.480916,0.541434,0.591603,Høyere saksbehandlere i offentlig og privat virksomhet (19%); Butikkmedarbeidere (14%); Kontormedarbeidere (10%); Saksbehandlere innen sosiale ytelser (7%); Jurister og advokater (6%),0.034351,0.041985,0.045802,0.095420,0.236641,0.179389,0.202290,0.091603,0.480916,0.591603
0232,HiM,"Høgskolen i Molde, vitenskapelig høgskole i logistikk",2025,41,"Bachelor i sykepleie, deltid over 4 år",661120,"Bachelor, sykepleie, treårig",B3,"Bachelor, 3-årig",Bachelor-nivå,"Helse-, sosial- og idrettsfag",Sykepleierutdanning,22.000000,0.000000,nus6,57246,0.395943,0.911068,0.012507,0.719578,0.259458,0.390637,0.050132,0.315253,0.057063,Sykepleiere (76%); Spesialsykepleiere (5%); Ledere av helsetjenester (3%); Høyere saksbehandlere i offentlig og privat virksomhet (2%); Ambulansepersonell (1%),0.008769,0.014246,0.021806,0.017323,0.857431,0.855055,0.061862,0.056313,0.050132,0.057063
