date,value
2021-01,4.4
2021-02,4.3
2021-03,4.3
2021-04,4
2021-05,3.4
2021-06,2.9
2021-07,3.1
2021-08,2.7
2021-09,2.4
2021-10,2.3
2021-11,2.1
2021-12,2.2
2022-01,2.6
2022-02,2.2
2022-03,2
2022-04,1.8
2022-05,1.6
2022-06,1.6
2022-07,1.7
2022-08,1.6
2022-09,1.6
2022-10,1.6
2022-11,1.6
2022-12,1.6
2023-01,1.9
2023-02,1.9
2023-03,1.8
2023-04,1.8
2023-05,1.7
2023-06,1.7
2023-07,1.8
2023-08,1.9
2023-09,1.8
2023-10,1.8
2023-11,1.8
2023-12,1.9
2024-01,2.1
2024-02,2.1
2024-03,2
2024-04,2
2024-05,1.9
2024-06,1.9
2024-07,2.1
2024-08,2
2024-09,2
2024-10,1.9
2024-11,2
2024-12,2
2025-01,2.3
2025-02,2.2
2025-03,2.1
2025-04,2
2025-05,2
2025-06,2
2025-07,2.2
2025-08,2.2
2025-09,2.1
2025-10,2
2025-11,2.1
2025-12,2.1
2026-01,2.3
2026-02,2.2
2026-03,2.2
