date,value
2021-01,5.1
2021-02,5.4
2021-03,4.3
2021-04,5.1
2021-05,5.5
2021-06,4.5
2021-07,5.0
2021-08,4.0
2021-09,3.7
2021-10,3.6
2021-11,4.0
2021-12,3.3
2022-01,3.2
2022-02,3.5
2022-03,3.0
2022-04,2.6
2022-05,3.8
2022-06,3.1
2022-07,2.9
2022-08,3.4
2022-09,3.4
2022-10,3.1
2022-11,3.3
2022-12,3.5
2023-01,3.6
2023-02,3.9
2023-03,3.6
2023-04,3.4
2023-05,3.1
2023-06,3.4
2023-07,3.7
2023-08,3.6
2023-09,3.5
2023-10,3.7
2023-11,3.9
2023-12,3.7
2024-01,4.5
2024-02,3.6
2024-03,3.9
2024-04,4.3
2024-05,4.0
2024-06,4.0
2024-07,3.9
2024-08,4.0
2024-09,4.0
2024-10,4.1
2024-11,3.8
2024-12,4.3
2025-01,3.8
2025-02,4.1
2025-03,4.5
2025-04,4.4
2025-05,4.6
2025-06,5.4
2025-07,4.4
2025-08,4.9
2025-09,4.7
2025-10,4.4
2025-11,4.6
2025-12,4.3
