month,private_all_ages,private_25_39,private_40_54,private_55_66,private_67p,private_under25,private_25_66_sum
2021M01,1705502,592454,552627,285514,34056,240851,1430595
2021M02,1696452,590315,552791,286707,34085,232554,1429813
2021M03,1704249,592185,554227,288272,35021,234544,1434684
2021M04,1702486,590809,553347,288968,35476,233886,1433124
2021M05,1716411,594806,555705,291457,36616,237827,1441968
2021M06,1766334,607374,561874,295127,38903,263056,1464375
2021M07,1808584,612713,562664,294643,37273,301291,1470020
2021M08,1813500,616965,565687,296530,37098,297220,1479182
2021M09,1811336,623781,571491,299974,38790,277300,1495246
2021M10,1814618,626661,574563,302332,40032,271030,1503556
2021M11,1826112,630426,576651,304195,41013,273827,1511272
2021M12,1843091,632163,577757,307031,44967,281173,1516951
2022M01,1790277,619832,567394,300176,37607,265268,1487402
2022M02,1796650,624126,570876,302693,38012,260943,1497695
2022M03,1816816,629869,575431,305772,39156,266588,1511072
2022M04,1833153,633623,578421,308076,40217,272816,1520120
2022M05,1852313,638562,581617,310354,41309,280471,1530533
2022M06,1891504,647264,586213,313419,43624,300984,1546896
2022M07,1911472,646567,583325,311137,41420,329023,1541029
2022M08,1905780,647541,583391,312147,40909,321792,1543079
2022M09,1893521,651059,586490,314169,42299,299504,1551718
2022M10,1886905,650803,587462,315649,43173,289818,1553914
2022M11,1888643,651484,587694,316788,43982,288695,1555966
2022M12,1902474,652451,588703,319806,47919,293595,1560960
2023M01,1851520,639523,577745,313050,40955,280247,1530318
2023M02,1855870,642319,580704,315618,41298,275931,1538641
2023M03,1862224,643383,581836,317119,42267,277619,1542338
2023M04,1865465,643531,581581,318126,42737,279490,1543238
2023M05,1879120,645917,583378,319897,44067,285861,1549192
2023M06,1916576,653780,587684,323510,46773,304829,1564974
2023M07,1932312,651898,583935,321328,44466,330685,1557161
2023M08,1924031,651815,583628,321903,43987,322698,1557346
2023M09,1907172,652405,585373,323794,45439,300161,1561572
2023M10,1896772,650252,585538,324898,46203,289881,1560688
2023M11,1897547,650340,585495,326068,47105,288539,1561903
2023M12,1907620,650064,585043,328531,50670,293312,1563638
2024M01,1861901,638438,575336,322336,43940,281851,1536110
2024M02,1862836,639855,577033,324372,44108,277468,1541260
2024M03,1867771,639875,577620,325705,45031,279540,1543200
2024M04,1875691,641427,578478,327278,46152,282356,1547183
2024M05,1887837,644066,580497,329235,47512,286527,1553798
2024M06,1920551,650496,584015,331912,49853,304275,1566423
2024M07,1940405,650320,581942,330480,47618,330045,1562742
2024M08,1933624,650462,582322,331310,46929,322601,1564094
2024M09,1912881,650094,582683,332196,48172,299736,1564973
2024M10,1909573,651262,583296,333787,49206,292022,1568345
2024M11,1905944,649628,581971,334342,50038,289965,1565941
2024M12,1911389,647348,580944,336017,53628,293452,1564309
2025M01,1872946,638439,572871,330814,46823,283999,1542124
2025M02,1874750,640116,574718,332550,47278,280088,1547384
2025M03,1880595,641080,575963,333763,48007,281782,1550806
2025M04,1889730,642268,577385,335432,49009,285636,1555085
2025M05,1905391,645248,579894,337209,50451,292589,1562351
2025M06,1936160,651461,583148,339699,52765,309087,1574308
2025M07,1954569,651700,581217,338295,50295,333062,1571212
2025M08,1942325,650827,580405,338492,49628,322973,1569724
2025M09,1926438,651078,582404,340059,50964,301933,1573541
2025M10,1921793,650666,583355,341169,52063,294540,1575190
2025M11,1916789,648471,582132,341260,52712,292214,1571863
2025M12,1925184,647087,581401,343005,56351,297340,1571493
2026M01,1886898,638606,573624,337780,49515,287373,1550010
2026M02,1885519,638478,574372,339233,49679,283757,1552083
