month,employees_total,employees_total_sa
2021M01,2576025,2618327
2021M02,2569737,2604005
2021M03,2576980,2607715
2021M04,2578461,2601891
2021M05,2592831,2604782
2021M06,2648438,2622903
2021M07,2699322,2654801
2021M08,2700987,2667095
2021M09,2701112,2685513
2021M10,2701845,2697675
2021M11,2713136,2709057
2021M12,2735238,2716469
2022M01,2673016,2716844
2022M02,2682970,2719582
2022M03,2701360,2734594
2022M04,2718750,2744310
2022M05,2737731,2750363
2022M06,2782224,2753793
2022M07,2807340,2759398
2022M08,2798385,2763459
2022M09,2791179,2775465
2022M10,2781113,2777185
2022M11,2784508,2780738
2022M12,2803903,2785638
2023M01,2739766,2783808
2023M02,2752462,2789743
2023M03,2758035,2791155
2023M04,2763888,2789228
2023M05,2777890,2790390
2023M06,2823042,2794375
2023M07,2843079,2794867
2023M08,2827488,2793940
2023M09,2812134,2797520
2023M10,2802850,2799132
2023M11,2807315,2803992
2023M12,2823610,2806526
2024M01,2766852,2809225
2024M02,2770892,2807601
2024M03,2776930,2809052
2024M04,2786457,2810960
2024M05,2798432,2810369
2024M06,2839597,2811299
2024M07,2861794,2813224
2024M08,2849968,2817181
2024M09,2827555,2814046
2024M10,2823841,2820258
2024M11,2824370,2821666
2024M12,2832588,2817160
2025M01,2784069,2825190
2025M02,2791555,2828174
2025M03,2796340,2827864
2025M04,2806502,2830605
2025M05,2821629,2833059
2025M06,2860050,2831849
2025M07,2882095,2832715
2025M08,2863018,2830361
2025M09,2845100,2832155
2025M10,2840470,2836916
2025M11,2839036,2836921
2025M12,2850479,2836302
2026M01,2803267,2843601
2026M02,2804307,2841287
