date,age,population
2019-Q1,0,55320
2019-Q1,1,57356
2019-Q1,2,60036
2019-Q1,3,60598
2019-Q1,4,60948
2019-Q1,5,61253
2019-Q1,6,62872
2019-Q1,7,63575
2019-Q1,8,65299
2019-Q1,9,66454
2019-Q1,10,65779
2019-Q1,11,64294
2019-Q1,12,64347
2019-Q1,13,63065
2019-Q1,14,63153
2019-Q1,15,62742
2019-Q1,16,61894
2019-Q1,17,63032
2019-Q1,18,66008
2019-Q1,19,66587
2019-Q1,20,65983
2019-Q1,21,67268
2019-Q1,22,69029
2019-Q1,23,69184
2019-Q1,24,69716
2019-Q1,25,70804
2019-Q1,26,72859
2019-Q1,27,74773
2019-Q1,28,76414
2019-Q1,29,76305
2019-Q1,30,75867
2019-Q1,31,73695
2019-Q1,32,73087
2019-Q1,33,72118
2019-Q1,34,71371
2019-Q1,35,70964
2019-Q1,36,71373
2019-Q1,37,69980
2019-Q1,38,70675
2019-Q1,39,69901
2019-Q1,40,69346
2019-Q1,41,67629
2019-Q1,42,68857
2019-Q1,43,70651
2019-Q1,44,73388
2019-Q1,45,73844
2019-Q1,46,75972
2019-Q1,47,76251
2019-Q1,48,75479
2019-Q1,49,76595
2019-Q1,50,76066
2019-Q1,51,74174
2019-Q1,52,73408
2019-Q1,53,72245
2019-Q1,54,70892
2019-Q1,55,68085
2019-Q1,56,66161
2019-Q1,57,64809
2019-Q1,58,63853
2019-Q1,59,63574
2019-Q1,60,62911
2019-Q1,61,61379
2019-Q1,62,61570
2019-Q1,63,59970
2019-Q1,64,58352
2019-Q1,65,57221
2019-Q1,66,56083
2019-Q1,67,53340
2019-Q1,68,53405
2019-Q1,69,53240
2019-Q1,70,53269
2019-Q1,71,53721
2019-Q1,72,54690
2019-Q1,73,48925
2019-Q1,74,45648
2019-Q1,75,40105
2019-Q1,76,36003
2019-Q1,77,30803
2019-Q1,78,30194
2019-Q1,79,28496
2019-Q1,80,26291
2019-Q1,81,23918
2019-Q1,82,21789
2019-Q1,83,19648
2019-Q1,84,18131
2019-Q1,85,16743
2019-Q1,86,16145
2019-Q1,87,14628
2019-Q1,88,13195
2019-Q1,89,11103
2019-Q1,90,9627
2019-Q1,91,8085
2019-Q1,92,6869
2019-Q1,93,5543
2019-Q1,94,4411
2019-Q1,95,3250
2019-Q1,96,2438
2019-Q1,97,1753
2019-Q1,98,1233
2019-Q1,99,707
2019-Q1,100,441
2019-Q1,101,286
2019-Q1,102,137
2019-Q1,103,98
2019-Q1,104,54
2019-Q1,105,69
2019-Q2,0,55181
2019-Q2,1,56977
2019-Q2,2,59428
2019-Q2,3,60577
2019-Q2,4,60912
2019-Q2,5,61209
2019-Q2,6,62454
2019-Q2,7,63484
2019-Q2,8,64899
2019-Q2,9,66234
2019-Q2,10,66075
2019-Q2,11,64750
2019-Q2,12,64335
2019-Q2,13,63509
2019-Q2,14,63133
2019-Q2,15,62930
2019-Q2,16,62212
2019-Q2,17,62755
2019-Q2,18,65316
2019-Q2,19,66587
2019-Q2,20,66217
2019-Q2,21,66956
2019-Q2,22,68687
2019-Q2,23,69400
2019-Q2,24,69821
2019-Q2,25,70818
2019-Q2,26,72632
2019-Q2,27,74649
2019-Q2,28,76307
2019-Q2,29,76684
2019-Q2,30,76230
2019-Q2,31,74530
2019-Q2,32,73362
2019-Q2,33,72585
2019-Q2,34,71713
2019-Q2,35,71196
2019-Q2,36,71391
2019-Q2,37,70498
2019-Q2,38,70531
2019-Q2,39,70244
2019-Q2,40,69539
2019-Q2,41,68157
2019-Q2,42,68522
2019-Q2,43,70265
2019-Q2,44,72724
2019-Q2,45,73866
2019-Q2,46,75429
2019-Q2,47,76299
2019-Q2,48,75726
2019-Q2,49,76258
2019-Q2,50,76284
2019-Q2,51,74676
2019-Q2,52,73529
2019-Q2,53,72544
2019-Q2,54,71204
2019-Q2,55,68792
2019-Q2,56,66557
2019-Q2,57,65068
2019-Q2,58,64027
2019-Q2,59,63565
2019-Q2,60,63022
2019-Q2,61,61704
2019-Q2,62,61364
2019-Q2,63,60321
2019-Q2,64,58628
2019-Q2,65,57368
2019-Q2,66,56244
2019-Q2,67,53928
2019-Q2,68,53151
2019-Q2,69,53158
2019-Q2,70,53073
2019-Q2,71,53416
2019-Q2,72,54221
2019-Q2,73,50357
2019-Q2,74,46088
2019-Q2,75,41328
2019-Q2,76,36722
2019-Q2,77,31904
2019-Q2,78,29956
2019-Q2,79,28732
2019-Q2,80,26570
2019-Q2,81,24243
2019-Q2,82,22028
2019-Q2,83,19884
2019-Q2,84,18163
2019-Q2,85,16761
2019-Q2,86,15934
2019-Q2,87,14671
2019-Q2,88,13163
2019-Q2,89,11271
2019-Q2,90,9616
2019-Q2,91,8106
2019-Q2,92,6821
2019-Q2,93,5570
2019-Q2,94,4399
2019-Q2,95,3302
2019-Q2,96,2438
2019-Q2,97,1747
2019-Q2,98,1226
2019-Q2,99,747
2019-Q2,100,442
2019-Q2,101,281
2019-Q2,102,150
2019-Q2,103,94
2019-Q2,104,57
2019-Q2,105,70
2019-Q3,0,55039
2019-Q3,1,56589
2019-Q3,2,58807
2019-Q3,3,60555
2019-Q3,4,60875
2019-Q3,5,61164
2019-Q3,6,62027
2019-Q3,7,63390
2019-Q3,8,64490
2019-Q3,9,66009
2019-Q3,10,66378
2019-Q3,11,65217
2019-Q3,12,64324
2019-Q3,13,63964
2019-Q3,14,63112
2019-Q3,15,63122
2019-Q3,16,62537
2019-Q3,17,62472
2019-Q3,18,64609
2019-Q3,19,66586
2019-Q3,20,66456
2019-Q3,21,66638
2019-Q3,22,68338
2019-Q3,23,69621
2019-Q3,24,69927
2019-Q3,25,70832
2019-Q3,26,72400
2019-Q3,27,74522
2019-Q3,28,76197
2019-Q3,29,77071
2019-Q3,30,76601
2019-Q3,31,75383
2019-Q3,32,73642
2019-Q3,33,73062
2019-Q3,34,72063
2019-Q3,35,71433
2019-Q3,36,71410
2019-Q3,37,71027
2019-Q3,38,70384
2019-Q3,39,70595
2019-Q3,40,69737
2019-Q3,41,68696
2019-Q3,42,68179
2019-Q3,43,69870
2019-Q3,44,72045
2019-Q3,45,73889
2019-Q3,46,74875
2019-Q3,47,76348
2019-Q3,48,75979
2019-Q3,49,75914
2019-Q3,50,76508
2019-Q3,51,75188
2019-Q3,52,73653
2019-Q3,53,72849
2019-Q3,54,71523
2019-Q3,55,69516
2019-Q3,56,66962
2019-Q3,57,65334
2019-Q3,58,64205
2019-Q3,59,63556
2019-Q3,60,63136
2019-Q3,61,62036
2019-Q3,62,61154
2019-Q3,63,60680
2019-Q3,64,58911
2019-Q3,65,57518
2019-Q3,66,56409
2019-Q3,67,54528
2019-Q3,68,52892
2019-Q3,69,53074
2019-Q3,70,52872
2019-Q3,71,53104
2019-Q3,72,53742
2019-Q3,73,51821
2019-Q3,74,46538
2019-Q3,75,42579
2019-Q3,76,37457
2019-Q3,77,33030
2019-Q3,78,29713
2019-Q3,79,28973
2019-Q3,80,26855
2019-Q3,81,24576
2019-Q3,82,22272
2019-Q3,83,20125
2019-Q3,84,18196
2019-Q3,85,16780
2019-Q3,86,15719
2019-Q3,87,14715
2019-Q3,88,13130
2019-Q3,89,11442
2019-Q3,90,9604
2019-Q3,91,8128
2019-Q3,92,6771
2019-Q3,93,5597
2019-Q3,94,4387
2019-Q3,95,3355
2019-Q3,96,2437
2019-Q3,97,1742
2019-Q3,98,1219
2019-Q3,99,788
2019-Q3,100,443
2019-Q3,101,277
2019-Q3,102,163
2019-Q3,103,91
2019-Q3,104,59
2019-Q3,105,71
2019-Q4,0,54897
2019-Q4,1,56202
2019-Q4,2,58185
2019-Q4,3,60533
2019-Q4,4,60839
2019-Q4,5,61118
2019-Q4,6,61601
2019-Q4,7,63297
2019-Q4,8,64081
2019-Q4,9,65785
2019-Q4,10,66682
2019-Q4,11,65683
2019-Q4,12,64312
2019-Q4,13,64418
2019-Q4,14,63092
2019-Q4,15,63314
2019-Q4,16,62863
2019-Q4,17,62189
2019-Q4,18,63903
2019-Q4,19,66584
2019-Q4,20,66696
2019-Q4,21,66320
2019-Q4,22,67988
2019-Q4,23,69841
2019-Q4,24,70034
2019-Q4,25,70846
2019-Q4,26,72168
2019-Q4,27,74395
2019-Q4,28,76088
2019-Q4,29,77459
2019-Q4,30,76972
2019-Q4,31,76237
2019-Q4,32,73923
2019-Q4,33,73539
2019-Q4,34,72413
2019-Q4,35,71670
2019-Q4,36,71428
2019-Q4,37,71557
2019-Q4,38,70238
2019-Q4,39,70946
2019-Q4,40,69934
2019-Q4,41,69236
2019-Q4,42,67836
2019-Q4,43,69474
2019-Q4,44,71367
2019-Q4,45,73911
2019-Q4,46,74320
2019-Q4,47,76397
2019-Q4,48,76231
2019-Q4,49,75569
2019-Q4,50,76732
2019-Q4,51,75700
2019-Q4,52,73777
2019-Q4,53,73154
2019-Q4,54,71842
2019-Q4,55,70239
2019-Q4,56,67367
2019-Q4,57,65599
2019-Q4,58,64383
