date,value
2021-01,112371
2021-02,111788
2021-03,113419
2021-04,111299
2021-05,100167
2021-06,85780
2021-07,84664
2021-08,75285
2021-09,70460
2021-10,67007
2021-11,62660
2021-12,62571
2022-01,66993
2022-02,59512
2022-03,55382
2022-04,52878
2022-05,50271
2022-06,49800
2022-07,47099
2022-08,47758
2022-09,47975
2022-10,48007
2022-11,48132
2022-12,48740
2023-01,49968
2023-02,50490
2023-03,50762
2023-04,52408
2023-05,52130
2023-06,52485
2023-07,53142
2023-08,54451
2023-09,54535
2023-10,55315
2023-11,55759
2023-12,56506
2024-01,56955
2024-02,57833
2024-03,58088
2024-04,57708
2024-05,60121
2024-06,60288
2024-07,61152
2024-08,60675
2024-09,61071
2024-10,61140
2024-11,61604
2024-12,61762
2025-01,61583
2025-02,61321
2025-03,61474
2025-04,61208
2025-05,63420
2025-06,64090
2025-07,63392
2025-08,64306
2025-09,64113
2025-10,64438
2025-11,64709
2025-12,63645
