observation_date,Age Group,Share,Usage Group
2022-11-01,Early Career 1 (22-25),0.44349999999999995,No usage
2022-11-01,Early Career 2 (26-30),0.6105,No usage
2022-11-01,Developing (31-34),0.5033,No usage
2022-11-01,Mid-Career 1 (35-40),0.6828,No usage
2022-11-01,Mid-Career 2 (41-49),0.9737000000000001,No usage
2022-11-01,Senior (50+),1.6480000000000001,No usage
2022-11-01,Early Career 1 (22-25),0.4738,Quintile 1 (least usage)
2022-11-01,Early Career 2 (26-30),0.7522,Quintile 1 (least usage)
2022-11-01,Developing (31-34),0.6542,Quintile 1 (least usage)
2022-11-01,Mid-Career 1 (35-40),0.914,Quintile 1 (least usage)
2022-11-01,Mid-Career 2 (41-49),1.309,Quintile 1 (least usage)
2022-11-01,Senior (50+),2.1270000000000002,Quintile 1 (least usage)
2022-11-01,Early Career 1 (22-25),2.352,Quintile 2
2022-11-01,Early Career 2 (26-30),3.75,Quintile 2
2022-11-01,Developing (31-34),3.044,Quintile 2
2022-11-01,Mid-Career 1 (35-40),4.051,Quintile 2
2022-11-01,Mid-Career 2 (41-49),5.43,Quintile 2
2022-11-01,Senior (50+),9.01,Quintile 2
2022-11-01,Early Career 1 (22-25),2.334,Quintile 3
2022-11-01,Early Career 2 (26-30),4.315,Quintile 3
2022-11-01,Developing (31-34),3.816,Quintile 3
2022-11-01,Mid-Career 1 (35-40),5.369,Quintile 3
2022-11-01,Mid-Career 2 (41-49),7.193,Quintile 3
2022-11-01,Senior (50+),11.15,Quintile 3
2022-11-01,Early Career 1 (22-25),1.091,Quintile 4
2022-11-01,Early Career 2 (26-30),1.825,Quintile 4
2022-11-01,Developing (31-34),1.493,Quintile 4
2022-11-01,Mid-Career 1 (35-40),1.9789999999999999,Quintile 4
2022-11-01,Mid-Career 2 (41-49),2.5250000000000004,Quintile 4
2022-11-01,Senior (50+),4.149,Quintile 4
2022-11-01,Early Career 1 (22-25),0.5816,Quintile 5 (most usage)
2022-11-01,Early Career 2 (26-30),1.3860000000000001,Quintile 5 (most usage)
2022-11-01,Developing (31-34),1.413,Quintile 5 (most usage)
2022-11-01,Mid-Career 1 (35-40),2.245,Quintile 5 (most usage)
2022-11-01,Mid-Career 2 (41-49),3.2649999999999997,Quintile 5 (most usage)
2022-11-01,Senior (50+),5.141,Quintile 5 (most usage)
