date,yrke4,alder_gr,count
2015-01-16,0000,0,21
2015-01-16,0000,1,1454
2015-01-16,0000,2,2310
2015-01-16,0000,3,3142
2015-01-16,0000,4,2299
2015-01-16,0000,5,3551
2015-01-16,0000,6,5659
2015-01-16,0000,7,5353
2015-01-16,0000,8,4420
2015-01-16,0000,9,2438
2015-01-16,0110,1,18
2015-01-16,0110,2,806
2015-01-16,0110,3,1821
2015-01-16,0110,4,1102
2015-01-16,0110,5,1548
2015-01-16,0110,6,2333
2015-01-16,0110,7,2071
2015-01-16,0110,8,66
2015-01-16,0110,9,5
2015-01-16,0210,1,246
2015-01-16,0210,2,770
2015-01-16,0210,3,190
2015-01-16,0210,4,11
2015-01-16,0210,5,6
2015-01-16,0210,6,5
2015-01-16,0310,1,222
2015-01-16,0310,2,838
2015-01-16,0310,3,327
2015-01-16,0310,4,76
2015-01-16,0310,5,59
2015-01-16,0310,6,94
2015-01-16,0310,7,83
2015-01-16,0310,8,67
2015-01-16,0310,9,42
2015-01-16,1111,1,15
2015-01-16,1111,2,70
2015-01-16,1111,3,133
2015-01-16,1111,4,119
2015-01-16,1111,5,227
2015-01-16,1111,6,524
2015-01-16,1111,7,661
2015-01-16,1111,8,536
2015-01-16,1111,9,211
2015-01-16,1112,1,5
2015-01-16,1112,2,10
2015-01-16,1112,3,6
2015-01-16,1112,4,17
2015-01-16,1112,5,41
2015-01-16,1112,6,214
2015-01-16,1112,7,331
2015-01-16,1112,8,260
2015-01-16,1112,9,13
2015-01-16,1114,1,39
2015-01-16,1114,2,78
2015-01-16,1114,3,107
2015-01-16,1114,4,94
2015-01-16,1114,5,217
2015-01-16,1114,6,598
2015-01-16,1114,7,764
2015-01-16,1114,8,420
2015-01-16,1114,9,31
2015-01-16,1120,0,7
2015-01-16,1120,1,39
2015-01-16,1120,2,227
2015-01-16,1120,3,984
2015-01-16,1120,4,1495
2015-01-16,1120,5,3736
2015-01-16,1120,6,10700
2015-01-16,1120,7,12372
2015-01-16,1120,8,6287
2015-01-16,1120,9,738
2015-01-16,1211,1,5
2015-01-16,1211,2,26
2015-01-16,1211,3,121
2015-01-16,1211,4,355
2015-01-16,1211,5,1148
2015-01-16,1211,6,2884
2015-01-16,1211,7,2784
2015-01-16,1211,8,1259
2015-01-16,1211,9,61
2015-01-16,1212,2,7
2015-01-16,1212,3,36
2015-01-16,1212,4,81
2015-01-16,1212,5,227
2015-01-16,1212,6,753
2015-01-16,1212,7,789
2015-01-16,1212,8,330
2015-01-16,1212,9,8
2015-01-16,1213,3,30
2015-01-16,1213,4,85
2015-01-16,1213,5,338
2015-01-16,1213,6,1097
2015-01-16,1213,7,1132
2015-01-16,1213,8,489
2015-01-16,1213,9,9
2015-01-16,1219,0,6
2015-01-16,1219,1,11
2015-01-16,1219,2,61
2015-01-16,1219,3,289
2015-01-16,1219,4,588
2015-01-16,1219,5,1700
2015-01-16,1219,6,5837
2015-01-16,1219,7,6933
2015-01-16,1219,8,3879
2015-01-16,1219,9,311
2015-01-16,1221,2,84
2015-01-16,1221,3,597
2015-01-16,1221,4,899
2015-01-16,1221,5,2605
2015-01-16,1221,6,5276
2015-01-16,1221,7,3949
2015-01-16,1221,8,1421
2015-01-16,1221,9,60
2015-01-16,1222,2,17
2015-01-16,1222,3,72
2015-01-16,1222,4,111
2015-01-16,1222,5,231
2015-01-16,1222,6,504
2015-01-16,1222,7,324
2015-01-16,1222,8,144
2015-01-16,1223,2,6
2015-01-16,1223,3,44
2015-01-16,1223,4,100
