varname,description,varlabel,ssb_beskrivelse,vartype,n_files,example_file,ssb_kilde,definisjon,kodeliste
a1,A-1 1. aarstrinn I alt,A-1 1. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a10,A-10 9. aarstrinn I alt,A-10 9. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a11,A-11 10. aarstrinn I alt,A-11 10. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a12,A-12 Sum 8.-10. aarstrinn (linje 9..11) I alt,A-12 Sum 8.-10. aarstrinn (linje 9..11) I alt,,double,1,udir_gsi.dta,,,
a15,A-15 Sum elever ved skolen (linje 8+12+14) I alt,A-15 Sum elever ved skolen (linje 8+12+14) I alt,,double,1,udir_gsi.dta,,,
a2,A-2 2. aarstrinn I alt,A-2 2. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a3,A-3 3. aarstrinn I alt,A-3 3. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a4,A-4 4. aarstrinn I alt,A-4 4. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a5,A-5 5. aarstrinn I alt,A-5 5. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a6,A-6 6. aarstrinn I alt,A-6 6. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a7,A-7 7. aarstrinn I alt,A-7 7. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a9,A-9 8. aarstrinn I alt,A-9 8. aarstrinn I alt,,double,1,udir_gsi.dta,,,
a_type,Aksjetype/-klasse,Aksjetype/-klasse,Aksjetype/-klasse,str2,14,aksjeselskap_2004.dta,SSB_variabelliste_aksjonaerregisteret.xlsx,ja,ja
a_typord,enhetstype til ordinaert orgnr A/A,enhetstype til ordinaert orgnr A/A,,str6,9,atmlto1999.dta,,,
aap,Arbeidsavklaringspenger,Arbeidsavklaringspenger,Arbeidsavklaringspenger,double,6,innt.dta,SSB_variabelliste_inntekt.xlsx,ja,beløp
aar,Regnskapsår,regstatus pr. 1. januar dette aaret,Regnskapsår,double,64,innvgrunn.dta,SSB_variabelliste_FD-Trygd.xlsm,,
aargang,Årgang,Ãrgang,Årgang,str4,27,arv_gaver.dta,SSB_variabelliste_FD-Trygd.xlsm,,
aek,..Annen egenkapital,Annen egenkapital,..Annen egenkapital,double,13,regnsk2005.dta,SSB_variabelliste_regnskap.xlsx,ja,
afininnt,Annen finansinntekt,Annen finansinntekt,Annen finansinntekt,double,13,regnsk2005.dta,SSB_variabelliste_regnskap.xlsx,ja,
afp_off,AFP offentlig,Avtalefestet pensjon. Offentlig ordning fom 2011,AFP offentlig,double,1,inntekt_afp.dta,SSB_variabelliste_inntekt.xlsx,ja,beløp
afp_priv,Avtalefestet pensjon; pirvat ordning,Avtalefestet pensjon; pirvat ordning,,double,1,inntekt_afp.dta,,,
afp_sum,AFP sum,Avtalefeltet pensjon; privat og offentlig sektor,AFP sum,double,1,inntekt_afp.dta,SSB_variabelliste_inntekt.xlsx,ja,beløp
ag_b_trp,Arb.givers beregnede trygde- og pens.pr.,Arb.givers beregnede trygde- og pens.pr.,,double,23,atmlto1992.dta,,,
ag_f_trp,Arb.givers faktiske trygde- og pens.pr.,Arb.givers faktiske trygde- og pens.pr.,,double,23,atmlto1992.dta,,,
ainnskek,..Overkursfond mv.,Overkursfond mv.,..Overkursfond mv.,double,13,regnsk2005.dta,SSB_variabelliste_regnskap.xlsx,ja,
ak_nyem,Totalt innbetalt aksjekapital ved utstedelse av nye aksjer ved nyemisjon,Totalt innbetalt aksjekapital ved nyemisjon,Totalt innbetalt aksjekapital ved utstedelse av nye aksjer ved nyemisjon,double,14,aksjeselskap_2004.dta,SSB_variabelliste_aksjonaerregisteret.xlsx,,
ak_stift,Totalt innbetalt aksjekapital ved stiftelse,Totalt innbetalt aksjekapital ved stiftelse,Totalt innbetalt aksjekapital ved stiftelse,double,14,aksjeselskap_2004.dta,SSB_variabelliste_aksjonaerregisteret.xlsx,,
akko,AApnet akkord,AApnet akkord,,str6,23,bof1995.dta,,,
aksje,Aksjeutbytte,Aksjeutbytte,,double,25,inntekt1993.dta,,,
aksje_type,Aksjetype/-klasse,Aksjetype/-klasse,Aksjetype/-klasse,str2,29,aksjer_2004.dta,SSB_variabelliste_aksjonaerregisteret.xlsx,ja,ja
