styrk08,styrk08_name,eloundou_beta,eloundou_q,felten_aioe,felten_q,felten_aioe_lm,felten_lm_q,handa_overall,handa_overall_q,handa_automation,handa_automation_q,handa_augmentation,handa_augmentation_q,anthropic2026_job_exposure,anthropic2026_q,mouchel_grounded,mouchel_grounded_q,mouchel_calibrated,mouchel_calibrated_q,relational,relational_q,ai_exposure_z,relational_z,exposure_relational_interaction,quadrant
0000,Uoppgitt / yrker som ikke kan identifiseres,,,,,,,,,,,,,,,,,,,,,,,,
0110,Offiserer fra fenrik og høyere grad,,,,,,,,,,,,,,,,,,,,,,,,
0210,Befal med sersjant grad,,,,,,,,,,,,,,,,,,,,,,,,
0310,Menige,0.268774,3.0,,,,,,,,,,,0.0,1.0,0.181051,3.0,0.107006,2.0,-0.730166,2.0,-0.3296677400702082,-0.8550436408265124,0.28188030473267917,shielded_transactional
1111,Politikere,0.4,3.0,,,,,0.02341738,2.0,0.33333333,4.0,0.66666667,4.0,0.0,1.0,0.42619,4.0,0.376334,4.0,,,0.286073606345913,,,
1112,Toppledere i offentlig administrasjon,0.470256,4.0,0.979964,4.0,0.962521,4.0,0.06960164,3.0,0.53229551,5.0,0.46770449,2.0,0.057033,4.0,0.510106,4.0,0.425016,4.0,1.680919,5.0,0.8259691073384037,1.8784523545621614,1.551543614475431,exposed_relational
1114,Toppledere i interesseorganisasjoner,0.499534,4.0,0.944418,4.0,0.990176,4.0,0.21171499,5.0,0.30926876,4.0,0.69073124,4.0,0.155267,4.0,0.564332,5.0,0.473573,5.0,1.224267,5.0,0.8756889011517004,1.3607367148040324,1.1915820385435179,exposed_relational
1120,Administrerende direktører,0.494274,4.0,0.954562,4.0,0.993263,4.0,0.10173206,4.0,0.29844326,3.0,0.70155674,4.0,0.08555,4.0,0.519407,5.0,0.442858,4.0,1.499441,5.0,0.8687618495178683,1.6727070630228147,1.453184081773302,exposed_relational
1211,Finans- og økonomisjefer,0.485055,4.0,1.446232,5.0,1.294551,5.0,0.22513547,5.0,0.28077754,3.0,0.71922246,4.0,0.3907,5.0,0.57111,5.0,0.523272,5.0,0.335221,4.0,1.1095196881102896,0.3528072221829431,0.3914465591194766,exposed_relational
1212,Personalsjefer,0.497719,4.0,1.301025,5.0,1.387601,5.0,0.03570807,3.0,0.40809219,5.0,0.59190781,3.0,0.1259,4.0,0.573454,5.0,0.452957,5.0,1.002122,5.0,1.0617390657927668,1.1088864200630268,1.1773480317080036,exposed_relational
1213,Strategi- og planleggingssjefer,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,1.224171,5.0,0.7974685060037914,1.3606278776557952,1.0850578808212765,exposed_relational
1219,Andre administrative ledere,0.491944,4.0,0.936151,4.0,0.942774,4.0,0.13935393,4.0,0.34085199,4.0,0.65914801,4.0,0.101075,4.0,0.470786,4.0,0.383855,4.0,1.318214,5.0,0.8534701226605457,1.4672463352772964,1.2522509097423502,exposed_relational
1221,Salgs- og markedssjefer,0.475,4.0,1.290656,5.0,1.248798,5.0,0.03959385,3.0,0.31209368,4.0,0.68790632,4.0,0.1814,5.0,0.580004,5.0,0.468878,5.0,1.531969,5.0,1.0029042222842333,1.7095847167504945,1.714549730781666,exposed_relational
1222,PR- og informasjonssjefer,0.516497,5.0,1.294038,5.0,1.300086,5.0,0.18646599,4.0,0.30824528,3.0,0.69175472,4.0,0.2023,5.0,0.551447,5.0,0.424209,4.0,0.983893,5.0,1.1020656143430456,1.0882198328212085,1.1992896585983914,exposed_relational
1223,Forsknings- og utviklingsledere,0.486654,4.0,1.082458,5.0,0.944377,4.0,0.10065363,4.0,0.30963465,4.0,0.69036535,4.0,0.04595,3.0,0.484966,4.0,0.39921,4.0,0.348955,4.0,0.9191379930113418,0.3683777367026171,0.338589973582904,exposed_relational
1311,"Ledere i skogbruk, gartnerier mv.",0.367347,3.0,-0.144368,3.0,-0.1585,3.0,0.0408777,3.0,0.21052632,2.0,0.78947368,5.0,0.0,1.0,0.309475,4.0,0.171782,3.0,0.489007,4.0,-0.015482388425465649,0.5271575313370553,-0.008161657661569871,shielded_relational
1312,Ledere innen akvakultur mv.,0.367347,3.0,-0.144368,3.0,-0.1585,3.0,0.0408777,3.0,0.21052632,2.0,0.78947368,5.0,0.0,1.0,0.309475,4.0,0.171782,3.0,0.489007,4.0,-0.015482388425465649,0.5271575313370553,-0.008161657661569871,shielded_relational
1321,Ledere av industriproduksjon mv.,0.405719,4.0,0.508688,4.0,0.354297,3.0,0.02002802,2.0,0.37704918,4.0,0.62295082,3.0,0.0132,3.0,0.352628,4.0,0.288458,4.0,0.434905,4.0,0.423055101506319,0.46582099598366955,0.19706794873964592,exposed_relational
1322,Ledere av olje- og gassutvinning mv.,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,1.224171,5.0,0.7974685060037914,1.3606278776557952,1.0850578808212765,exposed_relational
1323,Ledere av bygge- og anleggsvirksomhet,0.444444,4.0,1.029139,4.0,0.636195,4.0,0.02999067,3.0,0.33632287,4.0,0.66367713,4.0,0.1186,4.0,0.298401,3.0,0.154676,3.0,0.805106,4.0,0.7916542399671653,0.8855253825933836,0.7010299237285984,exposed_relational
1324,Ledere av logistikk og transport mv.,0.486526,4.0,0.890792,4.0,0.904548,4.0,0.09361815,4.0,0.31061807,4.0,0.68938193,4.0,0.0956,4.0,0.506499,4.0,0.380654,4.0,1.001473,5.0,0.8165524268716221,1.1081506355921322,0.9048630908320862,exposed_relational
1330,Ledere av IKT-enheter,0.530303,5.0,1.059853,5.0,0.94507,4.0,0.07605512,4.0,0.1720339,2.0,0.8279661,5.0,0.1559,4.0,0.630906,5.0,0.637886,5.0,0.448114,4.0,1.009479885432806,0.48079630734892176,0.4853542012591057,exposed_relational
1341,Ledere av omsorgstjenester for barn,0.46875,4.0,0.838007,4.0,0.967188,4.0,0.07364148,3.0,0.42787682,5.0,0.57212318,2.0,0.0395,3.0,0.324205,4.0,0.223329,3.0,1.903398,5.0,0.7466785100837128,2.1306813118814083,1.5909339474188204,exposed_relational
1342,Ledere av helsetjenester,0.428571,4.0,1.260259,5.0,1.314992,5.0,0.07035483,3.0,0.21581549,2.0,0.78418451,5.0,0.0659,4.0,0.436608,4.0,0.353611,4.0,1.892249,5.0,0.8777548783638219,2.118041464322078,1.859121227885557,exposed_relational
1343,Ledere av eldreomsorg,0.45467,4.0,0.917568,4.0,0.996303,4.0,0.05448648,3.0,0.28021544,3.0,0.71978456,4.0,0.10185,4.0,0.493713,4.0,0.418275,4.0,1.558306,5.0,0.75610412646065,1.7394435081371737,1.3152004142477063,exposed_relational
1344,Ledere av sosialomsorg,0.392857,3.0,1.156153,5.0,1.225244,5.0,0.01992531,2.0,0.36842105,4.0,0.63157895,3.0,0.1808,5.0,0.372042,4.0,0.227353,4.0,1.662737,5.0,0.7384082591629197,1.8578390521741672,1.3718437003208157,exposed_relational
1345,Ledere av utdanning og undervisning,0.428603,4.0,0.954696,4.0,1.124088,5.0,0.28641779,5.0,0.35234624,4.0,0.64765376,3.0,0.05845,4.0,0.388394,4.0,0.260127,4.0,1.682111,5.0,0.7147619495049597,1.8798037491527724,1.343612192431168,exposed_relational
1346,Ledere av forsikring og finansvirksomhet,0.482912,4.0,1.010555,4.0,0.986083,4.0,0.1318768,4.0,0.31269646,4.0,0.68730354,4.0,0.26425,5.0,0.560964,5.0,0.503105,5.0,0.779792,4.0,0.8719867981659355,0.8568263870676064,0.7471412978431686,exposed_relational
1349,Andre ledere av produksjon og tjenesteyting,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,1.224171,5.0,0.7974685060037914,1.3606278776557952,1.0850578808212765,exposed_relational
1411,Hotellsjefer,0.456522,4.0,0.402173,4.0,0.463985,4.0,0.00677871,1.0,0.0,1.0,0.0,1.0,0.1215,4.0,0.2935,3.0,0.171121,3.0,2.068038,5.0,0.4854013122706049,2.3173370211080813,1.124838431019117,exposed_relational
1412,Restaurantsjefer,0.416667,4.0,-0.121311,3.0,0.061493,3.0,0.00996266,1.0,0.28395062,3.0,0.71604938,4.0,0.0,1.0,0.297288,3.0,0.20708,3.0,1.02937,5.0,0.11253246591986053,1.1397780306376646,0.12826203238893874,exposed_relational
1420,Varehandelssjefer,0.480769,4.0,0.574877,4.0,0.677615,4.0,0.03861813,3.0,0.34461538,4.0,0.65538462,3.0,0.1378,4.0,0.550819,5.0,0.482939,5.0,1.224363,5.0,0.6344533745574779,1.3608455519522695,0.863393052687651,exposed_relational
1431,"Sports-, rekreasjons- og kultursenterledere",0.517556,5.0,0.897304,4.0,0.814612,4.0,0.23032221,5.0,0.38039557,4.0,0.61960443,3.0,0.04825,3.0,0.455796,4.0,0.35585,4.0,1.277935,5.0,0.8928274508258718,1.4215812155497627,1.2692267328212388,exposed_relational
1439,Andre daglige ledere i tjenesteytende virksomheter,0.461583,4.0,0.964687,4.0,0.909965,4.0,0.45160614,5.0,0.28856891,3.0,0.71143109,4.0,0.0965,4.0,0.494676,4.0,0.386236,4.0,1.224171,5.0,0.7974685060037914,1.3606278776557952,1.0850578808212765,exposed_relational
2111,Fysikere og astronomer,0.59375,5.0,1.359736,5.0,1.065689,5.0,0.19360418,4.0,0.30578074,3.0,0.69421926,4.0,0.3288,5.0,0.708112,5.0,0.720394,5.0,-0.09548,3.0,1.3183703393604282,-0.1354872422220435,-0.17862236150728403,exposed_transactional
2112,Meteorologer,0.565217,5.0,1.373917,5.0,1.259493,5.0,0.12098977,4.0,0.30707071,3.0,0.69292929,4.0,0.038,3.0,0.657605,5.0,0.643337,5.0,-0.225796,3.0,1.2589966641710686,-0.28322913607276645,-0.35658453751166663,exposed_transactional
2113,Kjemikere,0.431379,4.0,0.766941,4.0,0.556228,4.0,0.2307844,5.0,0.34453567,4.0,0.65546433,3.0,0.22285,5.0,0.374074,4.0,0.322294,4.0,-0.567018,2.0,0.621076648050303,-0.6700794422786921,-0.4161706939378666,exposed_transactional
2114,Geologer og geofysikere,0.483333,4.0,0.677428,4.0,0.561085,4.0,0.11508408,4.0,0.26077986,3.0,0.73922014,4.0,0.0589,4.0,0.510965,4.0,0.495462,5.0,-0.174504,3.0,0.6951965888799203,-0.22507835474590498,-0.15647370445005776,exposed_transactional
2120,"Matematikere, statistikere mv.",0.695754,5.0,1.439613,5.0,1.224247,5.0,0.46688906,5.0,0.28607329,3.0,0.71392671,4.0,0.30982,5.0,0.778585,5.0,0.77812,5.0,-0.671145,2.0,1.6003104642955726,-0.7881303353462681,-1.2612532228834117,exposed_transactional
2131,"Biologer, botanikere, zoologer mv.",0.464838,4.0,0.901489,4.0,0.786915,4.0,0.13411355,4.0,0.16465565,2.0,0.83534435,5.0,0.063078,4.0,0.430799,4.0,0.362329,4.0,0.096543,3.0,0.7713785911054066,0.08221312981897509,0.0634174482501269,exposed_relational
2132,Sivilagronomer mv.,0.409049,4.0,0.436031,4.0,0.398981,4.0,0.09813729,4.0,0.20546862,2.0,0.79453138,5.0,0.0171,3.0,0.436925,4.0,0.366293,4.0,0.663001,4.0,0.3920932161292542,0.7244180601950826,0.2840394070440056,exposed_relational
2133,Miljøvernrådgivere,0.480579,4.0,0.541572,4.0,0.472357,4.0,0.11621386,4.0,0.3573817,4.0,0.6426183,3.0,0.0274,3.0,0.561732,5.0,0.490769,5.0,0.386081,4.0,0.6162339306365704,0.41046823634273755,0.2529444546829459,exposed_relational
2141,Sivilingeniører (industri og produksjon),0.554355,5.0,1.13787,5.0,0.905058,4.0,0.0923343,4.0,0.24816446,3.0,0.75183554,5.0,0.0367,3.0,0.507962,4.0,0.423344,4.0,-0.260556,3.0,1.1075434032598976,-0.3226372534969595,-0.3573347617564488,exposed_transactional
2142,Sivilingeniører (bygg og anlegg),0.482143,4.0,1.282867,5.0,0.926797,4.0,0.04858078,3.0,0.30681818,3.0,0.69318182,4.0,0.0081,2.0,0.463589,4.0,0.371698,4.0,0.137127,3.0,1.015505778618944,0.12822403423622042,0.13021224772471515,exposed_relational
2143,Sivilingeniører (miljøteknikk),0.555556,5.0,1.343561,5.0,1.043951,5.0,0.03995333,3.0,0.14285714,2.0,0.85714286,5.0,0.0358,3.0,0.563535,5.0,0.483455,5.0,0.371865,4.0,1.2201309848243262,0.39435126864128967,0.4811602017740192,exposed_relational
2144,Sivilingeniører (maskin- og marin-teknikk),0.487425,4.0,0.957907,4.0,0.70696,4.0,0.04832401,3.0,0.37633992,4.0,0.62366008,3.0,0.0481,3.0,0.459931,4.0,0.379309,4.0,-0.209713,3.0,0.8544784463430781,-0.26499551258216536,-0.22643295387909626,exposed_transactional
2145,Sivilingeniører (kjemi),0.461538,4.0,1.341336,5.0,0.906019,4.0,0.0210551,2.0,0.40769231,5.0,0.59230769,3.0,0.0,1.0,0.487809,4.0,0.523673,5.0,-0.269278,3.0,0.9983669818739045,-0.3325255619024201,-0.33198254163244334,exposed_transactional
2146,"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",0.494956,4.0,1.166191,5.0,0.907711,4.0,0.08339872,4.0,0.19774011,2.0,0.80225989,5.0,0.046075,3.0,0.449185,4.0,0.395564,4.0,-0.076515,3.0,0.98330069727006,-0.11398623684374029,-0.11208274616764002,exposed_relational
