styrk08,eloundou_beta,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
0310,0.268774,42.42,3,1,0,0,
1111,0.4,59.34,3,1,1,2,
1112,0.470256,70.2,4,3,1,7,
1114,0.499534,78.03,4,3,1,7,
1120,0.494274,76.77,4,2,1,7,
1211,0.485055,72.98,4,1,1,2,
1212,0.497719,77.27,4,3,0,0,
1213,0.461583,68.43,4,1,1,7,
1219,0.491944,76.01,4,6,1,7,
1221,0.475,70.45,4,2,0,0,
1222,0.516497,80.05,5,2,1,3,
1223,0.486654,74.24,4,2,0,0,
1311,0.367347,54.55,3,1,1,2,
1312,0.367347,54.8,3,1,1,2,
1321,0.405719,61.11,4,1,0,0,
1322,0.461583,68.69,4,1,1,7,
1323,0.444444,66.41,4,1,1,2,
1324,0.486526,73.99,4,1,0,0,
1330,0.530303,82.07,5,1,0,0,
1341,0.46875,69.95,4,1,0,0,
1342,0.428571,64.65,4,1,1,2,
1343,0.45467,67.42,4,2,1,7,
1344,0.392857,57.83,3,1,0,0,
1345,0.428603,65.15,4,2,0,0,
1346,0.482912,72.22,4,2,1,7,
1349,0.461583,68.94,4,1,1,7,
1411,0.456522,67.68,4,1,0,0,
1412,0.416667,62.12,4,1,0,0,
1420,0.480769,71.46,4,1,1,7,
1431,0.517556,80.56,5,2,1,7,
1439,0.461583,69.19,4,1,1,7,
2111,0.59375,88.64,5,2,0,0,
2112,0.565217,86.87,5,1,0,0,
2113,0.431379,65.4,4,2,1,2,
2114,0.483333,72.47,4,2,0,0,
2120,0.695754,94.19,5,5,0,0,
2131,0.464838,69.44,4,9,1,2,
2132,0.409049,61.62,4,3,1,2,
2133,0.480579,71.21,4,2,0,0,
2141,0.554355,85.35,5,1,0,0,
2142,0.482143,71.97,4,1,0,0,
2143,0.555556,85.61,5,1,0,0,
2144,0.487425,74.49,4,4,0,0,
2145,0.461538,68.18,4,1,0,0,
2146,0.494956,77.02,4,4,1,2,
2149,0.530886,82.32,5,5,1,2,
2151,0.5625,86.62,5,1,0,0,
2152,0.673685,92.93,5,2,1,2,
2153,0.620098,90.91,5,1,1,2,
2161,0.488372,75.0,4,1,0,0,
2162,0.421053,63.13,4,1,0,0,
2163,0.428071,64.14,4,2,0,0,
2164,0.477273,70.71,4,1,0,0,
2165,0.515035,79.55,4,2,0,0,
2166,0.5125,79.04,4,2,0,0,
2211,0.45161,66.67,4,4,1,2,
2212,0.379361,55.3,3,5,1,2,
2221,0.342779,51.52,3,3,0,0,
2222,0.390244,57.58,3,1,0,0,
2223,0.342779,51.77,3,3,0,0,2221
2224,0.342779,52.02,3,3,0,0,2221
2250,0.27027,42.68,3,1,0,0,
2261,0.158864,25.51,2,4,0,0,
2262,0.428571,64.9,4,1,0,0,
2263,0.432796,65.66,4,2,0,0,
2264,0.225745,35.35,2,2,0,0,
2265,0.54878,83.84,5,1,0,0,
2266,0.452882,66.92,4,2,0,0,
2267,0.289015,45.2,3,1,0,0,SOC:29-1122
2269,0.454545,67.17,4,1,0,0,SOC:29-1011
2310,0.485747,73.23,4,35,0,0,
2320,0.381031,56.06,3,3,0,0,
2330,0.333333,49.75,3,1,0,0,
2341,0.329318,49.49,3,2,0,0,
2342,0.230075,36.11,2,2,0,0,
