styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
1112,0.979964,76.79,4,0.962521,77.3,4,0.981911,82.4,5,3,1,7,
1114,0.944418,73.72,4,0.990176,78.83,4,0.771855,73.98,4,3,1,7,
1120,0.954562,74.23,4,0.993263,79.08,4,0.770743,73.72,4,2,1,7,
1211,1.446232,99.74,5,1.294551,91.58,5,1.330661,91.84,5,1,1,2,
1212,1.301025,94.13,5,1.387601,95.66,5,0.909808,78.57,4,3,0,0,
1213,0.964687,75.51,4,0.909965,74.74,4,0.963536,80.61,5,1,1,7,
1219,0.936151,73.21,4,0.942774,76.28,4,0.795241,76.53,4,6,1,7,
1221,1.290656,93.37,5,1.248798,89.03,5,1.310178,91.07,5,2,0,0,
1222,1.294038,93.62,5,1.300086,91.84,5,1.367371,92.6,5,2,1,3,
1223,1.082458,81.38,5,0.944377,76.53,4,1.319527,91.58,5,2,0,0,
1311,-0.144368,45.15,3,-0.1585,46.17,3,0.016279,52.3,3,1,1,2,
1312,-0.144368,45.41,3,-0.1585,46.43,3,0.016279,52.55,3,1,1,2,
1321,0.508688,63.52,4,0.354297,59.95,3,0.654702,69.9,4,1,0,0,
1322,0.964687,75.77,4,0.909965,75.0,4,0.963536,80.87,5,1,1,7,
1323,1.029139,78.83,4,0.636195,67.09,4,1.857085,98.21,5,1,1,2,
1324,0.890792,70.66,4,0.904548,73.72,4,0.773122,74.23,4,1,0,0,
1330,1.059853,80.61,5,0.94507,76.79,4,1.275466,90.05,5,1,0,0,
1341,0.838007,70.15,4,0.967188,77.55,4,0.425752,61.99,4,1,0,0,
1342,1.260259,90.82,5,1.314992,92.35,5,0.85181,77.55,4,1,1,2,
1343,0.917568,72.19,4,0.996303,79.85,4,0.541847,66.84,4,2,1,7,
1344,1.156153,84.95,5,1.225244,88.01,5,0.789879,75.77,4,1,0,0,
1345,0.954696,74.49,4,1.124088,84.69,5,0.525051,66.07,4,3,0,0,
1346,1.010555,77.81,4,0.986083,78.32,4,0.781272,74.74,4,2,1,7,
1349,0.964687,76.02,4,0.909965,75.26,4,0.963536,81.12,5,1,1,7,
1411,0.402173,61.22,4,0.463985,61.73,4,0.205306,56.89,3,1,0,0,
1412,-0.121311,46.17,3,0.061493,53.32,3,-0.710209,23.47,2,1,0,0,
1420,0.574877,65.05,4,0.677615,68.62,4,0.231884,57.4,3,1,1,7,
1431,0.897304,71.43,4,0.814612,71.68,4,0.84737,77.3,4,2,1,7,
1439,0.964687,76.28,4,0.909965,75.51,4,0.963536,81.38,5,1,1,7,
2111,1.359736,96.43,5,1.065689,83.16,5,1.959609,98.98,5,2,0,0,
2112,1.373917,97.19,5,1.259493,90.56,5,1.361813,92.35,5,1,0,0,
2113,0.766941,69.13,4,0.556228,64.8,4,1.198909,88.52,5,2,1,2,
2114,0.677428,66.84,4,0.561085,65.31,4,0.977444,81.89,5,2,0,0,
2120,1.439613,99.49,5,1.224247,87.76,5,1.539619,94.13,5,5,0,0,
2131,0.901489,71.68,4,0.786915,71.17,4,1.118061,87.24,5,9,1,2,
2132,0.436031,61.48,4,0.398981,60.71,4,0.666624,70.15,4,3,1,2,
2133,0.541572,64.8,4,0.472357,61.99,4,0.736308,72.19,4,2,0,0,
2141,1.13787,84.44,5,0.905058,73.98,4,1.485018,93.11,5,1,0,0,
2142,1.282867,92.09,5,0.926797,76.02,4,1.97666,99.23,5,1,0,0,
2143,1.343561,95.92,5,1.043951,82.4,5,1.889765,98.72,5,1,0,0,
2144,0.957907,75.0,4,0.70696,69.13,4,1.486924,93.37,5,4,0,0,
