styrk08,mouchel_grounded,mouchel_calibrated,pctl_rank,quintile,quintile_calibrated,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
0310,0.181051,0.107006,42.42,3,2,1,0,0,
1111,0.42619,0.376334,68.43,4,4,1,1,2,
1112,0.510106,0.425016,79.55,4,4,3,1,7,
1114,0.564332,0.473573,86.36,5,5,3,1,7,
1120,0.519407,0.442858,80.81,5,4,2,1,7,
1211,0.57111,0.523272,87.12,5,5,1,1,2,
1212,0.573454,0.452957,87.63,5,5,3,0,0,
1213,0.494676,0.386236,75.76,4,4,1,1,7,
1219,0.470786,0.383855,72.22,4,4,6,1,7,
1221,0.580004,0.468878,87.88,5,5,2,0,0,
1222,0.551447,0.424209,83.84,5,4,2,1,3,
1223,0.484966,0.39921,73.74,4,4,2,0,0,
1311,0.309475,0.171782,60.61,4,3,1,1,2,
1312,0.309475,0.171782,60.86,4,3,1,1,2,
1321,0.352628,0.288458,63.89,4,4,1,0,0,
1322,0.494676,0.386236,76.01,4,4,1,1,7,
1323,0.298401,0.154676,59.34,3,3,1,1,2,
1324,0.506499,0.380654,77.78,4,4,1,0,0,
1330,0.630906,0.637886,91.67,5,5,1,0,0,
1341,0.324205,0.223329,61.62,4,3,1,0,0,
1342,0.436608,0.353611,68.94,4,4,1,1,2,
1343,0.493713,0.418275,75.51,4,4,2,1,7,
1344,0.372042,0.227353,65.66,4,4,1,0,0,
1345,0.388394,0.260127,66.67,4,4,2,0,0,
1346,0.560964,0.503105,84.85,5,5,2,1,7,
1349,0.494676,0.386236,76.26,4,4,1,1,7,
1411,0.2935,0.171121,58.33,3,3,1,0,0,
1412,0.297288,0.20708,59.09,3,3,1,0,0,
1420,0.550819,0.482939,83.33,5,5,1,1,7,
1431,0.455796,0.35585,71.21,4,4,2,1,7,
1439,0.494676,0.386236,76.52,4,4,1,1,7,
2111,0.708112,0.720394,96.46,5,5,2,0,0,
2112,0.657605,0.643337,92.42,5,5,1,0,0,
2113,0.374074,0.322294,65.91,4,4,2,1,2,
2114,0.510965,0.495462,79.8,4,5,2,0,0,
2120,0.778585,0.77812,98.48,5,5,5,0,0,
2131,0.430799,0.362329,68.69,4,4,9,1,2,
2132,0.436925,0.366293,69.19,4,4,3,1,2,
2133,0.561732,0.490769,85.1,5,5,2,0,0,
2141,0.507962,0.423344,79.04,4,4,1,0,0,
2142,0.463589,0.371698,71.97,4,4,1,0,0,
2143,0.563535,0.483455,85.86,5,5,1,0,0,
2144,0.459931,0.379309,71.72,4,4,4,0,0,
2145,0.487809,0.523673,74.75,4,5,1,0,0,
